"","NOHAV","RTNO","SHTWT","RTWT","DM","STARCH","FYLD","DYLD","TYLD","HI","LODG","PLTHT6","BRNHT6","PLTHT9","BRNHT9","BRNLEV9","ANGBR","STMDI"
"NOHAV",1,0.755077790528816,0.529971137385269,0.613614028232705,0.306270529423687,0.306286420965752,0.613614237173264,0.622009952324448,0.52997237690923,0.149403661537951,0.0258645494568757,0.189839995684441,0.177229552447517,0.150309472495463,0.176566680627011,-0.114299600665356,-0.0477123217528259,-0.0149714773238294
"RTNO",0.755077790528816,1,0.534659119958984,0.843177378889639,0.258914995302452,0.258987998405198,0.843177167484327,0.818418708688538,0.534641980084854,0.413929520054201,-0.254474759465798,0.142806794336957,0.268504874667833,0.125549584329786,0.267275399910626,-0.214507291990862,-0.0292229064448934,0.00938080110394767
"SHTWT",0.529971137385269,0.534659119958984,1,0.492723189451942,0.016923756201863,0.0169174656687344,0.492722359112321,0.409970408739244,0.999999986392957,-0.300398736408169,0.112450720114875,0.505336912337773,0.0991845232280413,0.50154554684395,0.08518892264973,0.166996864654864,0.187879741640963,0.408376549076586
"RTWT",0.613614028232705,0.843177378889639,0.492723189451942,1,0.147580458993848,0.147613445568521,0.999999977488061,0.955453939313155,0.492714065299813,0.615645197585193,-0.355608592901736,0.104547930802053,0.25914076435918,0.116081155673574,0.244077309061788,-0.222551548786369,-0.0573075360948837,0.0402589383881244
"DM",0.306270529423687,0.258914995302452,0.016923756201863,0.147580458993848,1,0.999999480869813,0.147569035570477,0.361845563046437,0.0169318051541464,0.141567104511561,-0.119133621905383,0.0262271901422011,0.0548386573060204,-0.0109071573362994,0.0295761890651197,-0.00787947147665103,-0.0561392379266694,-0.202080781529069
"STARCH",0.306286420965752,0.258987998405198,0.0169174656687344,0.147613445568521,0.999999480869813,1,0.147602004600219,0.361886981349855,0.0169254943713221,0.141589694720308,-0.119142090553989,0.0262107214554042,0.0548374823000263,-0.010922939600318,0.0295765736147031,-0.00788578461967656,-0.0561020929678089,-0.202092367606789
"FYLD",0.613614237173264,0.843177167484327,0.492722359112321,0.999999977488061,0.147569035570477,0.147602004600219,1,0.955449477831152,0.492713233986459,0.615643384844133,-0.355603643912314,0.104563299477504,0.259160456139386,0.116099068289811,0.24409689964283,-0.222567166643499,-0.0573245719027544,0.0402507230463639
"DYLD",0.622009952324448,0.818418708688538,0.409970408739244,0.955453939313155,0.361845563046437,0.361886981349855,0.955449477831152,1,0.409961806375656,0.613991197211078,-0.34146980239999,0.0984883173801025,0.237783491729373,0.103694642768726,0.217088500377462,-0.184220414497891,-0.0703927619895442,-0.0276144530098623
"TYLD",0.52997237690923,0.534641980084854,0.999999986392957,0.492714065299813,0.0169318051541464,0.0169254943713221,0.492713233986459,0.409961806375656,1,-0.300406855536954,0.112449731876279,0.505327809398353,0.0991871308568914,0.501538811359859,0.0851882762691411,0.16699420727941,0.187872384515245,0.40835618284023
"HI",0.149403661537951,0.413929520054201,-0.300398736408169,0.615645197585193,0.141567104511561,0.141589694720308,0.615643384844133,0.613991197211078,-0.300406855536954,1,-0.507796991431457,-0.316657155942717,0.195613058671667,-0.284047244760813,0.180756760135852,-0.374640111436957,-0.212721673649579,-0.284939414721681
"LODG",0.0258645494568757,-0.254474759465798,0.112450720114875,-0.355608592901736,-0.119133621905383,-0.119142090553989,-0.355603643912314,-0.34146980239999,0.112449731876279,-0.507796991431457,1,0.268597956092313,-0.0541443538205612,0.252803464204388,-0.0687598228314473,0.14690968367187,0.0945105779098321,0.143817811022522
"PLTHT6",0.189839995684441,0.142806794336957,0.505336912337773,0.104547930802053,0.0262271901422011,0.0262107214554042,0.104563299477504,0.0984883173801025,0.505327809398353,-0.316657155942717,0.268597956092313,1,0.214901052118008,0.95420746117148,0.180483350069733,0.320441859472625,0.214148620745233,0.558647634091558
"BRNHT6",0.177229552447517,0.268504874667833,0.0991845232280413,0.25914076435918,0.0548386573060204,0.0548374823000263,0.259160456139386,0.237783491729373,0.0991871308568914,0.195613058671667,-0.0541443538205612,0.214901052118008,1,0.265245045036553,0.972991035036475,-0.673549631720799,-0.232560807297545,0.146512199982869
"PLTHT9",0.150309472495463,0.125549584329786,0.50154554684395,0.116081155673574,-0.0109071573362994,-0.010922939600318,0.116099068289811,0.103694642768726,0.501538811359859,-0.284047244760813,0.252803464204388,0.95420746117148,0.265245045036553,1,0.237577750304798,0.267680503081909,0.14486206880526,0.556581361084162
"BRNHT9",0.176566680627011,0.267275399910626,0.08518892264973,0.244077309061788,0.0295761890651197,0.0295765736147031,0.24409689964283,0.217088500377462,0.0851882762691411,0.180756760135852,-0.0687598228314473,0.180483350069733,0.972991035036475,0.237577750304798,1,-0.696470529255882,-0.257612932061023,0.104447737414654
"BRNLEV9",-0.114299600665356,-0.214507291990862,0.166996864654864,-0.222551548786369,-0.00787947147665103,-0.00788578461967656,-0.222567166643499,-0.184220414497891,0.16699420727941,-0.374640111436957,0.14690968367187,0.320441859472625,-0.673549631720799,0.267680503081909,-0.696470529255882,1,0.387788800033918,0.230252087975204
"ANGBR",-0.0477123217528259,-0.0292229064448934,0.187879741640963,-0.0573075360948837,-0.0561392379266694,-0.0561020929678089,-0.0573245719027544,-0.0703927619895442,0.187872384515245,-0.212721673649579,0.0945105779098321,0.214148620745233,-0.232560807297545,0.14486206880526,-0.257612932061023,0.387788800033918,1,0.39327722748691
"STMDI",-0.0149714773238294,0.00938080110394767,0.408376549076586,0.0402589383881244,-0.202080781529069,-0.202092367606789,0.0402507230463639,-0.0276144530098623,0.40835618284023,-0.284939414721681,0.143817811022522,0.558647634091558,0.146512199982869,0.556581361084162,0.104447737414654,0.230252087975204,0.39327722748691,1
