"Trait","Min","Max","Mean","Variance","CV"
"SHTWT",1.74,68.55,26.92,113.88,39.64
"RTWT",0.55,46.25,18.06,70.1,46.36
"DM",21.21,38.7,30.21,7.86,9.28
"STARCH",3.93,27.23,15.92,13.93,23.44
"FYLD",0.73,61.67,24.08,124.63,46.36
"DYLD",0.97,18.61,7.63,11.22,43.9
"TYLD",2.32,91.4,35.89,202.47,39.64
"HI",0.05,0.81,0.4,0.01,26.28
"NDVI3",0.37,0.92,0.85,0,5.35
"NDVI6",0.24,0.8,0.6,0.01,14.63
"NDVI9",0,0.79,0.61,0.01,13.4
"LODG",0,9,1.35,2.75,123.33
"PLTHT3",41,202.4,110.58,779.7,25.25
"PLTHT6",52,231,130.44,802.12,21.71
"PLTHT9",65,258,144.18,848.12,20.2
"ANGBR9",0,117.05,69.3,594.41,35.18
"STMDI9",9.82,33.14,21.47,10.67,15.22
