"Trait","Min","Max","Mean","Variance","CV"
"SHTWT",1.02,66.2,18.41,93.76,52.58
"RTWT",1.15,63.25,23.45,115.35,45.8
"DM",25.1,43.75,33.62,8.16,8.5
"STARCH",9.12,33.96,20.47,14.47,18.59
"FYLD",1.15,63.25,23.45,115.35,45.8
"DYLD",1.03,22.36,8.27,13.22,43.98
"TYLD",1.02,66.2,18.41,93.76,52.58
"HI",0.09,0.94,0.56,0.01,20.1
"NDVI3",0.52,0.88,0.78,0,5.94
"NDVI6",0.5,8.6,0.86,0.06,29.13
"NDVI9",0.5,0.93,0.84,0,4.77
"LODG",1,12,2.24,3.2,79.83
"PLTHT3",48,186,109.22,385.72,17.98
"PLTHT6",75,284,158.29,766.72,17.49
"PLTHT9",106,366,203.71,1183.16,16.89
"ANGBR9",0,125.17,72.68,1295.6,49.53
"STMDI9",12.43,41.14,24.62,22.42,19.23
