"Trait","Mean","sigma2_g","sigma2_gxe","sigma2_e","sigma2_p","H2","H2_Class","PCV","GCV","GA","GAM","GAM_Class"
"DM",31.92,3.05,2.73,2.26,4.98,0.61,"High",6.99,5.47,2.81,8.82,"Low"
"NOHAV",6.5,1.05,1,3.04,2.3,0.45,"Moderate",23.36,15.74,1.42,21.86,"High"
"RTNO",48.07,132.63,90.44,273.31,246.17,0.54,"Moderate",32.64,23.96,17.41,36.22,"High"
"SHTWT",22.65,26.92,18.47,58.58,50.8,0.53,"Moderate",31.47,22.91,7.78,34.35,"High"
"RTWT",20.77,25.37,21,41.75,46.31,0.55,"Moderate",32.77,24.26,7.68,36.98,"High"
"STARCH",18.2,5.4,4.84,4.01,8.83,0.61,"High",16.32,12.77,3.75,20.58,"High"
"FYLD",23.76,33.93,24.24,56.04,60.06,0.56,"Moderate",32.61,24.51,9.02,37.95,"High"
"DYLD",7.95,2.53,2.97,6.07,5.53,0.46,"Moderate",29.57,19.99,2.21,27.84,"High"
"TYLD",27.12,35.6,24.52,86.65,69.52,0.51,"Moderate",30.75,22,8.8,32.44,"High"
"HI",0.48,0,0,0,0.01,0.68,"High",17.46,14.35,0.12,24.3,"High"
"NDVI3",0.82,0,0,0,0,0.56,"Moderate",5.18,3.87,0.05,5.97,"Low"
"NDVI6",0.73,0,0,0.03,0.01,0.1,"Low",13.81,4.33,0.02,2.8,"Low"
"NDVI9",0.73,0,0,0,0,0.45,"Moderate",6.47,4.34,0.04,5.98,"Low"
"LODG",1.64,0.62,0.26,1.98,1.24,0.5,"Moderate",68.02,47.93,1.14,69.56,"High"
"PLTHT3",109.87,210.18,35.06,316.82,306.92,0.68,"High",15.94,13.19,24.71,22.49,"High"
"BRNHT3",55.85,305.88,9.83,153.42,349.15,0.88,"High",33.46,31.31,33.72,60.38,"High"
"BRNLEV3",1.59,0.01,0.07,0.17,0.09,0.15,"Low",19.28,7.47,0.1,5.96,"Low"
"PLTHT6",144.6,354.18,83.97,325.5,477.54,0.74,"High",15.11,13.02,33.39,23.09,"High"
"BRNHT6",68.11,122.61,321.49,165.75,324.79,0.38,"Moderate",26.46,16.26,14.01,20.58,"High"
"BRNLEV6",2.15,0.12,0.14,0.19,0.24,0.5,"Moderate",22.59,16.02,0.5,23.4,"High"
"PLTHT9",174.59,423.64,128.19,436.79,596.94,0.71,"High",13.99,11.79,35.72,20.46,"High"
"BRNHT9",85.12,469.43,206.77,242.34,633.4,0.74,"High",29.57,25.45,38.42,45.14,"High"
"BRNLEV9",2.45,0.02,0.24,0.15,0.18,0.13,"Low",17.4,6.32,0.12,4.73,"Low"
"CHL3",49.01,4.6,0.52,3.65,5.77,0.8,"High",4.9,4.38,3.94,8.05,"Low"
"CHL6",47.89,2.95,1.16,4.49,4.65,0.63,"High",4.5,3.59,2.82,5.88,"Low"
"CHL9",45.62,5.08,5.97,6.97,9.81,0.52,"Moderate",6.86,4.94,3.34,7.32,"Low"
"ANGBR",71.05,492.82,200.32,194.51,641.61,0.77,"High",35.65,31.25,40.08,56.41,"High"
"STMDI",23.09,6.38,3.05,7.17,9.7,0.66,"High",13.49,10.94,4.22,18.28,"Moderate"
"PPSTD",2.1,0.1,0.04,0.31,0.2,0.51,"Moderate",21.23,15.14,0.47,22.24,"High"
