"Location","Trait","NDVI_Time","R2","RMSE","MAE"
"Onne","PLTHT3","NDVI3",0.29,13.72,11.68
"Onne","PLTHT3","NDVI6",0.06,159.43,53.74
"Onne","PLTHT3","NDVI9",0.01,20.55,17.57
"Onne","PLTHT6","NDVI3",0.25,27.63,22.91
"Onne","PLTHT6","NDVI6",0.06,30.44,26.7
"Onne","PLTHT6","NDVI9",0.05,24.08,19.28
"Onne","PLTHT9","NDVI3",0.26,24.75,20.61
"Onne","PLTHT9","NDVI6",0,629.1,190.79
"Onne","PLTHT9","NDVI9",0.02,33.42,26
"Onne","FYLD","NDVI3",0.07,8.94,6.2
"Onne","FYLD","NDVI6",0.14,11.84,9.13
"Onne","FYLD","NDVI9",0.06,11.69,9.25
"Onne","DYLD","NDVI3",0.06,4.4,3.46
"Onne","DYLD","NDVI6",0.07,59.89,17.38
"Onne","DYLD","NDVI9",0.01,3.23,2.56
"Onne","RTWT","NDVI3",0.07,12.87,9.41
"Onne","RTWT","NDVI6",0.24,12.57,9.25
"Onne","RTWT","NDVI9",0.05,11.33,7.98
"Onne","STARCH","NDVI3",0,4.42,3.08
"Onne","STARCH","NDVI6",0.33,2.96,2.38
"Onne","STARCH","NDVI9",0,4.04,3.08
"Onne","DM","NDVI3",0.3,2.16,1.77
"Onne","DM","NDVI6",0.52,2.33,2.06
"Onne","DM","NDVI9",0.01,2.55,1.94
"Onne","SHTWT","NDVI3",0.04,11.64,6.13
"Onne","SHTWT","NDVI6",0.2,7.4,5.19
"Onne","SHTWT","NDVI9",0,7.2,5.77
"Onne","HI","NDVI3",0.01,0.09,0.07
"Onne","HI","NDVI6",0.03,1.02,0.28
"Onne","HI","NDVI9",0.05,0.09,0.07
"Onne","LODG","NDVI3",0,1.25,1.17
"Onne","LODG","NDVI6",0.05,1.06,0.96
"Onne","LODG","NDVI9",0.29,1.4,1.16
"Onne","STMDI","NDVI3",0.23,3.94,3.02
"Onne","STMDI","NDVI6",0,87.83,26.17
"Onne","STMDI","NDVI9",0.05,4.26,3.66
"Onne","ANGBR","NDVI3",0.01,42.36,32.97
"Onne","ANGBR","NDVI6",0.02,602.56,191.79
"Onne","ANGBR","NDVI9",0.11,46.65,37.87
