,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,RTWT,BRNHT9,PLTHT6,FYLD,DYLD,TYLD,HI,DM,BRNHT6
LODG,1,,,,,,,,,,,,,,,,,,,
BRNLEV9,0.486503814,1,,,,,,,,,,,,,,,,,,
PLTHT9,0.788038511,0.065348447,1,,,,,,,,,,,,,,,,,
NOHAV,-0.074542708,-0.53167432,-0.33923936,1,,,,,,,,,,,,,,,,
RTNO,-0.491125419,-0.517869322,-0.221921786,0.813819659,1,,,,,,,,,,,,,,,
STARCH,-0.075493526,-0.069422417,-0.158880428,0.343765259,0.135798024,1,,,,,,,,,,,,,,
BRNHB9,0.222653388,-0.644026627,0.005742059,-0.192655931,-0.026313099,0.115377253,1,,,,,,,,,,,,,
ANGBR9,0.354533445,-0.055313657,-0.100701697,-0.448034958,-0.301784068,-0.110266485,-0.23170563,1,,,,,,,,,,,,
STMDI9,0.576156802,-0.011412017,0.557698719,-0.440637845,-0.298405995,-0.344741584,0.311230511,0.159573082,1,,,,,,,,,,,
PPSTD9,-0.044800506,-0.482728297,-0.169626138,0.384677481,0.34131081,0.236787752,-0.139096727,-0.57712261,-0.42988143,1,,,,,,,,,,
SHTWT,0.183820751,0.181213181,0.660274279,0.487419904,0.417988385,-0.16193464,0.175310924,0.198212061,0.663819198,0.09927318,1,,,,,,,,,
RTWT,-0.557793749,-0.462257212,-0.044383569,0.661034354,0.949484983,-0.023760203,-0.052965775,-0.181157432,-0.112018648,0.160094146,0.332403796,1,,,,,,,,
BRNHT9,0.048490458,-0.806267323,0.190892195,-0.150137732,0.285226039,0.002262104,-0.052935183,-0.419981908,0.115297027,0.099523277,0.088335921,0.269137817,1,,,,,,,
PLTHT6,0.870766326,0.154645169,0.971628453,-0.340021604,-0.202018035,-0.135202333,0.105503661,-0.00817577,0.620398508,-0.175394604,0.715009705,-0.078645453,0.133882392,1,,,,,,
FYLD,-0.557785865,-0.462282567,-0.044332487,0.661016869,0.94948413,-0.023785758,-0.0529921,-0.181212368,-0.112005355,0.160107138,0.332399162,0.9999,0.269179459,-0.078590732,1,,,,,
DYLD,-0.483767201,-0.470581533,-0.155873552,0.553980429,0.669886936,0.356583289,-0.027528163,-0.254460969,-0.279100467,0.197713435,0.024057425,0.698430859,0.257238578,-0.234611067,0.698409562,1,,,,
TYLD,0.183812325,0.181219885,0.660224904,0.48743506,0.417963773,-0.16193005,0.175328533,0.198192334,0.663750908,0.09928214,0.9999,0.332393459,0.088327228,0.71497499,0.332388768,0.024039098,1,,,
HI,-0.729987956,-0.511707274,-0.41909041,0.176717328,0.566107514,0.034009983,-0.147518027,-0.281440916,-0.521534382,0.026104575,-0.385928028,0.699633147,0.244418699,-0.517508771,0.699633682,0.514140228,-0.38593272,1,,
DM,-0.075369628,-0.0693575,-0.158938485,0.34381313,0.135714799,0.9999,0.115490141,-0.110226317,-0.344670901,0.236555192,-0.161987081,-0.023853739,0.002098965,-0.135290917,-0.023879265,0.356495729,-0.161982454,0.033952527,1,
BRNHT6,0.12630294,-0.793795812,0.240635741,-0.106812028,0.342196955,0.006094039,-0.09065648,-0.437512848,0.167284758,0.157412758,0.143219782,0.324303214,0.918211389,0.208966361,0.324341691,0.308384748,0.143201866,0.285996846,0.006009039,1
