trial,year_harvest,location,trial_type,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,SHTWT,RTWT,DM,STARCH,FYLD,DYLD,HI,NDVI3,NDVI6,NDVI9,LODG,PLTHTIII,PLTHTVI,PLTHTIX,ANGBR9,STMDI9,time
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1355P0081_1001,TMS18F1355P0081,1001,1,,1,1,1,5.5,12.2,34.93,22.21,12.2,4.26,0.69,0.72,0.8,0.78,,67,105,151,86.56,16.96,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1305P0138_1002,TMS18F1305P0138,1002,1,,1,1,2,17.45,17.8,40.94,30.21,17.8,7.29,0.5,0.84,0.85,0.86,1,102,144,187,87.84,24.83,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1348P0097_1003,TMS18F1348P0097,1003,1,,1,1,3,31.15,28.25,35.58,23.08,28.25,10.05,0.48,0.83,0.88,0.88,,108,159,217,0,23.69,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1352P0049_1004,TMS18F1352P0049,1004,1,,1,1,4,14.15,15.2,33.68,20.54,15.2,5.12,0.52,0.82,0.87,0.8,4,127,146,190,92.17,22.79,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1485P0020_1005,TMS18F1485P0020,1005,1,,1,1,5,16.2,24.05,34.41,21.52,24.05,8.28,0.6,0.77,0.86,0.78,1,93,113,192,93.64,26.13,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1340P0001_1006,TMS18F1340P0001,1006,1,,1,1,6,16.9,21.3,33.65,20.51,21.3,7.17,0.56,0.81,0.86,0.82,,91,119,173,88.53,19.03,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1258P0153_1007,TMS18F1258P0153,1007,1,,1,1,7,29.2,40.35,34.85,22.1,40.35,14.06,0.58,0.82,0.86,0.83,2,105,134,235,101.97,25.38,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1562P0023_1008,TMS18F1562P0023,1008,1,,1,1,8,25.3,11.15,26.28,10.68,11.15,2.93,0.31,0.86,0.87,0.84,1,87,138,186,99.28,24.3,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMEB419_1009,TMEB419,1009,1,1,1,1,9,15.16,13.96,36.04,23.68,13.96,5.03,0.48,0.88,0.9,0.79,,116,,,,,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1338P0115_1010,TMS18F1338P0115,1010,1,,1,1,10,1.9,3.3,,,3.3,,0.63,0.65,0.78,0.69,1,48,75,106,38.72,12.43,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1308P0077_1011,TMS18F1308P0077,1011,1,,1,1,11,28.59,33.5,38.09,26.42,33.5,12.76,0.54,0.86,0.86,0.76,,107,146,224,76.33,23.5,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1337P0049_1012,TMS18F1337P0049,1012,1,,1,1,12,22.5,17.15,33.52,20.33,17.15,5.75,0.43,0.83,0.89,0.86,,122,140,228,87.29,28.84,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1005P0023_1013,TMS18F1005P0023,1013,1,,1,1,13,22.3,17.95,26.24,10.63,17.95,4.71,0.45,0.87,0.85,0.87,,98,146,234,97.47,24.49,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-IITA-TMS-IBA30572_1014,IITA-TMS-IBA30572,1014,1,1,1,1,14,16.1,13.95,37.56,25.72,13.95,5.24,0.46,0.8,0.84,0.83,2,118,168,214,91.36,23.44,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1287P0029_1015,TMS18F1287P0029,1015,1,,1,1,15,21.15,23.8,36.43,24.2,23.8,8.67,0.53,0.86,0.88,0.84,,134,167,240,0,21.57,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1489P0040_1016,TMS18F1489P0040,1016,1,,1,1,16,16.9,17.5,31.18,17.21,17.5,5.46,0.51,0.87,0.89,0.86,,128,147,244,92.06,34.98,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1340P0030_1017,TMS18F1340P0030,1017,1,,1,1,17,16.4,20.65,34.59,21.76,20.65,7.14,0.56,0.82,0.85,0.8,,114,160,234,,21.96,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1389P0021_1018,TMS18F1389P0021,1018,1,,1,1,18,24.3,11.2,34.21,21.25,11.2,3.83,0.32,0.82,0.84,0.87,2,118,180,,,,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1019P0018_1019,TMS18F1019P0018,1019,1,,1,1,19,4.3,7.65,29.47,14.94,7.65,2.25,0.64,0.7,0.86,0.8,6,101,126,231,125.17,32.7,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1318P0036_1020,TMS18F1318P0036,1020,1,,1,1,20,14.85,33.27,34.19,21.23,33.27,11.38,0.69,0.82,0.87,0.74,,129,168,207,96.63,27.31,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1562P0030_1021,TMS18F1562P0030,1021,1,,1,1,21,28.55,45.5,36.25,23.97,45.5,16.49,0.61,0.82,0.85,0.83,,130,154,241,78.36,33.53,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1334P0023_1022,TMS18F1334P0023,1022,1,,1,1,22,11.85,29.3,36.9,24.83,29.3,10.81,0.71,0.83,0.85,0.81,,87,134,200,112.89,23.45,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1272P0037_1023,TMS18F1272P0037,1023,1,,1,1,23,7.45,14.5,27.18,11.89,14.5,3.94,0.66,0.82,0.89,0.87,,77,145,,100.55,23.97,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1132P0144_1024,TMS18F1132P0144,1024,1,,1,1,24,4.55,5.35,,,5.35,,0.54,0.83,0.83,0.8,,72,106,170,0,18.32,3map
21.GS.C4B.PYT.500.ON,2022,Onne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1306P0129_1025,TMS18F1306P0129,1025,1,,1,1,25,25.35,24.62,35.01,22.31,24.62,8.62,0.49,0.83,0.87,0.81,,119,172,245,76.9,33.88,3map
