,Traits,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,RTWT,BRNHT9,PLTHT6,FYLD,DYLD,TYLD,HI,DM,BRNHT6
Environment: Ikenne,LODG,0.443871178876807,,,,,,,,,,,,,,,,,,,
,BRNLEV9,0.0628079435137217,0.747358221472326,,,,,,,,,,,,,,,,,,
,PLTHT9,0.141330493893686,0.0371407200021431,0.578509029626264,,,,,,,,,,,,,,,,,
,NOHAV,-0.193520917398302,0.0144136444386365,-0.0247219045493337,0.347814984796565,,,,,,,,,,,,,,,,
,RTNO,-0.290844014214969,0.000583820033184357,0.0157634090577058,0.136290742822833,0.594818743859044,,,,,,,,,,,,,,,
,STARCH,-0.186065347730053,0.0261297781857132,0.141814231476054,-0.144459023632298,0.0289156351690777,0.619891129437312,,,,,,,,,,,,,,
,BRNHB9,-0.0280670989160274,0.400112702467866,-0.0666332646273817,-0.058733313812167,0.072008533448829,0.0168993904779189,0.587486211936949,,,,,,,,,,,,,
,ANGBR9,0.0607271439425069,-0.0399068594283448,0.122477098390878,-0.127912302960615,-0.0367961146679911,-0.0302907150209314,-0.316942519186657,0.526344530098294,,,,,,,,,,,,
,STMDI9,0.10308589165612,0.146881470063784,0.350272550588218,-0.105666147048429,-0.0157991302525331,0.120556292366827,0.0869609943954548,0.081931871572462,0.464604368429923,,,,,,,,,,,
,PPSTD9,-0.123926984912432,-0.18991082488792,-0.0465175266545626,-0.0319249923462239,0.195473230157405,0.141606835839846,-0.0708791511209337,-0.0679779651742246,-0.114018916557757,0.230003893968981,,,,,,,,,,
,SHTWT,0.023871509643457,0.110704867772646,0.334544484346612,0.0247600421460955,0.142709019755711,0.0864363425172128,-0.000222768797709105,0.0446737024295583,0.297700366183478,0.0114583136081833,0.364996133576796,,,,,,,,,
,RTWT,-0.346126094860667,0.077541166925843,0.0248669433736427,0.159036238701265,0.508544193671828,-0.0981990555022665,0.112496085713451,-0.0140918661279938,0.0140877839134086,0.106170411609507,0.111550184253118,0.634739755907245,,,,,,,,
,BRNHT9,-0.0154819134321394,-0.572624283660363,0.270036135899791,-0.0448663948349436,0.0861308120380285,0.0201831789381887,-0.288324537255279,-0.0981644742938001,0.0922014147362172,0.175054508743307,0.06263186135611,0.0226774633359464,0.651899151626598,,,,,,,
,PLTHT6,0.17053319278966,0.0474388429524479,0.610577664541917,-0.0316588799363793,-0.00699218242803606,0.0654103159245723,-0.0688615493182281,0.0572232237290038,0.343479238117981,-0.0474746898086415,0.341894746814884,0.00704577087434483,0.270542350085322,0.638825594352107,,,,,,
,FYLD,-0.346041266123105,0.0776059798020415,0.0248238735350843,0.158942581934701,0.508425771572554,-0.0979424743981648,0.112344901552497,-0.0142396983453248,0.0140621428465159,0.106102116584593,0.111487474593167,0.634621553416902,0.0226786164701928,0.00703180890557198,0.634503191739874,,,,,
,DYLD,-0.290745836076943,0.0856429759187856,0.0295509182820779,0.136912580494145,0.471633801072631,0.162726792146817,0.102583380945676,-0.0450266312471466,0.0159011878731929,0.122254933404898,0.101737680990516,0.542377586856253,-0.00587178935146182,0.0178528469386599,0.542284395316129,0.589774022595804,,,,
