trial,year_harvest,location,trial_type,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,BRNHT9,PLTHT6,FYLD,DYLD,HI,BRNHT6
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1355P0081_1001,TMS18F1355P0081,1001,1,,1,1,1,0,3,114.1666667,9,31,23.3,3,73.83,17.73,2,9.8,49.16666667,100,31.4,11.6,0.71,46.66666667
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1305P0138_1002,TMS18F1305P0138,1002,1,,1,1,2,2,3,254.1666667,9,33,31.92,3,69.86,29.51,2,31.45,104.1666667,253.3333333,24.3,10.5,0.37,85
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1348P0097_1003,TMS18F1348P0097,1003,1,,1,1,3,4,2,158.3333333,6,20,,3,61.97,19.42,2,13.75,97,163.3333333,7.3,2.5,0.29,71.66666667
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1352P0049_1004,TMS18F1352P0049,1004,1,,1,1,4,0,3,213.3333333,9,25,22.63,2,83.7,25.45,1,23.2,100.8333333,195,30.5,8.9,0.5,71.66666667
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1485P0020_1005,TMS18F1485P0020,1005,1,,1,1,5,2,3,136.6666667,8,13,27.59,2,92.79,18.8,2,8.6,43.33333333,141.6666667,6.7,2.5,0.37,48
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1340P0001_1006,TMS18F1340P0001,1006,1,,1,1,6,0,2,149.1666667,9,50,24.98,3,70.08,20.66,2,16.4,27.5,136.6666667,22.3,8.2,0.51,41.66666667
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1258P0153_1007,TMS18F1258P0153,1007,1,,1,1,7,3,3,157.5,6,16,,3,88.3,25.2,2,10.3,63.33333333,150,10.4,3.4,0.43,68.33333333
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1562P0023_1008,TMS18F1562P0023,1008,1,,1,1,8,7,2,166.6666667,8,17,,3,78.15,20.5,3,14.2,92,170,9.3,3.5,0.33,80
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMEB419_1009,TMEB419,1009,1,1,1,1,9,4,0,196.6666667,9,12,,1,,21.03,2,9.15,115,226.6666667,5.3,1.8,0.3,
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1338P0115_1010,TMS18F1338P0115,1010,1,,1,1,10,2,2,63.33333333,9,,,2,,16.38,3,,27,75,3,,,30
20.GS.C4B.PYT.500.IK,2021,Ikenne,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1308P0077_1011,TMS18F1308P0077,1011,1,,1,1,11,0,3,123.3333333,9,31,24.69,3,73.69,17.08,3,11.95,33.33333333,143.3333333,23.9,8.6,0.6,31.66666667
