trial,location,genotype,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,RTWT,BRNHT9,PLTHT6,FYLD,DYLD,TYLD,HI,DM,BRNHT6
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1355P0081,0,3,114.1666667,9,31,23.3,3,73.83,17.73,2,9.8,23.55,49.16666667,100,31.4,11.6,13.1,0.71,37.1,46.66666667
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1305P0138,2,3,254.1666667,9,33,31.92,3,69.86,29.51,2,31.45,18.2,104.1666667,253.3333333,24.3,10.5,41.9,0.37,43.4,85
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1348P0097,4,2,158.3333333,6,20,,3,61.97,19.42,2,13.75,5.5,97,163.3333333,7.3,2.5,18.3,0.29,33.7,71.66666667
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1352P0049,0,3,213.3333333,9,25,22.63,2,83.7,25.45,1,23.2,22.9,100.8333333,195,30.5,8.9,30.9,0.50,29.3,71.66666667
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1485P0020,2,3,136.6666667,8,13,27.59,2,92.79,18.8,2,8.6,5.05,43.33333333,141.6666667,6.7,2.5,11.5,0.37,36.7,48
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1340P0001,0,2,149.1666667,9,50,24.98,3,70.08,20.66,2,16.4,16.75,27.5,136.6666667,22.3,8.2,21.9,0.51,36.7,41.66666667
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1258P0153,3,3,157.5,6,16,,3,88.3,25.2,2,10.3,7.8,63.33333333,150,10.4,3.4,13.7,0.43,32.9,68.33333333
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1562P0023,7,2,166.6666667,8,17,,3,78.15,20.5,3,14.2,7,92,170,9.3,3.5,18.9,0.33,37.5,80
20.GS.C4B.PYT.500.IK,Ikenne,TMEB419,4,0,196.6666667,9,12,,1,,21.03,2,9.15,4,115,226.6666667,5.3,1.8,12.2,0.30,33.5,
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1338P0115,2,2,63.33333333,9,,,2,,16.38,3,,2.25,27,75,3.0,,,,,30
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1308P0077,0,3,123.3333333,9,31,24.69,3,73.69,17.08,3,11.95,17.95,33.33333333,143.3333333,23.9,8.6,15.9,0.60,35.9,31.66666667
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1337P0049,5,2,225.8333333,9,55,,3,86.23,22.59,3,18.1,17.7,117,231.3333333,23.6,7.8,24.1,0.49,33.1,110
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1005P0023,4,2,186.6666667,8,16,,4,73.97,25.12,2,12.4,4.35,90,185,5.8,2.1,16.5,0.26,36.4,96.66666667
20.GS.C4B.PYT.500.IK,Ikenne,IITA-TMS-IBA30572,0,3,227.5,8,19,25.4,3,80.14,28.89,1,19.75,7.15,92.5,206.6666667,9.5,3.0,26.3,0.27,31.7,95
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1287P0029,0,2,156.6666667,9,58,33.27,4,64.02,19.27,3,11.8,20.2,98.33333333,171.6666667,26.9,11.3,15.7,0.63,42.1,105
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1489P0040,6,3,179.1666667,5,10,,3,64.59,21.37,1,15.55,6.45,51.66666667,156.6666667,8.6,2.6,20.7,0.29,30.3,31.66666667
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1340P0030,0,1,163.3333333,9,34,,2,78.14,17.89,2,8.35,11.95,74.16666667,145,15.9,5.8,11.1,0.59,36.7,77.33333333
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1389P0021,4,1,142.5,4,11,,2,82.79,24.3,1,9.35,4.8,63.33333333,200,6.4,2.2,12.5,0.34,34.3,150.6666667
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1019P0018,4,2,142.5,4,8,,,,,,5.05,2.25,68.33333333,176.6666667,3.0,0.7,6.7,0.31,23.3,108.3333333
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1318P0036,0,3,119.1666667,9,46,19.02,3,76.85,15.95,3,7.75,13.35,31.66666667,128.3333333,17.8,5.5,10.3,0.63,30.9,23.33333333
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1562P0030,0,2,170.8333333,9,36,27.53,3,71.71,17.65,2,15.51,7.8,71.66666667,171.6666667,10.4,3.4,20.7,0.33,32.9,100
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1334P0023,2,2,172.5,9,51,30,2,68.74,20.87,2,13.8,16.45,97,158.3333333,21.9,7.9,18.4,0.54,35.8,93
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1272P0037,0,3,156.6666667,9,37,22.61,3,83.11,20.59,2,15.7,11.9,45,141.6666667,15.9,4.1,20.9,0.43,25.7,35
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1132P0144,0,1,114.1666667,8,19,21.54,2,,15.3,2,6.7,6.7,75,135,8.9,3.1,8.9,0.50,34.2,82.5
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1306P0129,9,3,226.6666667,9,15,,3,82.83,21.82,3,37.45,6.8,132.5,201.6666667,9.1,3.0,49.9,0.15,33.5,111.6666667
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1349P0064,0,1,142.5,9,61,17.36,3,70.99,19.9,2,9.45,24.6,82.5,148.3333333,32.8,8.8,12.6,0.72,26.7,100.6666667
20.GS.C4B.PYT.500.IK,Ikenne,IITA-TMS-IBA000070,1,2,219.1666667,9,37,24,2,77.38,26.94,2,22.75,20.35,75,223.3333333,27.1,8.5,30.3,0.47,31.4,80
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1343P0014,6,2,214.1666667,6,13,,2,83.03,24.13,2,14.2,3.5,110,215,4.7,0.9,18.9,0.20,19.1,118.3333333
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1076P0121,5,1,171.6666667,8,38,,4,63.97,24.37,2,20.55,15.45,123.3333333,181.6666667,20.6,,27.4,0.43,,133.3333333
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1260P0060,0,3,148.3333333,9,65,29.59,3,81.35,18.57,2,12.58,24.65,56.66666667,133.3333333,32.9,11.8,16.8,0.66,35.8,58.33333333
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1250P0050,0,2,155.8333333,9,45,19.37,2,86.27,22.32,2,10.8,19.65,68.33333333,140.6666667,26.2,8.5,14.4,0.65,32.5,66.66666667
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1026P0009,2,3,155,7,22,29.33,3,82.96,23.57,1,15.45,14.95,61.66666667,163.3333333,19.9,8.0,20.6,0.49,40.2,59
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1338P0013,0,4,173.3333333,9,63,,3,68.81,19,2,13.1,25.8,50.83333333,158.3333333,34.4,10.5,17.5,0.66,30.4,45
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1421P0025,3,3,117.5,7,12,,2,60.77,17.62,1,3.5,3.9,25,133.3333333,5.2,1.8,4.7,0.53,34.3,33.33333333
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1174P0011,3,3,185.8333333,9,31,,3,89.68,23.58,2,18.5,13.45,49.16666667,171.6666667,17.9,4.5,24.7,0.42,24.9,73
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1064P0027,0,2,140,9,58,12.12,3,71.25,20.7,2,16.75,32.78,64.16666667,113,43.7,11.7,22.3,0.66,26.8,63.33333333
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1324P0171,0,2,181.6666667,8,57,,3,69.75,21.86,2,12.45,13.3,99.5,188.3333333,17.7,5.8,16.6,0.52,32.9,133.3333333
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1277P0045,2,2,154.1666667,9,28,17.04,3,78.28,21.49,1,21.98,7.35,62.5,153.3333333,9.8,2.3,29.3,0.25,23.1,68.33333333
20.GS.C4B.PYT.500.IK,Ikenne,IITA-TMS-IBA982101,0,2,180,6,26,,2,87.79,28.96,1,18.55,14.75,77.5,165,19.7,5.8,24.7,0.44,29.5,60
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1286P0012,0,2,214.1666667,9,63,,3,66.84,26.12,3,32.55,26.95,127.5,206.6666667,35.9,13.8,43.4,0.45,38.3,125
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1366P0012,0,4,203.3333333,9,25,17.1,3,87.86,24.58,1,25.3,15.1,60,200,20.1,6.2,33.7,0.37,30.9,43.33333333
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1280P0091,0,4,199.1666667,9,101,28.54,3,90.22,26.64,2,25.4,36.45,87.5,195,48.6,16.8,33.9,0.59,34.5,78
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1396P0053,0,3,150.8333333,9,82,26.31,3,80.62,24.21,2,22.4,27.601,64.16666667,155,36.8,13.5,29.9,0.55,36.7,70
20.GS.C4B.PYT.500.IK,Ikenne,IITA-TMS-IBA980581,1,1,197.5,9,55,23.1,2,,26.9,2,27.05,21.55,123.75,186.6666667,28.7,9.3,36.1,0.44,32.3,125
20.GS.C4B.PYT.500.IK,Ikenne,TMS18F1520P0039,4,4,200,5,12,,,,,,20.25,3.65,70,185,4.9,2.0,27.0,0.15,40.4,77.66666667
