trial,year_harvest,location,trial_type,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,RTWT,BRNHT9,PLTHT6,FYLD,DYLD,TYLD,HI,DM,BRNHT6
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1355P0081_1001,TMS18F1355P0081,1001,1,,1,1,1,,3,151,5,20,22.21,3,86.558,16.96,2,5.5,12.2,117,105,12.2,4.26,5.5,0.69,34.93,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1305P0138_1002,TMS18F1305P0138,1002,1,,1,1,2,1,2,187,8,30,30.21,3,87.844,24.83,2,17.45,17.8,119,144,17.8,7.29,17.45,0.50,40.94,99
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1348P0097_1003,TMS18F1348P0097,1003,1,,1,1,3,,,217,11,58,23.08,3,,23.69,4,31.15,28.25,,159,28.25,10.05,31.15,0.48,35.58,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1352P0049_1004,TMS18F1352P0049,1004,1,,1,1,4,4,3,190,8,38,20.54,3,92.166,22.79,3,14.15,15.2,121,146,15.2,5.12,14.15,0.52,33.68,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1485P0020_1005,TMS18F1485P0020,1005,1,,1,1,5,1,2,192,8,43,21.52,3,93.64,26.13,3,16.2,24.05,99,113,24.05,8.28,16.2,0.60,34.41,78
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1340P0001_1006,TMS18F1340P0001,1006,1,,1,1,6,,,173,8,54,20.51,3,88.53,19.03,3,16.9,21.3,,119,21.3,7.17,16.9,0.56,33.65,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1258P0153_1007,TMS18F1258P0153,1007,1,,1,1,7,2,3,235,9,59,22.10,3,101.968,25.38,2,29.2,40.35,97,134,40.35,14.06,29.2,0.58,34.85,72
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1562P0023_1008,TMS18F1562P0023,1008,1,,1,1,8,1,3,186,5,39,10.68,3,99.28,24.30,3,25.3,11.15,104,138,11.15,2.93,25.3,0.31,26.28,92
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMEB419_1009,TMEB419,1009,1,1,1,1,9,,,,4,20,23.68,3,,,,15.16,13.96,,,13.96,5.03,15.16,0.48,36.04,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1338P0115_1010,TMS18F1338P0115,1010,1,,1,1,10,1,,106,3,12,,3,38.72,12.43,3,1.9,3.3,,75,3.3,,1.9,0.63,,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1308P0077_1011,TMS18F1308P0077,1011,1,,1,1,11,,,224,9,76,26.42,3,76.334,23.50,3,28.59,33.5,,146,33.5,12.76,28.59,0.54,38.09,95
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1337P0049_1012,TMS18F1337P0049,1012,1,,1,1,12,,3,228,5,43,20.33,3,87.286,28.84,2,22.5,17.15,141,140,17.15,5.75,22.5,0.43,33.52,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1005P0023_1013,TMS18F1005P0023,1013,1,,1,1,13,,4,234,5,72,10.63,3,97.47,24.49,5,22.3,17.95,172,146,17.95,4.71,22.3,0.45,26.24,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-IITA-TMS-IBA30572_1014,IITA-TMS-IBA30572,1014,1,1,1,1,14,2,2,214,5,26,25.72,3,91.36,23.44,3,16.1,13.95,164,168,13.95,5.24,16.1,0.46,37.56,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1287P0029_1015,TMS18F1287P0029,1015,1,,1,1,15,,,240,10,87,24.20,3,,21.57,3,21.15,23.8,,167,23.8,8.67,21.15,0.53,36.43,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1489P0040_1016,TMS18F1489P0040,1016,1,,1,1,16,,3,244,4,18,17.21,3,92.056,34.98,1,16.9,17.5,123,147,17.5,5.46,16.9,0.51,31.18,87
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1340P0030_1017,TMS18F1340P0030,1017,1,,1,1,17,,3,234,6,32,21.76,2,,21.96,,16.4,20.65,172,160,20.65,7.14,16.4,0.56,34.59,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1389P0021_1018,TMS18F1389P0021,1018,1,,1,1,18,2,,,4,18,21.25,3,,,,24.3,11.2,,180,11.2,3.83,24.3,0.32,34.21,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1019P0018_1019,TMS18F1019P0018,1019,1,,1,1,19,6,2,231,3,16,14.94,2,125.172,32.70,1,4.3,7.65,119,126,7.65,2.25,4.3,0.64,29.47,73
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1318P0036_1020,TMS18F1318P0036,1020,1,,1,1,20,,3,207,8,39,21.23,3,96.63,27.31,2,14.85,33.27,105,168,33.27,11.38,14.85,0.69,34.19,115
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1562P0030_1021,TMS18F1562P0030,1021,1,,1,1,21,,3,241,9,118,23.97,3,78.362,33.53,1,28.55,45.5,128,154,45.5,16.49,28.55,0.61,36.25,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1334P0023_1022,TMS18F1334P0023,1022,1,,1,1,22,,3,200,9,41,24.83,3,112.89,23.45,2,11.85,29.3,145,134,29.3,10.81,11.85,0.71,36.90,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1272P0037_1023,TMS18F1272P0037,1023,1,,1,1,23,,,,6,31,11.89,3,100.552,23.97,2,7.45,14.5,,145,14.5,3.94,7.45,0.66,27.18,115
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1132P0144_1024,TMS18F1132P0144,1024,1,,1,1,24,,,170,6,22,,1,,18.32,5,4.55,5.35,,106,5.35,,4.55,0.54,,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1306P0129_1025,TMS18F1306P0129,1025,1,,1,1,25,,2,245,7,33,22.31,2,76.9,33.88,3,25.35,24.62,219,172,24.62,8.62,25.35,0.49,35.01,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1349P0064_1026,TMS18F1349P0064,1026,2,,1,2,25,,,169,10,82,13.40,1,,20.01,3,10.1,23.65,,125,23.65,6.70,10.1,0.70,28.31,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-IITA-TMS-IBA000070_1027,IITA-TMS-IBA000070,1027,2,1,1,2,24,,,228,9,84,22.76,2,83.53,26.13,2,21.75,63.25,,164,63.25,22.36,21.75,0.74,35.35,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1343P0014_1028,TMS18F1343P0014,1028,2,,1,2,23,,,,2,12,,1,,,,2.55,5.65,,,5.65,,2.55,0.69,,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1076P0121_1029,TMS18F1076P0121,1029,2,,1,2,22,,,224,10,62,25.25,3,84.804,23.45,3,20.15,24.15,,152,24.15,8.99,20.15,0.55,37.21,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1260P0060_1030,TMS18F1260P0060,1030,2,,1,2,21,,,139,10,88,21.17,3,95.266,20.04,3,12.08,33.4,,110,33.4,11.41,12.08,0.73,34.15,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1250P0050_1031,TMS18F1250P0050,1031,2,,1,2,20,,2,152,6,52,17.76,2,92.186,20.85,3,5.7,18.27,80,119,18.27,5.77,5.7,0.76,31.59,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1026P0009_1032,TMS18F1026P0009,1032,2,,1,2,19,2,3,240,7,62,20.48,3,90.62,31.01,2,37.45,27.2,128,151,27.2,9.15,37.45,0.42,33.63,108
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1338P0013_1033,TMS18F1338P0013,1033,2,,1,2,18,,3,198,9,58,14.95,3,,27.95,3,14.3,20.35,97,133,20.35,6.00,14.3,0.59,29.48,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1421P0025_1034,TMS18F1421P0025,1034,2,,1,2,17,2,,,3,14,,3,,,,8.65,5.15,,,5.15,,8.65,0.37,,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1174P0011_1035,TMS18F1174P0011,1035,2,,1,2,16,2,2,194,5,31,21.04,3,101.354,27.11,3,14.24,17.8,106,138,17.8,6.06,14.24,0.56,34.05,100
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1064P0027_1036,TMS18F1064P0027,1036,2,,1,2,15,,,196,8,52,17.06,3,62.02,25.50,4,20.25,38.05,,131,38.05,11.82,20.25,0.65,31.06,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1324P0171_1037,TMS18F1324P0171,1037,2,,1,2,14,,,,1,14,13.55,3,,,,3.45,9.5,,,9.5,2.70,3.45,0.73,28.43,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1277P0045_1038,TMS18F1277P0045,1038,2,,1,2,13,,3,253,7,52,18.71,3,89.226,41.14,2,38.65,26.05,129,188,26.05,8.42,38.65,0.40,32.30,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-IITA-TMS-IBA982101_1039,IITA-TMS-IBA982101,1039,2,1,1,2,12,,2,218,7,46,22.38,3,106.92,29.11,2,16.78,16.15,92,130,16.15,5.66,16.78,0.49,35.06,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1286P0012_1040,TMS18F1286P0012,1040,2,,1,2,11,,,258,8,58,22.71,2,88.67,24.82,3,24.55,35.4,,169,35.4,12.50,24.55,0.59,35.30,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1366P0012_1041,TMS18F1366P0012,1041,2,,1,2,10,,2,223,9,71,15.02,2,94.412,26.21,3,28.85,48.08,121,150,48.08,14.20,28.85,0.62,29.53,86
