trial,year_harvest,location,trial_type,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,BRNHT9,PLTHT6,FYLD,DYLD,HI,BRNHT6
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1355P0081_1001,TMS18F1355P0081,1001,1,,1,1,1,,3,151,5,20,22.21,3,86.558,16.96,2,5.5,117,105,12.2,4.26,0.69,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1305P0138_1002,TMS18F1305P0138,1002,1,,1,1,2,1,2,187,8,30,30.21,3,87.844,24.83,2,17.45,119,144,17.8,7.29,0.5,99
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1348P0097_1003,TMS18F1348P0097,1003,1,,1,1,3,,,217,11,58,23.08,3,,23.69,4,31.15,,159,28.25,10.05,0.48,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1352P0049_1004,TMS18F1352P0049,1004,1,,1,1,4,4,3,190,8,38,20.54,3,92.166,22.79,3,14.15,121,146,15.2,5.12,0.52,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1485P0020_1005,TMS18F1485P0020,1005,1,,1,1,5,1,2,192,8,43,21.52,3,93.64,26.13,3,16.2,99,113,24.05,8.28,0.6,78
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1340P0001_1006,TMS18F1340P0001,1006,1,,1,1,6,,,173,8,54,20.51,3,88.53,19.03,3,16.9,,119,21.3,7.17,0.56,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1258P0153_1007,TMS18F1258P0153,1007,1,,1,1,7,2,3,235,9,59,22.1,3,101.968,25.38,2,29.2,97,134,40.35,14.06,0.58,72
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1562P0023_1008,TMS18F1562P0023,1008,1,,1,1,8,1,3,186,5,39,10.68,3,99.28,24.3,3,25.3,104,138,11.15,2.93,0.31,92
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMEB419_1009,TMEB419,1009,1,1,1,1,9,,,,4,20,23.68,3,,,,15.16,,,13.96,5.03,0.48,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1338P0115_1010,TMS18F1338P0115,1010,1,,1,1,10,1,,106,3,12,,3,38.72,12.43,3,1.9,,75,3.3,,0.63,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1308P0077_1011,TMS18F1308P0077,1011,1,,1,1,11,,,224,9,76,26.42,3,76.334,23.5,3,28.59,,146,33.5,12.76,0.54,95
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1337P0049_1012,TMS18F1337P0049,1012,1,,1,1,12,,3,228,5,43,20.33,3,87.286,28.84,2,22.5,141,140,17.15,5.75,0.43,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1005P0023_1013,TMS18F1005P0023,1013,1,,1,1,13,,4,234,5,72,10.63,3,97.47,24.49,5,22.3,172,146,17.95,4.71,0.45,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-IITA-TMS-IBA30572_1014,IITA-TMS-IBA30572,1014,1,1,1,1,14,2,2,214,5,26,25.72,3,91.36,23.44,3,16.1,164,168,13.95,5.24,0.46,
21.GS.C4B.PYT.500.ON,2022,onne,PYT,2020-19.GS.C4B.PYT.500.ON-rep1-TMS18F1287P0029_1015,TMS18F1287P0029,1015,1,,1,1,15,,,240,10,87,24.2,3,,21.57,3,21.15,,167,23.8,8.67,0.53,
