,Traits,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,RTWT,BRNHT9,PLTHT6,FYLD,DYLD,TYLD,HI,DM,BRNHT6
Environment: mokwa,LODG,0.319692228428043,,,,,,,,,,,,,,,,,,,
,BRNLEV9,0.221475100715476,0.64825410838878,,,,,,,,,,,,,,,,,,
,PLTHT9,0.296480614722549,0.0350098901359024,0.442757248888438,,,,,,,,,,,,,,,,,
,NOHAV,-0.02107452631239,-0.214044934848329,-0.112869267993293,0.250019145528164,,,,,,,,,,,,,,,,
,RTNO,-0.155160451075363,-0.232978273412507,-0.08250977042298,0.227372224245927,0.312208821372873,,,,,,,,,,,,,,,
,STARCH,-0.0340003412681215,-0.0445225380361004,-0.0842094410372551,0.136916617496253,0.0604398801519855,0.634475703869741,,,,,,,,,,,,,,
,BRNHB9,0.0927868599903522,-0.38217969672554,0.00281605819559372,-0.0710002971499673,-0.010836418141133,0.0677358973661994,0.543228247119784,,,,,,,,,,,,,
,ANGBR9,0.160329521843304,-0.0356201114615928,-0.0535932256343395,-0.179179698164166,-0.134868079884265,-0.0702491933191626,-0.136589716625551,0.639706160346807,,,,,,,,,,,,
,STMDI9,0.211510148141101,-0.00596567442981077,0.240938933064818,-0.143051667154161,-0.10825666402732,-0.178289477140304,0.148935357215609,0.0828656220087174,0.421549900115224,,,,,,,,,,,
,PPSTD9,-0.0131302135875933,-0.201464368492968,-0.0585057385384734,0.0997025460565476,0.0988542842179133,0.0977664013076564,-0.053141145558887,-0.239266119990065,-0.144675846506486,0.268686388595306,,,,,,,,,,
,SHTWT,0.0602018965324662,0.0845107659020207,0.25448186370171,0.141169055787058,0.135280883462234,-0.0747131281624546,0.0748427514585681,0.0918269080142931,0.24964560235069,0.0298060483748117,0.335505203759938,,,,,,,,,
,RTWT,-0.207547213229989,-0.244925259020494,-0.0194348996104284,0.217514346296469,0.349130622868267,-0.0124547474641186,-0.0256899775158802,-0.0953506516494515,-0.0478621346242855,0.0546104238086017,0.126704731801262,0.433066423972797,,,,,,,,
,BRNHT9,0.0221902849325018,-0.525402664624746,0.102804372363811,-0.0607599012043704,0.128988902087982,0.00145834617800189,-0.0315773838876267,-0.271870085235757,0.0605875203097096,0.0417530393640405,0.0414121264741457,0.143348298710009,0.655060058868406,,,,,,,
,PLTHT6,0.305539190660804,0.0772695305885706,0.40121978600673,-0.105509708449353,-0.0700506258233276,-0.0668330076864476,0.0482567377259451,-0.00405805745275023,0.24997381444029,-0.0564206853384129,0.257016396725351,-0.0321181218004215,0.0672455137689049,0.385122202313882,,,,,,
,FYLD,-0.207541890569108,-0.244935873556002,-0.0194123083956053,0.217506088993074,0.349126290361045,-0.0124679994641975,-0.0257024501511024,-0.0953784685936889,-0.0478559039990831,0.054614226886183,0.126701506795282,0.433061444645745,0.143368827847615,-0.03209540460329,0.43305642554653,,,,,
,DYLD,-0.16854844129568,-0.233469319931294,-0.0639112883965162,0.170688143755063,0.23064625564799,0.175021269865108,-0.0125023219999381,-0.125410455108139,-0.111662502855603,0.0631511600016742,0.00858659659454339,0.283219376610743,0.12829182242763,-0.0897160351238912,0.283207480335179,0.379703494730108,,,,
,TYLD,0.060200227448939,0.0845154235134955,0.254467443344373,0.141176002705531,0.135275368437258,-0.0747123637016812,0.0748516250363498,0.09181943223579,0.249624442219412,0.029809278674738,0.335511262997609,0.126703086968387,0.0414088015190677,0.257008574030123,0.126699840070011,0.00858021059623784,0.335517339247636,,,
,HI,-0.329989028779488,-0.329391216873362,-0.222950447881523,0.0706453460082546,0.252894454178089,0.0216586682676247,-0.0869268681228239,-0.179967998726354,-0.270723044728294,0.0108182561401587,-0.17872023340179,0.368099650917483,0.158158591541618,-0.256764381756073,0.368095695315401,0.253292116127575,-0.17872564357067,0.639198280623752,,
,DM,-0.0339410872738641,-0.0444763793871957,-0.0842316424581175,0.136921753288482,0.0603966940248291,0.634411398178903,0.0677952744551973,-0.0702164589538685,-0.178234788764219,0.097660444553219,-0.0747297200605168,-0.0125025058503415,0.00135303560710859,-0.0668699929663032,-0.0125157405473081,0.174960492061002,-0.0747289393123383,0.021619878514956,0.634346738915842,
,BRNHT6,0.0571157852191587,-0.511161473799003,0.12806181282856,-0.0427153006580271,0.152923916950901,0.00388230287490421,-0.053440027562495,-0.279870903559005,0.0868675437239965,0.0652588553531461,0.0663482230819278,0.170688856491442,0.594374163258843,0.103717569243314,0.17070714228402,0.15198189786042,0.0663411253974061,0.182875573768591,0.00382776343513241,0.639666151343944
,,,,,,,,,,,,,,,,,,,,,
