,,Genetic Correlations,,,,,,,,,,,,,,,,,,,,,Probabilities,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Traits,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,RTWT,BRNHT9,PLTHT6,FYLD,DYLD,TYLD,HI,DM,,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,RTWT,BRNHT9,PLTHT6,FYLD,DYLD,TYLD,HI,DM
Environment: mokwa,BRNLEV9,0.486503814126392,,,,,,,,,,,,,,,,,,,,0.0001,,,,,,,,,,,,,,,,,,
,PLTHT9,0.788038510622507,0.0653484467992538,,,,,,,,,,,,,,,,,,,0.0001,0.164983400025031,,,,,,,,,,,,,,,,,
,NOHAV,-0.0745427083745742,-0.531674319700132,-0.339239359723037,,,,,,,,,,,,,,,,,,0.113108794511968,0.0001,0.0001,,,,,,,,,,,,,,,,
,RTNO,-0.491125419473948,-0.517869321703719,-0.221921785662997,0.81381965929308,,,,,,,,,,,,,,,,,0.0001,0.0001,0.0001,0.0001,,,,,,,,,,,,,,,
,STARCH,-0.0754935263578747,-0.0694224173692833,-0.15888042788292,0.343765258966009,0.135798024077161,,,,,,,,,,,,,,,,0.108573045554947,0.140139812417852,0.000689256976676766,0.0001,0.0037826915284227,,,,,,,,,,,,,,
,BRNHB9,0.222653387544589,-0.644026626770083,0.00574205879216889,-0.192655930654268,-0.0263130992700194,0.11537725304601,,,,,,,,,,,,,,,0.0001,0.0001,0.902997099864466,0.0000366165308665067,0.576440171427982,0.01400668531678,,,,,,,,,,,,,
,ANGBR9,0.354533444687147,-0.0553136566852127,-0.10070169719906,-0.448034957734366,-0.301784067617432,-0.110266485237021,-0.231705630440734,,,,,,,,,,,,,,0.0001,0.240022087882321,0.0321257543454614,0.0001,0.0001,0.0188964294179126,0.0001,,,,,,,,,,,,
,STMDI9,0.576156802200872,-0.011412017144639,0.557698719423537,-0.440637845415512,-0.298405995483996,-0.344741583851544,0.311230511023039,0.159573081943702,,,,,,,,,,,,,0.0001,0.80860360950011,0.0001,0.0001,0.0001,0.0001,0.0001,0.000652481299178831,,,,,,,,,,,
