,,Phenotypic Correlations,,,,,,,,,,,,,,,,,,,,,Probabilities,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Traits,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,RTWT,BRNHT9,PLTHT6,FYLD,DYLD,TYLD,HI,DM,,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,RTWT,BRNHT9,PLTHT6,FYLD,DYLD,TYLD,HI,DM
Environment: mokwa,BRNLEV9,0.145249544419072,,,,,,,,,,,,,,,,,,,,0.00193931110433132,,,,,,,,,,,,,,,,,,
,PLTHT9,0.245166303596283,0.268163924312327,,,,,,,,,,,,,,,,,,,0.000000126038264935957,0.00000000669851463186433,,,,,,,,,,,,,,,,,
,NOHAV,0.0265435503977885,-0.120849975141552,0.130965486238106,,,,,,,,,,,,,,,,,,0.573104037576304,0.0100390388597238,0.00524197694938344,,,,,,,,,,,,,,,,
,RTNO,-0.255507990730783,-0.218084407279322,0.112557868759844,0.755285202140208,,,,,,,,,,,,,,,,,0.0000000348862103649594,0.00000279477673226225,0.0165452465087386,0,,,,,,,,,,,,,,,
,STARCH,-0.121383450853067,-0.0168910542188487,-0.0291898756917377,0.306496141920787,0.258278753452484,,,,,,,,,,,,,,,,0.0097116364494596,0.719940684830959,0.535463921718019,0.0000000000261994870243143,0.0000000244892652823125,,,,,,,,,,,,,,
,BRNHB9,0.0294094868022102,-0.242233043978499,0.0733844392447976,0.0186374211836297,0.0746805724064357,0.0550374376493642,,,,,,,,,,,,,,,0.532396980015645,0.00000017957611508912,0.118833710617193,0.692390193896986,0.112442056972784,0.242381306311805,,,,,,,,,,,,,
,ANGBR9,0.0775778542879556,0.384940119233368,0.123105080247861,0.000474081379771084,-0.0187808113762276,-0.0822838205728892,0.395512812994373,,,,,,,,,,,,,,0.0991322053829804,0,0.0087187973525058,0.991971522647005,0.690145416859215,0.0802148122356727,0,,,,,,,,,,,,
,STMDI9,0.141561233514649,0.226471096290221,0.558484302435605,-0.0318882918957357,-0.0023938528283041,-0.216662677505624,0.311727170674752,0.331198892760702,,,,,,,,,,,,,0.00252893726355374,0.00000111447214967697,0,0.498405369594306,0.959477257411216,0.00000325462736427973,0.0000000000115099041408939,0.000000000000465849581132716,,,,,,,,,,,
