,Traits,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,RTWT,BRNHT9,PLTHT6,FYLD,DYLD,TYLD,HI,DM,BRNHT6
Environment: onne,LODG,0.297921198016195,,,,,,,,,,,,,,,,,,,
,BRNLEV9,0.0287509586458015,0.365085218805931,,,,,,,,,,,,,,,,,,
,PLTHT9,-0.204200445607784,0.0392398336585934,0.58585037924853,,,,,,,,,,,,,,,,,
,NOHAV,-0.0137909263047576,-0.144854314050436,-0.0634255898114597,0.533603268309903,,,,,,,,,,,,,,,,
,RTNO,-0.0768066218488064,-0.0283672500352364,0.03200797913857,0.488192374658449,0.537990158185935,,,,,,,,,,,,,,,
,STARCH,-0.0695330998375064,-0.0633715934489734,-0.0460789121029614,0.0610342153909165,0.126493604590146,0.818352225638729,,,,,,,,,,,,,,
,BRNHB9,0.01580260322187,0.0178989881480944,0.051763816625875,-0.0113620872752473,0.0771019857567245,0.0918931263294066,0.573163395843494,,,,,,,,,,,,,
,ANGBR9,0.00603040102048319,-0.0886319496337919,-0.0933811238628539,-0.151156722710207,-0.0575358795281442,-0.06545535459484,-0.176482888836083,0.562295131895809,,,,,,,,,,,,
,STMDI9,-0.0389546978339598,-0.0269085935212451,0.312536418864051,-0.245278467551979,-0.121910411735803,0.0164757571421617,0.305958246314941,0.0664335153914921,0.632088779704878,,,,,,,,,,,
,PPSTD9,-0.0974317612913344,-0.0127712556878691,-0.103156540551361,0.0172158466545964,0.0182078279219534,-0.0799482096265939,-0.154595353971898,-0.0905717040491839,-0.27705392291875,0.361954931790185,,,,,,,,,,
,SHTWT,0.0510832383859716,-0.022611329743957,0.298321168170698,0.269668816543171,0.274912527571756,0.110242343164506,0.180648027693951,-0.0519622199920055,0.373773479569945,-0.0482951182757777,0.562015972754905,,,,,,,,,
,RTWT,-0.0720128721892377,-0.0876845373057233,0.142810162783399,0.410573860483525,0.456380840063203,0.0953745363322704,0.117328742954527,-0.0684401667881259,0.013742971131973,-0.0531121797636821,0.311350646656453,0.559131230737871,,,,,,,,
,BRNHT9,-0.329608672121996,0.0858502028953124,0.491418722914417,-0.104546827218288,-0.0326569745418033,-0.00566090957751347,-0.220023419811233,-0.172538502206503,-0.0142544620787137,0.091504846135447,-0.0774047285919265,-0.00420970558823375,0.807860407217588,,,,,,,
,PLTHT6,-0.0425438379207412,-0.0328322879042548,0.598844824143298,-0.0878960976591137,0.0037368387717821,0.00922878645558117,0.0118485430358451,-0.0940652411237129,0.322852942867492,-0.126960985047637,0.28594648277345,0.0527615507193792,0.372485610401947,0.700450359244528,,,,,,
,FYLD,-0.0720128721892377,-0.0876845373057233,0.142810162783399,0.410573860483525,0.456380840063203,0.0953745363322704,0.117328742954527,-0.0684401667881259,0.013742971131973,-0.0531121797636821,0.311350646656453,0.559131230737871,-0.00420970558823375,0.0527615507193792,0.559131230737871,,,,,
,DYLD,-0.0250455596895737,-0.0483678486659507,0.0949650649445987,0.276671665093666,0.349612233497419,0.304528102253523,0.126602441510207,-0.0954245893061605,0.0403813055541618,-0.0463097364597838,0.231664015611495,0.412029160395177,0.00141350586822847,0.021990005896683,0.412029160395177,0.521715290795958,,,,
,TYLD,0.0510832383859716,-0.022611329743957,0.298321168170698,0.269668816543171,0.274912527571756,0.110242343164506,0.180648027693951,-0.0519622199920055,0.373773479569945,-0.0482951182757777,0.562015972754905,0.311350646656453,-0.0774047285919265,0.28594648277345,0.311350646656453,0.231664015611495,0.562015972754905,,,
,HI,-0.162178502202957,-0.0279081383331241,-0.188129478163022,0.0991641167519539,0.145620266948587,-0.076677207711961,-0.0674171885393053,-0.0316212108827841,-0.363401129870089,0.0225114574897963,-0.302911179658473,0.189231160599385,0.0640525120104588,-0.22551542655895,0.189231160599385,0.0763864396963017,-0.302911179658473,0.553039404321398,,
,DM,-0.0694991936677917,-0.0633428612842575,-0.0460797997662706,0.0609817550436234,0.126444152649156,0.81835647451234,0.0918382119270762,-0.0654138528490248,0.016429006148363,-0.0799061478998059,0.110253242004286,0.095344955514814,-0.00575536827467343,0.00926320095020688,0.095344955514814,0.304499967941445,0.110253242004286,-0.0767134909311432,0.818360512222652,
,BRNHT6,-0.258439157123647,-0.0151066291199764,0.193559225837211,-0.123469109129365,0.00454772230164352,-0.0406024444100315,-0.226407679523628,-0.0890930968638437,-0.000601352144807887,-0.315761539504382,-0.00274196212081085,0.016077441010122,-0.0498100663841831,0.313591467099472,0.016077441010122,-0.0326457800655598,-0.00274196212081085,0.0387365030281671,-0.0406988352387221,0.836949136967871
,,,,,,,,,,,,,,,,,,,,,
