,,Genetic Correlations,,,,,,,,,,,,,,,,,,,,,Probabilities,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Traits,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,RTWT,BRNHT9,PLTHT6,FYLD,DYLD,TYLD,HI,DM,,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,RTWT,BRNHT9,PLTHT6,FYLD,DYLD,TYLD,HI,DM
Environment: onne,BRNLEV9,0.0871775165459496,,,,,,,,,,,,,,,,,,,,0.0637573474562556,,,,,,,,,,,,,,,,,,
,PLTHT9,-0.488779073457718,0.0848470303096691,,,,,,,,,,,,,,,,,,,0.0001,0.0712106218401751,,,,,,,,,,,,,,,,,
,NOHAV,-0.0345886396700656,-0.328189776857357,-0.113438868138211,,,,,,,,,,,,,,,,,,0.462727314813205,0.0001,0.0157118585956246,,,,,,,,,,,,,,,,
,RTNO,-0.191849554463698,-0.0640078055196432,0.0570135011975824,0.911159849532745,,,,,,,,,,,,,,,,,0.0000395235775592084,0.173842578111288,0.225858463968051,0.0001,,,,,,,,,,,,,,,
,STARCH,-0.140822075633618,-0.115938412126686,-0.0665485646851058,0.0923621359999491,0.190638783040481,,,,,,,,,,,,,,,,0.0026651675669036,0.0135444476506237,0.157344088407013,0.0494620941332777,0.0000443014651003715,,,,,,,,,,,,,,
,BRNHB9,0.038241833149929,0.0391284025088267,0.0893292488815915,-0.0205451652688112,0.138847852837385,0.134175632514838,,,,,,,,,,,,,,,0.416803311635531,0.406076324709081,0.0574577788937951,0.662751843235625,0.00306242630782982,0.00422542502530066,,,,,,,,,,,,,
,ANGBR9,0.0147337513321177,-0.195618991297148,-0.16269850576832,-0.27595359814493,-0.104609093039014,-0.096492349190606,-0.31087172296284,,,,,,,,,,,,,,0.754477649826046,0.000027579338519601,0.000508070292616791,0.0001,0.0259848010933967,0.0400879390881821,0.0001,,,,,,,,,,,,
,STMDI9,-0.0897676908234144,-0.0560150570120465,0.513591906117765,-0.422338904925537,-0.209056921038973,0.0229079461215628,0.508316082568103,0.111433557975261,,,,,,,,,,,,,0.0562395923704866,0.234103976891774,0.0001,0.0001,0.0001,0.626765263224971,0.0001,0.0176648209687964,,,,,,,,,,,
