,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,RTWT,BRNHT9,PLTHT6,FYLD,DYLD,TYLD,HI,DM,BRNHT6
LODG,1,,,,,,,,,,,,,,,,,,,
BRNLEV9,0.087177517,1,,,,,,,,,,,,,,,,,,
PLTHT9,-0.488779073,0.08484703,1,,,,,,,,,,,,,,,,,
NOHAV,-0.03458864,-0.328189777,-0.113438868,1,,,,,,,,,,,,,,,,
RTNO,-0.191849554,-0.064007806,0.057013501,0.91115985,1,,,,,,,,,,,,,,,
STARCH,-0.140822076,-0.115938412,-0.066548565,0.092362136,0.190638783,1,,,,,,,,,,,,,,
BRNHB9,0.038241833,0.039128403,0.089329249,-0.020545165,0.138847853,0.134175633,1,,,,,,,,,,,,,
ANGBR9,0.014733751,-0.195618991,-0.162698506,-0.275953598,-0.104609093,-0.096492349,-0.310871723,1,,,,,,,,,,,,
STMDI9,-0.089767691,-0.056015057,0.513591906,-0.422338905,-0.209056921,0.022907946,0.508316083,0.111433558,1,,,,,,,,,,,
PPSTD9,-0.296703457,-0.035132514,-0.224014509,0.039173456,0.041261378,-0.146896468,-0.339414166,-0.200762753,-0.579225906,1,,,,,,,,,,
SHTWT,0.124839885,-0.049917705,0.51989583,0.492432966,0.499957407,0.162556347,0.318287539,-0.09243388,0.6271119,-0.107078341,1,,,,,,,,,
RTWT,-0.176442234,-0.194074735,0.249522008,0.751666446,0.832115013,0.140995552,0.207256571,-0.122059623,0.02311717,-0.118061964,0.555416188,1,,,,,,,,
BRNHT9,-0.671861416,0.158079651,0.714315536,-0.159233111,-0.049535957,-0.006962222,-0.323341505,-0.255997453,-0.019947732,0.169218806,-0.114874837,-0.006263638,1,,,,,,,
PLTHT6,-0.093131646,-0.064925504,0.934829139,-0.143771122,0.006087353,0.012189497,0.018699803,-0.149885057,0.485206919,-0.252147321,0.455744797,0.084308622,0.495168026,1,,,,,,
FYLD,-0.176442234,-0.194074735,0.249522008,0.751666446,0.832115013,0.140995552,0.207256571,-0.122059623,0.02311717,-0.118061964,0.555416188,0.999999979,-0.006263638,0.084308622,1,,,,,
DYLD,-0.063527716,-0.110826302,0.171772523,0.524370963,0.659906883,0.4660585,0.231518689,-0.176181924,0.07031929,-0.106568357,0.427826246,0.762876569,0.002177272,0.036376413,0.762876569,1,,,,
TYLD,0.124839885,-0.049917705,0.51989583,0.492432966,0.499957407,0.162556347,0.318287539,-0.09243388,0.6271119,-0.107078341,0.999999865,0.555416188,-0.114874837,0.455744797,0.555416188,0.427826246,1,,,
HI,-0.399543946,-0.062109167,-0.330510641,0.182543877,0.266966416,-0.113977235,-0.119743895,-0.056704603,-0.614637656,0.0503151,-0.543329039,0.340296707,0.095827446,-0.362334383,0.340296707,0.142207154,-0.543329039,1,,
DM,-0.140752701,-0.115885265,-0.066549513,0.092282286,0.190563298,0.9999,0.134094778,-0.096430685,0.022842829,-0.146818448,0.162571602,0.140951115,-0.007078359,0.01223489,0.140951115,0.466013105,0.162571602,-0.114030596,1,
BRNHT6,-0.517556873,-0.027328821,0.276420957,-0.184756417,0.006777308,-0.04906056,-0.326890569,-0.129871055,-0.000826781,-0.573696837,-0.003997952,0.023502308,-0.060575829,0.409568006,0.023502308,-0.049403842,-0.003997952,0.056936774,-0.049176784,1
