,,Phenotypic Correlations,,,,,,,,,,,,,,,,,,,,,Probabilities,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Traits,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,RTWT,BRNHT9,PLTHT6,FYLD,DYLD,TYLD,HI,DM,,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,RTWT,BRNHT9,PLTHT6,FYLD,DYLD,TYLD,HI,DM
Environment: onne,BRNLEV9,-0.122077027007692,,,,,,,,,,,,,,,,,,,,0.00930017727386079,,,,,,,,,,,,,,,,,,
,PLTHT9,-0.0958346604437547,0.158320347111366,,,,,,,,,,,,,,,,,,,0.0414715353238808,0.000720387946600232,,,,,,,,,,,,,,,,,
,NOHAV,0.0108166091976237,0.00928171704739287,0.116740819747889,,,,,,,,,,,,,,,,,,0.818411032074243,0.843820798205523,0.0129068356107451,,,,,,,,,,,,,,,,
,RTNO,-0.111822973855797,0.0670398807536268,0.145086871432846,0.812002968062688,,,,,,,,,,,,,,,,,0.0172697725419388,0.154294872945354,0.00196240346453225,0,,,,,,,,,,,,,,,
,STARCH,-0.019547329279484,-0.0937531449897089,0.0230367935591892,0.192498552742622,0.261591665621578,,,,,,,,,,,,,,,,0.678192011460265,0.0461188265317722,0.624827072502478,0.0000371675026398233,0.0000000159538333655007,,,,,,,,,,,,,,
,BRNHB9,0.11480759256443,0.482937230025059,0.0648880319999735,-0.0201300960944183,0.0898667890029425,0.0989913684995312,,,,,,,,,,,,,,,0.0144900643851518,0,0.167986885989967,0.669157609439127,0.0559672437932774,0.035181187933945,,,,,,,,,,,,,
,ANGBR9,0.129871815353261,0.0181017285142402,-0.0252210714197046,-0.0414612274723127,-0.00303490550318739,-0.0270142760220249,0.256111273088299,,,,,,,,,,,,,,0.00563562714849342,0.700800185045989,0.592371763214086,0.378646539498378,0.948638996048497,0.566318074042842,0.0000000323106756905389,,,,,,,,,,,,
,STMDI9,0.157588039927738,0.0685868557233605,0.473229123351462,-0.203588876896189,-0.103805853517128,0.0291960266325722,0.338683991276748,0.161146403586227,,,,,,,,,,,,,0.000763056788096961,0.144986087862754,0,0.0000125969641746604,0.0271572681620698,0.535377901170124,0.000000000000127453603226968,0.000575601207047249,,,,,,,,,,,
