Genotypes,Replication,ANGBR9,BRNHB9,BRNHT9,BRNHT6,BRNLEV9,DM,DYLD,FYLD,HI,LODG,NOHAV,PLTHT9,PLTHT6,PPSTD9,PT,RTNO,RTWT,SHTWT,STARCH,STMDI9,TYLD,VR
G1,1,79.38922588,2.743211315,85.17020037,81.22483477,1.780914632,32.8498746,10.30557152,31.74801401,0.499840212,1.579697382,9.08359206,197.2531397,187.6601653,1.683969951,2.730772942,46.87721871,24.91628406,22.28787548,24.75258837,25.8361266,28.98362634,2.730772942
G2,1,84.79952067,3.029672593,104.4637931,88.02449027,2.213812195,31.9278392,4.912593577,14.22073465,0.36778688,2.179548745,7.371927865,192.0803193,192.8664101,1.602288695,2.730772942,26.04890561,10.25805372,17.92572976,24.45351043,27.93487175,24.09807699,2.730772942
G3,1,69.73871291,2.485493504,123.951774,125.9375529,1.166059163,31.02629881,6.807732079,22.19054269,0.423882756,1.700987237,8.899943383,192.5149406,195.4999791,1.768300729,2.730772942,43.42157182,16.67235524,22.87258343,22.27084941,27.78958463,30.42044368,2.730772942
G4,1,84.87583282,2.851484813,69.46313847,69.17708421,2.112763742,32.6049629,7.065645508,21.49524266,0.413506978,1.079553659,8.049728439,185.0226755,177.6009917,1.404898609,2.730772942,37.34647278,16.28068502,22.79670005,24.5558868,28.7652626,30.05606078,2.730772942
G5,1,79.79827825,2.687828224,105.4117008,93.06788251,1.869324857,30.5093516,6.966406526,22.68567565,0.444581897,2.002987194,8.405748501,175.9122105,169.2062791,1.463705441,2.730772942,30.90644497,17.51097861,22.66438357,20.94933764,27.01532692,30.03303936,2.730772942
G6,1,59.51393846,1.576970346,152.5794579,153.4705366,0.725389117,34.01188941,5.521454697,15.72941126,0.38822299,2.609235853,7.639049722,224.1331846,220.2101402,1.526118576,2.730772942,20.15676113,11.38620601,17.43734183,25.45955877,25.609725,23.59095323,2.730772942
G7,1,72.46423206,2.656890344,52.19944846,51.46024106,2.334932765,33.84832972,6.518318735,17.45670278,0.471702134,3.147006452,7.843032497,152.1920478,148.7035085,1.411235239,2.730772942,28.50475103,13.79037362,12.60120771,24.3262864,25.27794916,17.41327232,2.730772942
G8,1,78.0370433,2.93226913,77.51604789,76.55867251,2.516438334,36.18641125,8.181458157,21.88735976,0.423349442,3.042652553,8.39928406,183.1051579,177.6704079,1.500773774,2.730772942,30.27629657,17.06959718,20.34429096,27.31934979,26.41193456,26.55120305,2.730772942
G9,1,87.88558431,2.979930829,75.69223224,72.724676,2.389868742,34.45965183,7.412083546,21.12234172,0.492989413,1.642944096,7.843032497,171.6930286,170.4066686,1.179656637,2.730772942,33.45079496,16.15583085,15.98803835,26.30032553,25.31215682,21.26947885,2.730772942
G10,1,79.89140411,3.00466495,74.65213244,71.79665148,2.249222268,35.51529749,9.683445536,27.2548781,0.528026944,1.420683865,9.04374905,161.0136866,162.8968054,1.719183144,2.730772942,51.81815462,21.04492975,17.50565687,27.80623576,22.9803335,23.46602216,2.730772942
G11,1,72.79291376,2.333849858,90.2395844,88.91659809,1.455518925,33.08347145,7.368740291,22.14893013,0.496073987,1.124356203,8.442784331,153.0320202,153.5015404,2.232286646,2.730772942,40.04552021,16.75607117,16.57999377,25.64251423,22.02420543,22.30645076,2.730772942
G12,1,81.68449674,2.917486834,75.15190337,83.1121152,2.268727173,32.8062786,6.663578527,19.79245637,0.514856865,1.820753891,6.847854349,160.2203151,161.7729613,1.184560733,2.730772942,23.73213453,15.173616,14.45095791,25.63172411,26.10057058,19.55822871,2.730772942
G13,1,89.55587607,3.123940299,82.76888553,89.91915639,2.067388446,32.2313458,5.877203112,15.75506983,0.380710266,2.117611362,7.427121791,181.4820164,187.8473987,1.960107829,2.730772942,27.13272894,12.06580302,16.76809991,24.37515665,26.5375096,21.78968183,2.730772942
G14,1,68.88272164,2.995110947,127.6565065,125.8997779,1.48257005,35.17232207,8.190287496,23.08610768,0.495759058,1.284835502,8.332185645,188.6582155,183.0226927,1.76137216,2.730772942,42.81794124,17.30232895,17.21930632,27.12410811,25.39989475,22.99270749,2.730772942
G15,1,77.49869414,3.082361454,69.26140173,67.6186227,2.68152987,34.7676582,7.181501429,20.42062894,0.440125445,1.549478886,8.565601117,176.9496075,189.3493649,1.586925103,2.730772942,36.52237232,15.27563032,18.83219749,27.05882082,25.33341301,25.16482778,2.730772942
G16,1,71.92847892,3.398699398,95.64058148,97.48325548,2.297362872,34.33077591,7.720249469,21.93164236,0.449324607,1.571852433,7.723447184,191.0325707,186.9741406,1.714375993,2.730772942,31.96561342,16.62079804,18.68462114,25.63792389,26.7202744,24.33627621,2.730772942
G17,1,76.47168746,3.082985909,76.39697734,67.14157447,2.952368328,32.09049852,5.007723419,14.56089614,0.499242748,2.15144418,6.770268686,196.9398263,186.4227381,1.754570106,2.730772942,17.5463369,10.39539796,11.67008937,23.84381759,24.46505943,16.57790835,2.730772942
G18,1,62.84953858,2.372218809,101.9962889,99.65318891,2.056321981,36.65752621,7.544162394,20.31120605,0.50615456,2.160675522,8.201000038,180.6672719,173.3224568,1.646156793,2.730772942,27.67289376,15.18443742,15.5129186,27.85060148,22.60920785,21.14349435,2.730772942
G19,1,78.43432707,3.294783793,95.33993641,89.51605522,2.21724416,33.06864891,5.73415014,15.42214632,0.402825784,2.293168581,7.4514066,173.2107306,165.8052549,1.869303264,2.730772942,34.54222579,11.03905825,16.07266999,23.30783861,24.8083138,21.76300642,2.730772942
G20,1,82.4040922,3.118141893,88.49809864,91.34282904,2.258739517,34.67000579,8.270359497,23.62194262,0.443728113,1.434241909,8.066085657,193.0953226,190.4147368,1.266399099,2.730772942,35.35941228,18.53309659,20.68283375,26.52943354,27.25730147,27.025441,2.730772942
G21,1,83.17951399,2.978437734,95.72830308,94.88691908,2.140592155,35.26158042,7.585350105,21.01791087,0.453923292,1.998503677,8.289460813,186.567833,183.7168604,1.766435355,2.730772942,39.1704101,15.60088201,18.65280013,28.23291604,25.6957821,24.98011023,2.730772942
