Genotypes,Replication,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,RTWT,BRNHT9,PLTHT6,FYLD,DYLD,TYLD,HI,DM,BRNHT6
TMS18F1355P0081,1,1,2,88,8,96,17.03,3,72.64,,2,37.3,36.3,44.4,81.4,48.40,15.02,49.73,0.49,31.04,46
TMS18F1305P0138,1,0,,,2,18,19.89,,,,2,7.6,6.55,,,8.73,2.90,10.13,0.46,33.19,
TMS18F1348P0097,1,2,2,110,6,64,17.01,3,64.31,19.636,6,23.59,21.25,56,94,28.33,8.79,31.45,0.47,31.02,
TMS18F1352P0049,1,3,2,100,6,54,18.04,4,65.93,23.596,1,18.78,20.2,53.6,93.8,26.93,8.56,25.04,0.52,31.80,57.4
TMS18F1485P0020,1,2,2,106,5,25,15.36,3,87.64,21.352,2,14.74,6.45,35,96,8.60,2.56,19.65,0.30,29.78,35.4
TMS18F1340P0001,1,0,1,111,9,89,21.16,2,68.54,17.872,3,22.75,25.95,49,95,34.60,11.81,30.33,0.53,34.14,43
TMS18F1258P0153,1,2,2,117,5,40,18.51,3,78.57,24.254,2,17.05,15.34,72.6,105,20.45,6.58,22.73,0.47,32.15,70.6
TMS18F1562P0023,1,5,3,160,6,26,,3,79.17,18.954,2,37.45,5.1,63,151,6.80,,49.93,0.12,,54.6
TMEB419,1,2,,,1,12,16.95,,,,2,11.8,18.9,,,25.20,7.81,15.73,0.62,30.98,
TMS18F1338P0115,1,2,1,78,4,10,,3,67.23,14.15,3,1.8,0.55,63.4,74.4,0.73,,2.40,0.23,,56.4
TMS18F1308P0077,1,3,2,123,7,66,18.93,3,71.63,19.458,2,31.45,21.7,51,121,28.93,9.39,41.93,0.41,32.46,53
TMS18F1337P0049,1,1,,,3,23,13.39,,,,1,29.6,7.9,,,10.53,2.98,39.47,0.21,28.31,
TMS18F1005P0023,1,1,2,104,4,34,16.89,3,74.21,22.096,1,22.55,13.13,65,97,17.51,5.42,30.07,0.37,30.93,62
