"ENTRY","BLUP","condSD"
"TMS18F1076P0110",12.9404,14.9725
"IITA-TMS-IBA000070",11.9004,9.7651
"TMS18F1258P0156",11.3812,14.9663
"TMS18F1331P0016",10.8129,14.964
"TMS18F1096P0013",10.3186,14.9641
"TMS18F1063P0008",9.7412,14.9637
"TMS18F1313P0013",9.6724,14.9699
"TMS18F1240P0026",9.321,14.9669
"TMS18F1028P0003",9.2448,14.9658
"TMS18F1395P0010",8.8133,14.9627
"TMS18F1024P0020",8.6944,14.9659
"TMS18F1127P0010",8.522,14.9654
"TMS18F1349P0126",8.4352,14.9655
"TMS18F1231P0011",8.3486,16.6046
"TMS18F1310P0088",8.3153,14.9701
"TMS18F1312P0033",8.2846,14.9759
"TMS18F1355P0081",8.2639,14.9656
"TMS18F1338P0053",8.1115,14.9611
"TMS18F1299P0005",8.0524,14.9688
"TMS18F1310P0148",8.0218,14.963
"TMS18F1349P0157",7.8598,14.9686
"TMS18F1361P0018",7.8295,14.965
"TMS18F1348P0113",7.7186,14.9643
"TMS18F1469P0062",7.3106,14.9639
"TMS18F1364P0018",7.1926,14.9699
"TMS18F1314P0042",6.9815,14.9659
"TMS18F1179P0008",6.6848,14.9609
"TMS13F1343P0022",6.5585,14.9653
"TMS18F1344P0159",6.5543,14.9679
"TMS18F1348P0156",6.514,12.3795
"TMS18F1349P0065",6.4733,14.9633
"TMS18F1338P0116",6.4184,14.9643
"NR130124",6.216,14.9628
"TMS18F1365P0022",6.1383,14.9637
"TMS18F1317P0059",6.1183,14.9746
"TMS18F1134P0010",6.0861,14.9654
"TMS18F1371P0011",6.073,14.9665
"TMS18F1355p0025",6.0367,14.9673
"TMS18F1364P0022",5.987,14.9694
"TMS18F1347P0029",5.9785,14.9628
"TMS18F1073P0035",5.9667,14.9646
"TMS18F1476P0047",5.775,14.9652
"TMS18F1396P0032",5.7636,14.9663
"TMS18F1421P0005",5.7539,14.9663
"TMS18F1178P0010",5.7116,14.964
"TMS18F1369P0015",5.6198,14.969
"TMS18F1280P0091",5.5848,14.9662
"TMS18F1345P0056",5.5102,14.9678
"TMS18F1366P0012",5.4991,14.9684
"TMS18F1313P0053",5.452,14.9676
"TMS18F1150P0011",5.3822,14.9643
"TMS18F1354P0027",5.2995,14.9707
"TMS18F1391P0004",5.2554,14.9661
"TMS18F1308P0077",5.1458,14.9624
"TMS18F1348P0092",5.0998,14.9618
"TMS18F1372P0024",5.0709,14.9633
"TMS18F1348P0097",5.0672,14.9664
"TMS18F1280P0107",5.0043,14.9629
"TMS18F1163P0035",5.0017,14.9666
"TMS18F1280P0112",4.9939,14.9647
"TMS18F1414P0014",4.9519,14.9665
"TMS18F1323p0025",4.7949,14.9644
"TMS18F1142P0017",4.7668,14.9667
"TMS18F1179P0029",4.759,14.9648
"TMS18F1348P0157",4.7269,14.9686
"TMS18F1447P0002",4.7187,14.9629
"TMS18F1344P0133",4.579,14.9616
"TMS18F1217P0095",4.5641,14.971
"TMS18F1038P0010",4.561,14.9612
"TMS18F1305P0007",4.5222,14.9746
"TMS18F1306P0129",4.4973,14.968
"TMS18F1189P0013",4.4782,14.9678
"TMS18F1341P0037",4.4291,14.9649
"TMS18F1348P0095",4.4036,14.9659
"TMS18F1333P0012",4.3757,14.9603
"TMS18F1395P0055",4.3636,14.9652
"TMS18F1344P0100",4.2384,14.9672
"TMS18F1007P0004",4.2192,14.9635
"TMS18F1324P0107",4.2108,14.966
"TMS18F1330P0020",4.1321,14.9678
"TMS18F1344P0153",4.1074,14.971
"TMS18F1334P0003",4.0998,14.9636
"TMS18F1280P0086",4.0189,14.9633
"TMS18F1018P0001",3.9837,14.9639
"TMS18F1306P0127",3.9128,16.596
"TMS18F1318P0054",3.8867,14.9647
"TMS18F1221P0053",3.8628,14.9649
"TMS18F1305P0019",3.823,14.9672
"TMS18F1139P0076",3.7955,14.9633
"TMS18F1258P0153",3.6806,14.9622
"TMS18F1064P0027",3.6779,14.9707
"TMS18F1258P0147",3.6535,14.9671
"TMS18F1308P0082",3.6465,14.9622
"TMS18F1336P0015",3.5935,14.9678
"TMS18F1277P0031",3.5708,14.9631
"TMS18F1343P0064",3.5526,14.9657
"TMS18F1156P0016",3.5205,14.9663
"TMS18F1341P0044",3.409,14.9731
"TMS18F1211P0035",3.242,14.9642
"TMS18F1485P0022",3.203,14.9699
"TMS18F1424P0020",3.1831,14.9651
"TMS18F1352P0049",3.1155,14.9655
"TMS18F1082P0024",3.0965,14.9731
"TMS18F1340P0030",3.0208,14.9655
"TMS18F1175P0053",2.9214,14.9671
"TMS18F1202p0001",2.8494,14.9646
"TMS18F1303P0027",2.789,14.9612
"TMS18F1520P0050",2.7702,20.7782
"TMS18F1350P0065",2.7516,14.9638
"TMS18F1305P0031",2.7164,14.9657
"TMS18F1539P0063",2.692,14.965
"TMS18F1003P0003",2.6787,20.7776
"TMS18F1424P0021",2.6558,14.9643
"TMS18F1209P0015",2.6534,14.9644
"TMS18F1344P0003",2.6205,14.9603
"TMS18F1240P0024",2.6192,14.968
"TMS18F1165P0018",2.619,14.9686
"TMS18F1278P0118",2.6033,14.965
"TMS18F1414P0017",2.5787,14.9759
"TMS18F1286P0012",2.5066,14.9657
"TMS18F1065P0037",2.4972,14.9642
"TMS18F1353P0022",2.4821,14.9637
"TMS18F1280P0140",2.4667,14.963
"TMS18F1069P0023",2.4502,14.9712
"TMS18F1332P0002",2.445,14.9689
"TMS18F1319P0033",2.4032,14.9644
"TMS18F1330P0009",2.3576,14.9639
"TMS18F1344P0176",2.3543,14.967
"TMS18F1506P0018",2.3379,14.9611
"TMS18F1345P0001",2.2839,14.9672
"TMS18F1505P0057",2.2485,14.966
"TMS18F1335P0035",2.2307,14.9632
"TMS18F1320P0087",2.2291,16.601
"TMS18F1026P0009",2.1694,14.9699
"TMS18F1051P0059",2.1257,14.9653
"TMS18F1480P0023",2.0782,14.9681
"TMS18F1319P0159",2.073,14.9625
"TMS18F1287P0039",2.0654,14.9672
"IITA-TMS-IBA980581",2.0481,9.7456
"TMS18F1305P0039",2.0189,14.9759
"TMS18F1178P0046",2.0129,14.9657
"TMS18F1127P0011",1.9298,14.9592
"TMS18F1309P0062",1.8729,14.9688
"TMS18F1305P0040",1.8663,14.9654
"TMS18F1260P0060",1.7672,14.9704
"TMS18F1278P0098",1.7577,14.9655
"TMS13F1343P0044",1.7552,14.9694
"TMS18F1001P0014",1.7287,20.7795
"TMS18F1163P0044",1.7201,14.9652
"TMS18F1349P0064",1.7167,14.9676
"TMS18F1372P0041",1.7116,16.5959
"TMS18F1207P0008",1.7003,14.9703
"TMS18F1489P0044",1.6948,14.9664
"TMS18F1047p0012",1.6789,14.9638
"IITA-TMS-IBA982101",1.6606,9.7459
"TMS18F1562P0030",1.6543,14.9644
"TMS18F1296P0071",1.6325,14.9666
"TMS18F1289P0014",1.6281,14.968
"TMS18F1144P0010",1.5755,14.966
"TMS18F1396P0053",1.5031,14.9673
"UNKNOWN1",1.4885,18.6383
"TMS18F1260P0054",1.4878,14.969
"TMS18F1377P0007",1.4783,14.9685
"TMS18F1338P0013",1.4528,16.6051
"TMS18F1436P0049",1.4143,14.9676
"TMS18F1309P0074",1.3834,14.9649
"TMS18F1348P0101",1.3786,14.9642
"TMS18F1274P0020",1.3654,14.9677
"TMS18F1291P0014",1.3607,14.9678
"TMS18F1338P0067",1.351,14.9666
"TMS18F1359P0001",1.3237,16.6039
"UNKNOWN2",1.3197,18.6457
"TMS18F1344P0014",1.291,14.9663
"TMS18F1366P0014",1.2458,14.9658
"TMS18F1337P0044",1.1953,14.9636
"TMS18F1335P0001",1.1658,14.9665
"TMS18F1298P0017",1.1466,14.9613
"TMS18F1277P0045",1.0554,20.7786
"TMS18F1263P0037",1.0552,14.964
"TMS18F1478P0047",1.0086,14.9626
"TMS18F1217P0121",0.968,14.9688
"TMS18F1059P0015",0.9593,14.9665
"TMS18F1339P0012",0.937,14.9625
"TMS18F1044P0013",0.9329,14.9636
"TMS18F1040P0054",0.9046,16.6002
"TMS18F1350P0082",0.891,14.9725
"TMS18F1472P0042",0.8825,14.9621
"TMS18F1010P0011",0.8764,14.9677
"TMS18F1373P0028",0.8738,14.9667
"TMS18F1345P0012",0.8488,14.9658
"TMS18F1310P0151",0.844,14.9657
"TMS18F1333p0013",0.8419,14.9655
"TMS18F1334P0023",0.8118,14.9649
"TMS18F1138P0028",0.8001,14.9672
"TMS18F1306P0114",0.7437,14.9666
"TMS18F1336P0014",0.7221,14.9612
"TMS18F1163P0042",0.698,14.9684
"TMS18F1352P0002",0.6917,14.9681
"TMS18F1291P0026",0.6665,14.9657
"TMS18F1335P0021",0.6302,14.9653
"TMS18F1210P0021",0.6046,14.9639
"TMS18F1324P0092",0.5807,14.9621
"TMS18F1287P0029",0.5709,14.9624
"TMS18F1047P0045",0.5608,14.9639
"TMS18F1302P0018",0.5417,14.9628
"TMS18F1345P0043",0.5309,14.9596
"TMS13F1307P0016",0.5182,14.9694
"TMS13F1160P0004",0.5181,14.9668
"TMS18F1331P0013",0.4855,14.965
"TMS18F1004P0008",0.4824,14.9621
"TMS18F1338P0099",0.4477,14.9655
"TMS18F1350P0038",0.4118,14.9675
"TMS18F1344P0198",0.4049,14.9671
"TMS18F1327P0013",0.3821,14.9614
"TMS18F1323P0041",0.3768,14.9625
"TMS18F1217P0111",0.3687,14.9664
"TMS18F1003P0009",0.3672,14.9653
"TMS18F1113P0038",0.3574,14.9678
"TMS18F1319P0041",0.3567,14.9731
"TMS18F1313P0001",0.3539,14.964
"TMS18F1340P0001",0.3285,14.9656
"TMS18F1120P0006",0.3166,20.7764
"TMS18F1353p0017",0.2891,14.9661
"TMS18F1278P0183",0.271,14.9746
"TMS18F1342P0017",0.2459,14.9654
"TMS18F1085P0012",0.1771,14.9725
"TMS18F1562P0026",0.1662,14.9655
"TMS18F1317P0123",0.0628,14.9669
"TMS18F1319P0061",0.0587,14.9639
"TMS18F1489P0040",0.0532,14.9643
"TMS18F1318P0036",0.0398,14.968
"TMS18F1380P0003",-0.01,18.6375
"TMS18F1305P0138",-0.0789,14.9644
"TMS18F1339P0015",-0.1226,14.9681
"TMS18F1349P0149",-0.1394,14.9626
"TMS18F1205P0010",-0.1478,20.7774
