"Trait","ENTRY","ENTRY:ENV","BLK:REP:ENV","REP:ENV","ENV"
"NOHAV","***","***","**","**"," "
"RTNO","***","***","***","**"," "
"SHTWT","***","***",".","***","."
"RTWT","***","***","***"," ","."
"DM","***","***","**"," ","**"
"STARCH","***","***","**"," ","**"
"FYLD","***","***","***"," "," "
"DYLD","***","***","***","*"," "
"TYLD","***","***","*","***","*"
"HI","***","***","***"," ","**"
"NDVI3","***"," ","***","***"," "
"NDVI6"," "," ","."," ","**"
"NDVI9"," ","***","***","**","**"
"LODG","***","**"," ","***"," "
"PLTHTIII","***","***"," ","***"," "
"BRNHTIII","***"," "," "," ","*"
"BRNLEVIII"," ","*"," "," ","*"
"PLTHTVI","***","***","***","***"," "
"BRNHTVI","*","***","***"," ","**"
"BRNLEVVI","***","***","***"," "," "
"PLTHTIX","***","***","***","***","*"
"BRNHTIX","***","***"," "," ","***"
"BRNLEVIX"," ","***"," ","**"," "
"CHL3","***","**","***","***"," "
"CHL6","***","***","***"," "," "
"CHL9","***","***","***","*","*"
"CHL12","***","***","***","***","."
"ANGBR9","***","***","**"," "," "
"STMDI9","***","***","***","***"," "
"PPSTD9","***","**"," "," ","*"
