"ENTRY","BLUP"
"TMS18F1019P0018",26.7389
"TMS18F1280P0136",23.4155
"TMS18F1307P0001",23.1496
"TMS18F1353P0023",21.527
"TMS18F1092P0016",21.5262
"TMS18F1314P0026",21.3411
"TMS18F1261P0005",21.2801
"TMS18F1306P0114",20.8401
"TMS18F1324P0200",20.263
"TMS18F1028P0030",20.073
"TMS18F1305P0039",19.7958
"TMS18F1344P0159",19.5622
"TMS18F1335P0001",19.3325
"TMS18F1338P0116",19.1555
"TMS18F1319P0159",18.9126
"TMS18F1330P0008",18.8323
"TMS18F1262P0015",18.4838
"TMS18F1334P0023",18.1746
"TMS18F1059P0015",17.9925
"TMS18F1369P0010",17.8981
"TMS18F1210P0021",17.4014
"TMS18F1163P0035",16.9904
"TMS18F1174P0011",16.984
"TMS18F1076P0001",16.9075
"TMS18F1040P0054",16.572
"TMS18F1040P0032",16.5641
"TMS18F1305P0007",16.5604
"TMS18F1485P0020",16.405
"TMS18F1373P0028",16.3873
"TMS18F1258P0147",16.3704
"TMS13F1307P0016",16.3695
"TMS18F1189P0013",16.2706
"TMS18F1324P0070",16.1293
"TMS18F1001P0020",15.7211
"TMS18F1272P0037",15.7122
"TMS18F1041P0005",15.5721
"TMS18F1318P0036",15.2919
"IITA-TMS-IBA982101",15.2575
"TMS18F1324P0092",15.2286
"TMS18F1042P0009",15.2178
"TMS18F1278P0118",15.2005
"TMS18F1370P0008",14.9803
"TMS18F1153P0053",14.9671
"TMS18F1377P0023",14.9113
"TMS18F1345P0056",14.8126
"TMS18F1318P0018",14.6821
"TMS18F1338P0085",14.6352
"TMS18F1371P0001",14.6343
"TMS18F1047p0012",14.4775
"TMS18F1520P0050",14.2576
"TMS18F1209P0015",14.2432
"TMS18F1344P0153",14.194
"TMS18F1366P0014",14.1873
"TMS18F1258P0156",14.1838
"TMS18F1352P0016",14.1445
"TMS18F1233p0013",13.8454
"TMS18F1258P0153",13.8199
"TMS18F1260P0060",13.8046
"TMS18F1303P0027",13.7925
"TMS18F1313P0013",13.7859
"TMS18F1278P0098",13.701
"TMS18F1217P0114",13.6754
"TMS18F1366P0012",13.6227
"TMS18F1325P0032",13.4815
"IITA-TMS-IBA30572",13.4166
"TMS18F1314P0042",13.3975
"TMS18F1472P0042",13.2659
"TMS18F1338P0053",13.1941
"TMS18F1068P0077",13.1554
"TMS18F1139P0076",13.1409
"TMS18F1348P0051",12.9921
"TMS18F1138P0037",12.9479
"TMS18F1350P0082",12.9364
"TMS18F1317P0048",12.8942
"TMS18F1506P0018",12.864
"TMS18F1260P0054",12.8532
"TMS18F1421P0005",12.8072
"TMS18F1324P0046",12.7752
"TMS18F1055P0036",12.7568
"TMS18F1178P0010",12.7146
"TMS18F1113P0038",12.6723
"TMS18F1324P0093",12.5461
"TMS18F1076P0103",12.5026
"TMS18F1347P0029",12.3185
"TMS18F1069P0033",12.2801
"TMS18F1096P0013",12.2318
"TMS18F1489P0038",12.1835
"TMS18F1280P0126",12.0947
"TMS18F1369P0014",12.0756
"TMS18F1348P0117",12.0145
"TMS18F1258P0062",12.0095
"TMS18F1149P0024",11.9321
"TMS18F1156P0016",11.9248
"TMS18F1447P0062",11.9175
"TMS18F1076P0066",11.8766
"TMS18F1205P0010",11.8538
"TMS18F1221P0053",11.7984
"TMS18F1341P0044",11.7869
"TMS18F1341P0037",11.7731
"TMS18F1063P0008",11.7647
"TMS18F1058P0019",11.7442
"TMS18F1271P0001",11.7348
"TMS18F1348P0095",11.7308
"TMS18F1349P0149",11.7136
"TMS18F1038P0010",11.7055
"TMS18F1320P0087",11.7002
"TMS18F1001P0014",11.6961
"TMS18F1369P0015",11.6904
"TMS18F1319P0041",11.5766
"TMS18F1263P0037",11.5655
"TMS18F1020P0027",11.5514
"TMS18F1180P0033",11.4315
"TMS18F1348P0092",11.4075
"TMS18F1306P0149",11.3445
"TMS18F1038P0087",11.3174
"TMS18F1024P0020",11.2776
"TMS18F1018P0001",11.2701
"TMS18F1562P0023",11.2659
"TMS18F1330P0009",11.2439
"TMS18F1310P0088",11.1789
"TMS18F1007P0005",11.027
"TMS18F1231P0011",11.0014
"TMS18F1295P0030",10.9868
"TMS18F1224P0014",10.9542
"TMS18F1268P0019",10.9409
"TMS18F1296P0042",10.9403
"TMS18F1320P0101",10.9373
"TMS18F1350P0091",10.8584
"TMS18F1364P0027",10.8081
"TMS18F1240P0026",10.8069
"TMS18F1389P0031",10.7548
"TMS18F1284P0003",10.7398
"TMS18F1179P0008",10.6969
"TMS18F1010P0011",10.6889
"TMS18F1447P0045",10.6771
"TMS18F1007P0004",10.6327
"TMS18F1163P0044",10.6078
"TMS18F1211P0035",10.5327
"TMS18F1138P0030",10.4844
"TMS18F1436P0053",10.4742
"TMS18F1339P0012",10.4699
"TMS18F1280P0057",10.4364
"TMS18F1120P0006",10.3709
"TMS18F1348P0156",10.3443
"TMS18F1380P0003",10.3103
"TMS18F1076P0112",10.2562
"TMS18F1082P0024",10.2171
"TMS18F1323p0025",10.0439
"TMS18F1562P0026",10.0438
"TMS18F1299P0005",9.9809
"TMS18F1028P0003",9.9109
"TMS18F1352P0002",9.8888
"TMS18F1396P0017",9.8223
"TMS18F1489P0040",9.7873
"TMS18F1348P0098",9.77
"TMS18F1337P0049",9.6889
"TMS18F1371P0011",9.6401
"TMS18F1355P0120",9.6002
"TMS18F1056P0016",9.4848
