"ENTRY","BLUP"
"TMS18F1365P0022",53.278
"IITA-TMS-IBA980581",50.0695
"TMS18F1365P0005",46.6451
"TMS18F1348P0156",44.6958
"TMS18F1372P0041",39.4916
"TMS18F1217P0034",36.1247
"TMS18F1330P0020",35.0777
"TMS18F1298P0044",35.0732
"TMS18F1215P0027",34.7526
"TMS18F1065P0037",30.9097
"TMS18F1278P0068",30.6498
"TMS18F1028P0003",30.2714
"TMS18F1107P0020",29.1489
"TMS18F1305P0040",28.8877
"TMS18F1506P0018",28.4619
"TMS18F1331P0013",27.6917
"TMS18F1310P0148",26.495
"TMS18F1481P0009",26.2886
"TMS18F1286P0012",25.8598
"TMS18F1179P0029",25.4091
"TMS18F1335P0035",25.3717
"TMS18F1370P0008",24.6814
"TMS18F1436P0049",24.6154
"TMS18F1317P0059",24.3472
"TMS18F1355p0025",24.3429
"TMS18F1150P0011",23.7896
"TMS18F1324P0171",22.0368
"TMS18F1352P0002",21.4656
"TMS18F1338P0099",20.9806
"TMS18F1113P0038",19.2771
"TMS18F1007P0005",19.2744
"TMS18F1069P0033",19.2066
"TMS18F1280P0112",19.0117
"TMS18F1303P0027",18.8811
"TMS18F1364P0027",18.6718
"TMS18F1320P0032",18.4913
"TMS18F1240P0026",18.0178
"NR130124",17.9284
"TMS18F1306P0129",17.2007
"TMS18F1347P0029",17.1476
"TMS18F1480P0023",16.8674
"TMS18F1318P0018",16.3786
"TMS18F1396P0053",16.1058
"TMS18F1296P0071",15.9651
"TMS18F1278P0098",14.9836
"TMS18F1343P0019",14.601
"TMS18F1389P0021",14.5832
"TMS18F1396P0032",14.5005
"TMS18F1334P0023",14.0818
"TMS18F1001P0020",14.0145
"TMS18F1335P0001",13.3928
"TMS18F1338P0067",13.301
"TMS18F1056P0066",12.4181
"TMS18F1348P0113",12.4157
"TMS18F1338P0116",12.0352
"TMS18F1258P0156",12.0063
"TMS18F1348P0131",11.7789
"TMS18F1262P0008",11.7684
"TMS18F1343P0153",11.7116
"TMS18F1348P0117",11.5241
"TMS18F1327P0006",11.3618
"TMS18F1319P0121",11.3448
"TMS18F1076P0077",10.9994
