"ENTRY","BLUP"
"TMS18F1280P0086",90.5716
"TMS18F1395P0010",72.6846
"TMS18F1365P0022",63.117
"TMS18F1306P0129",49.1759
"TMS18F1324p0026",45.5985
"TMS18F1028P0003",45.3987
"TMS18F1278P0068",42.9003
"TMS18F1331P0013",41.6306
"TMS18F1076P0121",39.4658
"TMS18F1298P0044",39.2941
"TMS18F1348P0156",38.4551
"IITA-TMS-IBA980581",37.9777
"TMS18F1344P0153",34.2775
"TMS18F1361P0041",32.822
"TMS18F1396P0032",30.8966
"TMS18F1263P0037",30.3184
"NR130124",29.9488
"TMS18F1408P0006",28.6954
"TMS18F1312P0039",28.4254
"TMS18F1447P0045",28.4254
"TMS18F1063P0008",27.3288
"TMS18F1343P0064",26.0109
"TMS18F1051P0059",25.8701
"TMS18F1107P0020",25.386
"TMS18F1217P0034",25.0916
"TMS18F1047p0012",25.077
"TMS18F1113P0002",24.6369
"TMS18F1065P0037",24.3369
"TMS18F1340P0030",24.2986
"TMS18F1090P0031",24.1341
"TMS18F1120P0006",23.623
"TMS18F1132P0083",23.6222
"TMS18F1506P0018",23.4731
"TMS18F1069P0033",23.424
"TMS18F1478P0047",23.3148
"TMS18F1280P0112",22.9172
"TMS18F1286P0012",22.6836
"TMS18F1005P0023",22.6712
"TMS18F1215P0027",22.619
"TMS18F1369P0014",22.2694
"TMS18F1313P0013",22.0649
"TMS18F1322P0019",21.5788
"TMS18F1338P0053",21.435
"TMS18F1310P0148",21.3023
"TMS18F1372P0041",21.2706
"TMS18F1209P0015",20.9165
"UNKNOWN1",20.7595
"TMS18F1350P0026",20.4529
"TMS18F1344P0147",19.6196
"TMS18F1003P0003",19.4308
"TMS18F1349P0064",19.4308
"TMS18F1295P0035",19.2264
"TMS18F1113P0038",18.2852
"IITA-TMS-IBA30572",17.7885
"TMS18F1296P0071",17.5277
"TMS18F1138P0035",17.1962
"TMS18F1481P0009",17.1821
"TMS18F1421P0005",16.858
"TMS18F1338P0099",16.5552
"TMS18F1262P0008",16.5198
"TMS18F1372P0024",16.4441
"TMS18F1370P0008",16.16
"TMS18F1150P0011",15.9665
"TMS18F1324P0171",15.8534
"TMS18F1132P0042",15.6912
"TMS18F1217P0095",15.3948
"TMS18F1330P0020",15.1354
"TMS18F1277P0031",14.8479
"TMS18F1179P0029",14.789
"TMS18F1317P0059",14.789
"TMS18F1349P0065",14.6268
"TMS18F1364P0027",14.2003
"TMS18F1348P0039",14.1158
"TMS18F1335P0021",13.906
"TMS18F1348P0157",13.6161
"TMS18F1333P0012",13.6047
"TMS18F1344P0133",13.6047
"TMS18F1291P0014",13.44
"TMS18F1179P0008",13.2826
"TMS18F1338P0116",13.2826
"TMS18F1076P0106",13.0937
"TMS18F1308P0082",13.0229
"TMS18F1345P0043",12.3562
"TMS18F1480P0023",12.276
"TMS18F1068P0077",12.123
"TMS18F1334P0023",11.8776
"TMS18F1327P0006",11.5605
"TMS18F1355p0025",11.5511
"TMS18F1317P0123",11.5039
"TMS18F1338P0067",11.3745
"TMS18F1353P0022",11.139
"TMS18F1318P0018",11.0494
"TMS18F1191P0002",10.9347
"TMS18F1299P0005",10.8739
"TMS18F1280P0107",10.7428
"TMS18F1076P0077",10.2998
"TMS18F1539P0063",10.0357
"TMS18F1328P0027",10.0273
"TMS18F1343P0019",10.0273
"TMS18F1347P0029",9.6083
"TMS18F1343P0012",9.5163
"TMS18F1337P0049",9.3134
"TMS18F1424P0021",9.2064
"TMS18F1343P0153",9.0196
"TMS18F1323P0024",9.0052
"TMS18F1332P0002",9.0052
"TMS18F1436P0053",8.7976
"TMS18F1348P0101",8.4941
"TMS18F1338P0115",8.4309
