"ENTRY","BLUP"
"TMS18F1361P0041",19.5203
"TMS18F1365P0022",14.255
"TMS18F1291P0014",13.6078
"TMS18F1286P0012",13.3232
"TMS18F1348P0156",13.1341
"TMS18F1305P0040",12.8857
"TMS18F1447P0045",12.5633
"TMS18F1365P0005",11.9408
"TMS18F1372P0041",11.2584
"TMS18F1348P0113",10.7151
"TMS18F1312P0039",10.5859
"TMS18F1051P0059",10.5357
"TMS18F1063P0008",10.3743
"TMS18F1414P0014",10.2834
"TMS18F1107P0020",10.0469
"TMS18F1028P0003",10.0165
"TMS18F1153P0053",9.7635
"TMS18F1065P0037",9.7355
"TMS18F1217P0034",9.692
"TMS18F1296P0071",9.6706
"TMS18F1349P0126",9.5977
"TMS18F1215P0027",9.5322
"TMS18F1298P0044",9.4508
"TMS18F1348P0117",9.2547
"TMS18F1138P0035",9.2149
"TMS18F1068P0077",9.1498
"TMS18F1278P0068",8.972
"TMS18F1349P0157",8.4661
"TMS18F1506P0018",8.416
"TMS18F1349P0064",8.3297
"TMS18F1165P0008",8.2884
"UNKNOWN1",8.1914
"TMS18F1335P0035",8.1529
"TMS18F1335P0021",8.0252
"TMS18F1331P0013",8.0145
"TMS18F1240P0026",7.7572
"TMS18F1338P0053",7.7365
"TMS18F1481P0009",7.7088
"TMS18F1280P0107",7.693
"TMS18F1338P0099",7.6774
"TMS18F1295P0035",7.4681
"TMS18F1295P0030",7.335
"TMS18F1345P0043",7.2886
"TMS18F1313P0053",7.2202
"TMS18F1217P0114",6.8093
"TMS18F1280P0112",6.7734
"TMS18F1330P0020",6.7636
"TMS18F1317P0123",6.7285
"TMS18F1076P0106",6.5679
"TMS18F1333P0012",6.2395
"TMS18F1310P0148",6.1927
"TMS18F1007P0004",6.1605
"TMS18F1280P0091",6.1428
"TMS18F1343P0012",6.0578
"TMS18F1328P0027",6.0448
"TMS18F1364P0027",5.999
"TMS18F1349P0065",5.9809
"TMS18F1262P0008",5.9631
"TMS18F1150P0011",5.9166
"TMS18F1298P0017",5.881
"TMS18F1324P0171",5.8556
"TMS18F1370P0008",5.8439
"TMS18F1343P0064",5.7812
"TMS18F1179P0029",5.7778
"TMS18F1350P0038",5.5382
"TMS18F1001P0020",5.4687
"TMS18F1348P0039",5.3496
"TMS18F1287P0039",5.2864
"TMS18F1003P0010",5.2836
"TMS18F1005P0023",5.2562
"TMS18F1347P0029",5.0261
"TMS18F1138P0030",5.0008
"TMS18F1480P0023",4.923
"TMS18F1305P0019",4.838
"TMS18F1306P0149",4.7946
"TMS18F1020P0027",4.7216
"TMS18F1090P0031",4.6874
"TMS18F1377P0007",4.6186
"TMS18F1069P0033",4.6016
"TMS18F1278P0183",4.4809
"TMS18F1001P0014",4.4746
"TMS18F1306P0127",4.474
"TMS18F1505P0047",4.417
"TMS18F1436P0049",4.3642
"TMS18F1323P0024",4.3578
"TMS18F1113P0038",4.2324
"TMS18F1343P0019",4.1998
"NR130124",4.1873
"TMS18F1338P0067",4.1511
"TMS18F1353p0017",4.1057
