"ENTRY","BLUP"
"TMS18F1028P0030",0.1075
"TMS18F1562P0026",0.0799
"TMS18F1073P0035",0.0713
"TMS18F1076P0112",0.0708
"TMS18F1337P0044",0.0701
"TMS18F1291P0026",0.0687
"TMS18F1258P0062",0.0622
"TMS18F1233p0013",0.053
"TMS18F1306P0114",0.0506
"TMS18F1258P0147",0.0485
"TMS18F1305P0007",0.0475
"TMS18F1348P0098",0.0449
"TMS18F1142P0017",0.0446
"TMS18F1447P0062",0.0405
"TMS18F1349P0123",0.0402
"TMS18F1055P0036",0.0392
"TMS18F1210P0021",0.039
"TMS18F1299P0005",0.0388
"TMS18F1313P0001",0.0388
"TMS18F1350P0091",0.0387
"TMS18F1324P0200",0.0386
"TMS18F1138P0030",0.0385
"TMS18F1016P0010",0.0383
"TMS18F1308P0077",0.0383
"TMS18F1314P0026",0.0383
"TMS18F1307P0001",0.0382
"TMS18F1341P0037",0.0381
"TMS18F1038P0010",0.0379
"TMS18F1341P0044",0.0378
"TMS18F1055P0044",0.0375
"TMS18F1373P0028",0.0373
"TMS18F1562P0030",0.0371
"TMS18F1489P0044",0.0369
"TMS18F1114P0039",0.0368
"TMS18F1364P0018",0.0368
"TMS18F1312P0033",0.0367
"TMS18F1345P0012",0.0367
"TMS18F1278P0118",0.0365
"TMS18F1189P0013",0.0364
"TMS18F1317P0048",0.0362
"TMS18F1302P0018",0.0359
"TMS18F1476P0047",0.0357
"TMS18F1149P0024",0.0352
"TMS18F1323p0025",0.0351
"TMS18F1338P0085",0.035
"TMS18F1520P0050",0.0349
"TMS18F1260P0060",0.0346
"TMS18F1134P0010",0.0345
"TMS18F1305P0019",0.0344
"TMS18F1327P0013",0.034
"TMS18F1369P0015",0.0339
"TMS18F1489P0040",0.0338
"TMS18F1085P0012",0.033
"TMS18F1353P0023",0.0311
"TMS18F1344P0176",0.0295
"TMS18F1348P0113",0.0279
"TMS18F1038P0087",0.0277
"TMS18F1272P0037",0.0274
"TMS18F1040P0054",0.027
"TMS18F1343P0064",0.027
"TMS18F1040P0044",0.0266
"TMS18F1076P0103",0.0266
"TMS18F1221P0053",0.0266
"TMS18F1135P0025",0.0264
"TMS18F1331P0016",0.0264
"TMS18F1209P0015",0.0261
"TMS18F1217P0095",0.0261
"TMS18F1287P0039",0.0261
"TMS18F1211P0035",0.026
"TMS18F1369P0014",0.026
"TMS18F1372P0001",0.0259
"TMS18F1296P0042",0.0254
"TMS18F1308P0114",0.0254
"TMS18F1348P0092",0.0254
"TMS18F1263P0037",0.0251
"TMS18F1344P0147",0.0251
"TMS18F1348P0095",0.025
"TMS18F1388P0012",0.025
"TMS18F1132P0078",0.0249
"TMS13F1307P0016",0.0245
"TMS18F1056P0016",0.0243
"TMS18F1271P0001",0.0243
"TMS18F1280P0136",0.0239
"TMS18F1174P0011",0.0235
"TMS18F1132P0083",0.0234
"TMS18F1163P0042",0.0233
"TMS18F1306P0127",0.0231
"TMS18F1092P0016",0.0223
"TMS18F1207P0008",0.0219
"TMS18F1366P0012",0.0219
"TMS18F1305P0017",0.0197
"TMS18F1338P0013",0.0192
"TMS18F1127P0011",0.0186
"TMS18F1003P0009",0.0182
"TMS18F1040P0032",0.0171
"TMS18F1041P0005",0.0163
"TMS18F1224P0014",0.0161
"TMS18F1562P0023",0.015
"TMS18F1018P0001",0.0106
"TMS18F1268P0019",0.0106
"TMS18F1426P0001",0.0106
"TMS18F1096P0024",0.0105
"TMS18F1472P0042",0.0103
"TMS18F1314P0007",0.0101
"TMS18F1350P0082",0.0096
"TMS18F1343P0171",0.0085
"TMS18F1348P0051",0.0074
"TMS18F1424P0021",0.0071
"TMS18F1485P0020",0.0068
"TMS18F1096P0013",0.0067
"TMS18F1447P0078",0.0066
"TMS18F1318P0036",0.0064
"TMS18F1303P0027",0.0059
"TMS18F1361P0018",0.0059
"TMS18F1371P0001",0.0058
"TMS18F1217P0121",0.0055
"TMS18F1258P0156",0.0055
"TMS18F1355p0038",0.0055
"TMS18F1369P0010",0.0054
"TMS18F1156P0016",0.0053
"TMS18F1165P0008",0.0049
"TMS18F1344P0159",0.0048
"TMS18F1280P0091",0.0047
"TMS18F1348P0097",0.0047
"TMS18F1324P0093",0.0046
"TMS18F1377P0007",0.0046
"TMS18F1396P0032",0.0046
"TMS18F1489P0038",0.0046
"TMS18F1319P0041",0.0045
"TMS18F1310P0088",0.0043
"TMS18F1348P0117",0.0043
"TMS18F1058P0019",0.0042
"TMS18F1395P0055",0.0042
"TMS18F1562P0025",0.0036
"TMS18F1320P0087",0.0035
"TMS18F1280P0057",0.0034
"TMS18F1305P0039",0.0034
"TMS18F1240P0026",0.0032
"TMS18F1152P0003",0.0029
"TMS18F1178P0010",0.0029
"TMS18F1205P0010",0.0024
"TMS18F1258P0153",0.0024
"TMS18F1319P0159",0.0023
"TMS18F1333p0013",0.0021
"TMS18F1389P0021",0.0019
"TMS18F1138P0037",0.0016
"TMS18F1259P0131",0.0016
"TMS18F1355P0120",-0.0022
"TMS18F1389P0031",-0.0044
"IITA-TMS-IBA982101",-0.0047
"TMS18F1007P0004",-0.0047
"TMS13F1020P0001",-0.0068
"TMS18F1163P0035",-0.0072
"TMS18F1047P0045",-0.0083
"TMS18F1352P0049",-0.0111
"TMS18F1409P0008",-0.0112
"TMS18F1082P0024",-0.0134
"TMS18F1339P0012",-0.0138
"TMS18F1068P0063",-0.0142
"TMS18F1317P0119",-0.0142
"TMS18F1344P0003",-0.0142
"TMS18F1350P0065",-0.0148
"TMS18F1083P0028",-0.0158
"TMS18F1298P0044",-0.0158
"TMS18F1262P0015",-0.0167
"TMS18F1314P0042",-0.0167
"TMS18F1324P0092",-0.0167
"TMS18F1069P0033",-0.0169
"TMS18F1480P0023",-0.0169
"TMS18F1306P0129",-0.0173
"TMS18F1334P0023",-0.0173
"TMS18F1340P0030",-0.0173
"TMS18F1367P0030",-0.0173
"TMS18F1056P0066",-0.0176
"TMS18F1262P0008",-0.0176
"TMS18F1295P0030",-0.0176
"TMS18F1317P0123",-0.0177
"TMS18F1345P0056",-0.0177
"TMS18F1107P0020",-0.018
"TMS18F1163P0044",-0.018
"TMS18F1215P0027",-0.018
"TMS18F1280P0140",-0.018
"TMS18F1310P0148",-0.018
"TMS18F1334P0003",-0.018
"TMS18F1365P0024",-0.018
"TMS18F1153P0053",-0.0183
"TMS18F1318P0018",-0.0183
"TMS18F1320P0082",-0.0183
"TMS18F1041P0002",-0.0184
"TMS18F1179P0008",-0.0184
"TMS18F1264P0058",-0.0184
"TMS18F1277P0007",-0.0184
"TMS18F1038P0056",-0.0186
"TMS18F1138P0028",-0.0186
"TMS18F1165P0018",-0.0186
"TMS18F1278P0165",-0.0186
"TMS18F1305P0040",-0.0186
"TMS18F1320P0032",-0.0186
"TMS18F1338P0116",-0.0186
"TMS18F1349P0157",-0.0186
"TMS18F1350P0041",-0.0186
"TMS18F1364P0027",-0.0186
"TMS18F1436P0049",-0.0186
"TMS18F1481P0009",-0.0186
"TMS18F1324P0003",-0.0187
"TMS18F1396P0017",-0.0187
"TMS18F1324P0171",-0.0188
"TMS18F1338P0099",-0.0188
"TMS18F1349P0149",-0.0188
