"ENTRY","BLUP"
"TMS18F1138P0030",0.1301
"TMS18F1314P0026",0.1299
"TMS18F1305P0007",0.1257
"TMS18F1028P0030",0.1246
"TMS18F1055P0044",0.1244
"TMS18F1447P0078",0.1241
"TMS18F1338P0013",0.1027
"TMS18F1209P0015",0.1021
"TMS18F1489P0040",0.1017
"TMS18F1018P0001",0.0927
"TMS18F1076P0112",0.0926
"TMS18F1447P0062",0.0862
"TMS18F1345P0012",0.0853
"TMS18F1341P0044",0.0844
"TMS18F1096P0024",0.0828
"TMS18F1489P0038",0.0797
"TMS18F1305P0019",0.0777
"TMS18F1298P0017",0.077
"TMS18F1306P0114",0.0765
"TMS18F1355P0120",0.0765
"TMS18F1291P0026",0.0749
"TMS18F1350P0056",0.0734
"TMS18F1369P0015",0.0733
"TMS18F1085P0012",0.073
"TMS18F1278P0118",0.071
"TMS18F1313P0001",0.0702
"TMS18F1344P0176",0.0689
"TMS18F1149P0024",0.068
"TMS18F1348P0098",0.0679
"TMS18F1217P0095",0.0673
"TMS18F1324P0200",0.0664
"TMS18F1189P0013",0.0659
"TMS18F1307P0001",0.0656
"TMS18F1020P0027",0.0654
"TMS18F1233p0013",0.0652
"TMS18F1191P0002",0.0649
"TMS18F1369P0010",0.0649
"TMS18F1156P0016",0.0639
"TMS18F1489P0044",0.0635
"TMS18F1263P0037",0.0628
"TMS18F1350P0091",0.0616
"TMS18F1562P0030",0.0611
"TMS18F1312P0033",0.0609
"TMS18F1323p0025",0.0606
"TMS18F1424P0021",0.0605
"TMS18F1317P0048",0.0592
"TMS18F1258P0147",0.0591
"TMS18F1174P0011",0.059
"TMS18F1096P0013",0.0589
"TMS18F1388P0012",0.0581
"TMS18F1476P0047",0.0581
"TMS18F1319P0041",0.0577
"TMS18F1178P0010",0.0572
"TMS18F1562P0026",0.0566
"TMS18F1038P0087",0.0556
"TMS18F1295P0030",0.0551
"TMS18F1372P0001",0.0544
"TMS18F1259P0131",0.0537
"TMS18F1058P0019",0.0535
"TMS18F1044P0013",0.0534
"TMS18F1320P0101",0.0534
"TMS18F1026P0009",0.0523
"TMS18F1210P0021",0.0518
"TMS18F1305P0017",0.0518
"TMS18F1073P0035",0.0503
"TMS18F1562P0023",0.0502
"TMS18F1286P0012",0.05
"TMS18F1003P0009",0.0471
"TMS18F1299P0005",0.0468
"TMS18F1337P0044",0.0467
"TMS18F1280P0091",0.0464
"TMS18F1314P0007",0.0464
"TMS18F1114P0039",0.0462
"TMS18F1344P0147",0.044
"TMS18F1202p0001",0.0439
"TMS18F1047p0012",0.0433
"TMS18F1132P0083",0.0426
"TMS18F1055P0036",0.0422
"TMS18F1165P0008",0.0421
"TMS18F1318P0036",0.042
"TMS18F1562P0025",0.042
"TMS18F1349P0123",0.0408
"TMS18F1016P0010",0.04
"TMS18F1271P0001",0.0399
"TMS18F1520P0050",0.0397
