"ENTRY","BLUP"
"TMS18F1028P0030",0.5778
"TMS18F1156P0016",0.5485
"TMS18F1337P0044",0.5299
"TMS18F1314P0026",0.4955
"TMS18F1348P0098",0.4549
"TMS18F1055P0044",0.439
"TMS18F1447P0062",0.434
"TMS18F1318P0036",0.3973
"TMS18F1323p0025",0.3878
"TMS18F1138P0030",0.3813
"TMS18F1305P0007",0.378
"TMS18F1324P0200",0.3777
"TMS18F1076P0112",0.3651
"TMS18F1489P0040",0.3578
"TMS18F1343P0171",0.3565
"TMS18F1305P0019",0.3555
"TMS18F1051P0063",0.3551
"TMS18F1233p0013",0.3542
"TMS18F1349P0123",0.3524
"TMS18F1096P0013",0.3472
"TMS18F1114P0039",0.3422
"TMS18F1018P0001",0.3352
"TMS18F1020P0027",0.3344
"TMS18F1096P0024",0.3339
"TMS18F1369P0015",0.3329
"TMS18F1278P0118",0.3202
"TMS18F1040P0044",0.3117
"TMS18F1327P0013",0.3103
"TMS18F1135P0025",0.3071
"TMS18F1562P0026",0.304
"TMS18F1016P0010",0.2989
"TMS18F1388P0012",0.2982
"TMS18F1142P0017",0.2959
"TMS18F1338P0085",0.293
"TMS18F1319P0041",0.2899
"TMS18F1344P0147",0.2834
"TMS18F1127P0011",0.2817
"TMS18F1489P0038",0.2789
"TMS18F1085P0012",0.2757
"TMS18F1313P0001",0.272
"TMS18F1308P0077",0.266
"TMS18F1344P0176",0.2631
"TMS18F1003P0010",0.2603
"TMS18F1338P0013",0.2591
"TMS18F1092P0016",0.2579
"TMS18F1058P0019",0.256
"TMS18F1350P0091",0.254
"TMS18F1191P0002",0.2537
"TMS18F1073P0035",0.2532
"TMS18F1296P0042",0.2499
"TMS18F1174P0011",0.2483
"TMS18F1258P0062",0.2464
"TMS18F1447P0078",0.245
"TMS18F1280P0091",0.2438
"TMS18F1298P0017",0.2432
"TMS18F1424P0021",0.2348
"TMS18F1056P0016",0.2285
"TMS18F1372P0001",0.2265
"TMS18F1209P0015",0.2257
"TMS18F1240P0026",0.2179
"TMS18F1308P0114",0.2147
"TMS18F1149P0024",0.2132
"TMS18F1331P0016",0.211
"TMS18F1271P0001",0.1966
"TMS18F1165P0008",0.1917
"TMS18F1341P0044",0.1906
"TMS18F1324P0093",0.1904
"TMS18F1350P0082",0.189
"TMS18F1272P0037",0.1857
"TMS18F1217P0121",0.1856
"TMS18F1001P0014",0.1849
"TMS18F1324P0070",0.183
"TMS18F1132P0078",0.1819
"TMS18F1562P0025",0.1814
"TMS18F1003P0009",0.1801
"TMS18F1348P0131",0.18
"TMS18F1299P0005",0.1789
"TMS18F1348P0051",0.1772
"TMS18F1317P0048",0.177
"TMS18F1485P0022",0.1759
"TMS18F1476P0047",0.1739
"TMS18F1307P0001",0.1734
"TMS18F1489P0044",0.168
"TMS18F1132P0083",0.1658
"TMS18F1312P0033",0.1656
"TMS18F1055P0036",0.1635
"TMS18F1355P0120",0.1627
"TMS18F1295P0030",0.1618
"TMS18F1562P0023",0.1599
"TMS18F1291P0026",0.1575
"TMS18F1134P0010",0.1524
"TMS18F1287P0039",0.1519
"TMS18F1280P0057",0.1487
"TMS18F1205P0010",0.1484
"TMS18F1305P0039",0.1482
"TMS18F1373P0028",0.1475
"TMS18F1369P0010",0.1463
"TMS18F1314P0007",0.1447
"TMS18F1345P0056",0.1439
"TMS18F1152P0003",0.1437
"TMS18F1040P0032",0.1416
"TMS18F1180P0033",0.1415
"TMS18F1019P0018",0.1409
"TMS18F1520P0050",0.1352
"TMS18F1044P0013",0.1324
"TMS18F1210P0021",0.1305
"TMS18F1042P0009",0.1298
"TMS18F1189P0013",0.1264
"TMS18F1024P0020",0.1251
"TMS18F1366P0012",0.1198
"TMS18F1261P0005",0.119
"TMS18F1367P0030",0.1182
"TMS18F1222P0012",0.1147
"TMS18F1345P0012",0.1125
"TMS18F1303P0027",0.111
"TMS18F1472P0042",0.1106
"TMS18F1221P0053",0.108
"TMS18F1289P0014",0.1078
"TMS13F1020P0001",0.1074
"TMS13F1307P0016",0.1033
"TMS18F1485P0020",0.0999
"TMS18F1268P0019",0.0983
"TMS18F1225P0030",0.0952
"TMS18F1076P0001",0.0927
"TMS18F1313P0053",0.0907
"TMS18F1319P0100",0.0895
"TMS18F1349P0157",0.0885
"TMS18F1258P0147",0.0882
"TMS18F1280P0136",0.0859
"TMS18F1277P0045",0.0851
"TMS18F1296P0071",0.0801
"TMS18F1339P0012",0.0793
"TMS18F1259P0131",0.0773
"TMS18F1364P0018",0.0766
"IITA-TMS-IBA30572",0.076
"TMS18F1320P0101",0.0759
"TMS18F1211P0035",0.0736
"TMS18F1153P0053",0.073
"TMS18F1305P0017",0.0711
"TMS18F1175P0053",0.0703
"TMS18F1076P0103",0.0687
"TMS18F1348P0117",0.0626
"TMS18F1426P0001",0.0613
"TMS18F1090P0031",0.0606
"TMS18F1138P0037",0.0606
"TMS18F1361P0018",0.0564
"TMS18F1377P0023",0.0564
"TMS18F1344P0159",0.0558
"TMS18F1335P0035",0.0532
"TMS18F1319P0061",0.051
"TMS18F1224P0014",0.0467
