"ENTRY","BLUP"
"TMS18F1305P0039",5.354
"TMS18F1310P0088",4.68
"TMS18F1314P0042",4.2905
"IITA-TMS-IBA000070",4.2783
"TMS18F1298P0017",4.1296
"TMS18F1209P0015",3.9636
"TMS18F1340P0001",3.8914
"TMS18F1299P0005",3.7612
"TMS18F1344P0153",3.7091
"TMS18F1076P0106",3.5158
"TMS18F1153P0053",3.4732
"TMS18F1338P0116",3.4124
"TMS18F1421P0025",3.4043
"TMS18F1334P0003",3.3128
"TMS18F1150P0011",3.2305
"TMS18F1302P0018",3.2238
"TMS18F1144P0010",3.1864
"TMS18F1349P0157",3.166
"TMS18F1059P0015",3.0045
"TMS18F1004P0008",2.9735
"TMS18F1268P0019",2.9301
"TMS18F1308P0114",2.8663
"TMS18F1178P0046",2.8562
"TMS18F1305P0031",2.8316
"TMS18F1189P0013",2.8103
"TMS18F1076P0117",2.7464
"TMS18F1063P0008",2.7232
"TMS18F1258P0147",2.6658
"TMS18F1436P0053",2.621
"TMS18F1380P0003",2.6177
"TMS18F1076P0112",2.6149
"TMS13F1307P0016",2.5611
"TMS18F1314P0026",2.5258
"TMS18F1343P0064",2.5118
"TMS18F1142P0017",2.4824
"TMS18F1447P0078",2.48
"TMS18F1352P0049",2.4572
"TMS18F1344P0014",2.448
"TMS18F1562P0023",2.4379
"TMS18F1335P0021",2.4354
"TMS18F1259P0131",2.4339
"TMS18F1355P0081",2.4331
"TMS18F1344P0003",2.4054
"TMS18F1051P0059",2.3884
"TMS18F1277P0031",2.3866
"TMS18F1324P0107",2.3749
"TMS18F1295P0035",2.3664
"TMEB419",2.3624
"TMS18F1310P0151",2.3571
"TMS18F1369P0015",2.2621
"TMS18F1355p0025",2.2459
"TMS18F1335P0001",2.1996
"TMS18F1330P0020",2.1527
"TMS18F1056P0019",2.1509
"TMS18F1309P0074",2.1287
"TMS18F1001P0014",2.1041
"TMS18F1096P0013",2.1026
"TMS18F1323P0041",2.0752
"TMS18F1355P0120",2.0681
"TMS18F1286P0012",2.0654
"TMS18F1344P0133",2.0346
"TMS18F1355p0038",2.0229
"TMS18F1353P0038",2.0092
"TMS18F1336P0015",2.0025
"TMS18F1364P0018",2.0012
"TMS18F1349P0126",1.982
