"ENTRY","BLUP"
"TMS18F1345P0012",3.8662
"TMS18F1142P0017",3.3758
"TMS18F1305P0138",2.8584
"TMS18F1348P0157",2.7674
"TMS18F1562P0030",2.6626
"TMS18F1330P0020",2.5957
"TMS18F1436P0049",2.525
"TMS18F1305P0040",2.5129
"TMS18F1208P0005",2.4492
"TMS18F1344P0159",2.3203
"TMS18F1308P0077",2.2607
"TMS18F1395P0055",2.2552
"TMS18F1323P0024",2.1713
"TMS18F1096P0013",2.1441
"TMS18F1258P0156",2.0567
"TMS18F1334P0023",2.0402
"TMS18F1348P0156",2.0238
"TMS18F1313P0013",1.9864
"TMS18F1076P0112",1.9733
"TMS18F1280P0107",1.9547
"TMS18F1313P0053",1.945
"TMS18F1231P0011",1.9167
"TMS18F1333p0013",1.9043
"TMS18F1165P0008",1.8744
"TMS18F1280P0086",1.8485
"TMS18F1377P0007",1.837
"TMS18F1138P0035",1.7975
"TMS18F1082P0024",1.7797
"TMS18F1319P0041",1.7766
"TMS18F1352P0002",1.7666
"TMS18F1007P0005",1.7624
"TMS18F1317P0059",1.7575
"TMS18F1323p0025",1.7511
"TMS18F1347P0029",1.7363
"TMS18F1338P0099",1.7297
"TMS18F1336P0014",1.7295
"TMS18F1372P0041",1.7151
"TMS18F1343P0064",1.7069
"TMS18F1289P0014",1.6737
"TMS18F1318P0054",1.6672
"TMS18F1436P0053",1.6597
"TMS18F1298P0044",1.6533
"TMS18F1076P0121",1.6503
"TMS18F1069P0033",1.6341
"TMS18F1324P0003",1.6338
"TMS18F1326P0007",1.5783
"TMS18F1344P0147",1.5729
"TMS18F1025P0041",1.5509
"TMS18F1354P0027",1.5427
"TMS18F1139P0076",1.5397
"TMS18F1280P0091",1.5385
"TMS18F1339P0012",1.5201
"TMS18F1096P0024",1.5184
"TMS18F1310P0151",1.5086
"TMS18F1350P0041",1.5065
"TMS18F1004P0008",1.5026
"TMS18F1345P0043",1.4958
"TMS18F1365P0005",1.477
"TMS18F1447P0062",1.4752
"TMS18F1364P0022",1.4738
"TMS18F1068P0077",1.4522
"TMS18F1355P0089",1.4437
"TMS18F1179P0029",1.436
"TMS18F1314P0026",1.4346
"TMS18F1319P0121",1.4293
"TMS13F1343P0022",1.4059
"TMS18F1047P0046",1.3669
"TMS18F1324P0200",1.3645
"TMS13F1160P0004",1.358
"TMS18F1314P0042",1.3567
"TMS18F1298P0017",1.3533
"TMS18F1287P0029",1.3426
"TMS18F1280P0057",1.3377
"TMS18F1261P0005",1.3215
"TMS18F1305P0017",1.3211
"TMS18F1310P0148",1.3106
"TMS18F1299P0005",1.2826
"TMS18F1324P0070",1.2614
"TMS18F1306P0127",1.256
"TMS18F1153P0053",1.2491
"TMS18F1113P0038",1.2208
"TMS18F1127P0010",1.2207
"TMS18F1120P0004",1.2187
"TMS18F1348P0092",1.214
"TMS18F1334P0003",1.2028
"TMS18F1210P0021",1.2002
"TMS18F1211P0035",1.2001
"TMS18F1041P0005",1.1893
"TMS18F1003P0003",1.1644
"TMS18F1178P0010",1.1284
"TMS18F1163P0044",1.1259
"TMS18F1369P0010",1.1229
"TMS18F1163P0042",1.1192
"TMS18F1286P0012",1.1156
"TMS18F1562P0026",1.101
"TMS18F1065P0037",1.0902
"TMS18F1132P0042",1.0524
"TMS18F1320P0032",1.0418
"TMS18F1295P0030",1.0372
"TMS18F1265P0030",1.0279
"TMS18F1296P0071",1.024
"TMS18F1287P0039",1.0091
"TMS18F1352P0016",1.0076
"TMS18F1348P0131",1.0039
"TMS18F1327P0013",1.0009
