"ENTRY","BLUP"
"TMS18F1258P0156",3.3814
"TMS18F1096P0013",3.2439
"TMS18F1313P0013",2.978
"TMS18F1076P0110",2.9637
"IITA-TMS-IBA000070",2.8638
"TMS18F1127P0010",2.5374
"TMS18F1231P0011",2.5189
"TMS18F1240P0026",2.4965
"TMS18F1028P0003",2.4349
"TMS18F1331P0016",2.3693
"TMS18F1310P0148",2.2686
"TMS18F1063P0008",2.2645
"TMS18F1344P0159",2.2643
"TMS18F1299P0005",2.2469
"TMS18F1349P0126",2.2328
"TMS18F1355P0081",2.1859
"TMS18F1338P0053",2.1811
"TMS18F1348P0156",2.1189
"TMS18F1312P0033",2.118
"TMS18F1349P0157",2.1137
"TMS18F1310P0088",2.0595
"TMS18F1142P0017",2.0267
"TMS18F1361P0018",1.9968
"TMS18F1314P0042",1.932
"TMS18F1347P0029",1.9179
"TMS18F1364P0018",1.9
"TMS13F1343P0022",1.8713
"TMS18F1364P0022",1.814
"TMS18F1317P0059",1.8067
"TMS18F1348P0157",1.7273
"TMS18F1313P0053",1.7149
"TMS18F1308P0077",1.7137
"TMS18F1354P0027",1.7135
"TMS18F1179P0008",1.6547
"TMS18F1178P0010",1.6164
"TMS18F1280P0091",1.6106
"TMS18F1348P0092",1.605
"TMS18F1134P0010",1.5717
"TMS18F1338P0116",1.5703
"TMS18F1280P0107",1.5501
"TMS18F1349P0065",1.5176
"TMS18F1330P0020",1.5131
"TMS18F1395P0055",1.4938
"TMS18F1369P0015",1.4514
"TMS18F1323p0025",1.4458
"TMS18F1024P0020",1.395
"TMS18F1395P0010",1.3896
"TMS18F1179P0029",1.3767
"TMS18F1280P0086",1.3693
"TMS18F1476P0047",1.3679
"TMS18F1469P0062",1.367
"TMS18F1280P0112",1.344
"TMS18F1414P0014",1.3393
"TMS18F1348P0113",1.2803
"TMS18F1318P0054",1.2685
"TMS18F1305P0007",1.2374
"TMS18F1348P0097",1.2277
"TMS18F1396P0017",1.2116
"TMS18F1371P0011",1.1975
"TMS18F1217P0095",1.1902
"TMS18F1139P0076",1.1897
"TMS18F1391P0004",1.1827
"TMS18F1334P0003",1.1393
"TMS18F1344P0133",1.1385
"TMS18F1343P0064",1.1348
"TMS18F1306P0127",1.1017
"TMS18F1344P0153",1.0987
"TMS18F1007P0004",1.0944
"TMS18F1348P0095",1.0681
"TMS18F1082P0024",1.0646
"TMS18F1365P0022",0.9943
"TMS18F1211P0035",0.9679
"TMS18F1345P0056",0.9072
"TMS18F1258P0153",0.8681
"TMS18F1333P0012",0.868
"TMS18F1562P0026",0.8632
"TMS18F1336P0015",0.8628
"TMS18F1396P0032",0.8607
"TMS18F1308P0082",0.8404
"TMS18F1150P0011",0.8333
"TMS18F1562P0030",0.8198
"TMS18F1221P0053",0.7943
"TMS18F1353P0022",0.792
"TMS18F1341P0037",0.7783
"TMS18F1038P0010",0.7659
"TMS18F1018P0001",0.7573
"TMS18F1286P0012",0.7482
"TMS18F1258P0147",0.7452
"TMS18F1436P0049",0.7448
"TMS18F1305P0040",0.7431
"TMS18F1003P0003",0.7381
"TMS18F1303P0027",0.7322
"TMS18F1345P0012",0.7256
"TMS18F1202p0001",0.7227
"TMS18F1344P0176",0.7211
"TMS18F1073P0035",0.7203
"TMS18F1163P0035",0.7199
"TMS18F1355p0025",0.7049
"TMS18F1289P0014",0.6954
"TMS18F1306P0129",0.6952
"TMS18F1277P0031",0.6876
"TMS18F1305P0031",0.6758
"TMS18F1447P0002",0.6729
"TMS18F1344P0100",0.6725
"TMS18F1324P0107",0.6649
"TMS18F1340P0030",0.6639
"TMS18F1065P0037",0.6583
"TMS18F1083P0028",0.6548
"TMS18F1372P0024",0.6545
"TMS18F1278P0118",0.6171
"TMS18F1330P0009",0.6117
"TMS18F1287P0039",0.6085
"TMS18F1319P0033",0.5994
"TMS18F1377P0007",0.5772
"TMS18F1069P0023",0.5759
"TMS18F1296P0071",0.5742
"TMS18F1240P0024",0.572
"TMS18F1372P0041",0.5612
"TMS18F1485P0022",0.5521
"TMS18F1350P0065",0.5481
"NR130124",0.5305
"TMS18F1352P0049",0.5245
"TMS18F1366P0012",0.523
"TMS18F1480P0023",0.5174
"TMS18F1178P0046",0.4916
"TMS18F1163P0044",0.4824
"TMS18F1424P0021",0.4824
"TMS18F1396P0053",0.4799
"TMS18F1345P0001",0.4781
"TMS18F1175P0053",0.4773
"TMS18F1305P0019",0.4758
"TMS18F1344P0003",0.4703
"TMS18F1207P0008",0.4639
"TMS18F1026P0009",0.4637
"TMS18F1051P0059",0.4613
"TMS18F1333p0013",0.4444
"TMS18F1341P0044",0.4415
"TMS18F1305P0138",0.4288
"TMS18F1506P0018",0.4216
"TMS18F1274P0020",0.4186
"TMS18F1421P0005",0.4165
"TMS18F1319P0159",0.4159
"TMS18F1156P0016",0.4088
"TMS18F1334P0023",0.4059
"TMS18F1309P0062",0.3972
"TMS13F1343P0044",0.3925
"TMS18F1298P0017",0.392
"TMS18F1305P0039",0.3895
"TMS18F1189P0013",0.3882
"TMS18F1260P0060",0.3594
"TMS18F1001P0014",0.3539
"TMS18F1010P0011",0.3495
"TMS18F1336P0014",0.3469
"TMS18F1352P0002",0.3451
"TMS18F1278P0183",0.339
"TMS13F1160P0004",0.3358
"TMS18F1064P0027",0.3348
"TMS18F1520P0050",0.3295
"TMS18F1165P0018",0.3294
"TMS18F1319P0041",0.3215
"TMS18F1539P0063",0.3166
"TMS18F1337P0044",0.311
"TMS18F1144P0010",0.2929
"TMS18F1278P0098",0.2841
"TMS18F1163P0042",0.2829
"TMS18F1339P0012",0.2773
"TMS18F1210P0021",0.2701
"TMS18F1287P0029",0.2664
"TMS18F1338P0099",0.2651
"TMS18F1047P0045",0.2459
"TMS18F1280P0140",0.2417
"TMS18F1359P0001",0.2395
