"ENTRY","BLUP"
"TMS18F1250P0050",0.1354
"TMS18F1064P0027",0.1217
"TMS18F1361P0018",0.1102
"TMS18F1349P0065",0.1097
"TMS18F1163P0035",0.109
"TMS18F1280P0140",0.1085
"TMS18F1343P0012",0.108
"TMS18F1370P0008",0.1062
"TMS18F1350P0056",0.1027
"TMS18F1024P0020",0.1026
"TMS18F1337P0044",0.101
"TMS18F1480P0023",0.0983
"TMS18F1217P0121",0.0956
"TMS18F1144P0010",0.0934
"TMS18F1335P0021",0.0921
"TMS18F1335P0001",0.0907
"TMS18F1348P0095",0.0874
"TMS18F1073P0035",0.0853
"TMS18F1349P0126",0.0833
"TMS18F1348P0039",0.0822
"TMS18F1348P0157",0.082
"TMS18F1280P0112",0.0814
"TMS18F1345P0001",0.0809
"TMS18F1348P0092",0.0804
"TMS18F1265P0030",0.0797
"TMS18F1348P0101",0.0789
"TMS18F1334P0003",0.0787
"TMS18F1350P0038",0.0776
"TMS18F1065P0037",0.0771
"TMS18F1076P0106",0.0769
"TMS18F1325P0032",0.0768
"TMS18F1258P0156",0.0765
"TMS18F1318P0016",0.076
"TMS18F1178P0046",0.0759
"TMS18F1003P0014",0.0758
"TMS18F1364P0018",0.0733
"TMS18F1314P0042",0.0732
"TMS18F1320P0032",0.0731
"TMS18F1377P0007",0.0722
"TMS18F1324P0092",0.0717
"TMS18F1231P0011",0.0714
"TMS18F1328P0027",0.0706
"TMS18F1342P0017",0.0703
"TMS18F1372P0001",0.0703
"TMS18F1309P0074",0.0702
"TMS18F1274P0020",0.0698
"TMS18F1217P0075",0.0693
"TMS18F1278P0180",0.069
"TMS18F1331P0016",0.0688
"TMS18F1365P0022",0.0683
"TMS18F1338P0053",0.068
"TMS18F1355P0081",0.068
"TMS18F1260P0060",0.0677
"TMS18F1240P0026",0.0673
"TMS18F1352P0049",0.0673
"TMS18F1038P0010",0.0671
"TMS18F1333p0013",0.0663
"TMS18F1278P0183",0.0658
"TMS18F1348P0113",0.0656
"TMS18F1478P0047",0.0651
"TMS18F1380P0003",0.0629
"TMS18F1302P0018",0.0622
