"ENTRY","BLUP"
"TMS18F1349P0123",2.3536
"TMS18F1562P0025",2.2306
"TMS18F1319P0121",2.2297
"TMS18F1355P0120",1.8684
"TMS18F1348P0117",1.8655
"TMS18F1092P0016",1.8573
"TMS18F1040P0044",1.7454
"TMS18F1447P0078",1.7428
"TMS18F1055P0044",1.7278
"TMS18F1485P0022",1.5037
"TMS18F1019P0018",1.4942
"TMS18F1259P0131",1.3681
"TMS18F1059P0015",1.241
"TMS18F1286P0012",1.2019
"TMS18F1149P0024",1.1528
"TMS18F1016P0010",1.1457
"TMS18F1306P0149",1.1244
"TMS18F1218P0003",1.1095
"TMS18F1353P0022",1.0949
"TMS18F1305P0019",1.0407
"TMS18F1055P0036",1.0294
"TMS18F1328P0032",0.9909
"TMS18F1090P0031",0.9189
"TMS18F1353P0023",0.8852
"TMS18F1371P0001",0.8836
"TMS18F1562P0023",0.8715
"TMS18F1278P0165",0.8696
"TMS18F1058P0019",0.8571
"TMS18F1317P0119",0.8571
"TMS18F1295P0023",0.8542
"TMS18F1138P0035",0.8478
"TMS18F1355p0038",0.7627
"TMS18F1365P0005",0.7616
"TMS18F1233p0013",0.7578
"TMS18F1331P0016",0.753
"TMS18F1280P0151",0.7475
"TMS18F1481P0015",0.7417
"TMS18F1280P0057",0.7416
"TMS18F1028P0030",0.7284
"TMS18F1076P0112",0.7111
"TMS18F1319P0033",0.7018
"TMS18F1132P0042",0.6959
"TMS18F1306P0114",0.6932
"TMS18F1132P0144",0.6425
"TMS18F1345P0056",0.6355
"TMS18F1056P0016",0.634
"TMS18F1174P0011",0.631
"TMS18F1436P0053",0.6296
"TMS18F1389P0031",0.623
"TMS18F1352P0049",0.6218
"TMS18F1153P0053",0.6161
"TMS18F1364P0027",0.6147
"TMS18F1044P0013",0.5855
"TMS18F1307P0001",0.5513
"TMS18F1295P0035",0.5488
"TMS18F1343P0153",0.5456
"TMS18F1025P0041",0.5413
"TMS18F1007P0005",0.5392
"TMS18F1348P0024",0.539
"TMS18F1348P0098",0.5271
"TMS18F1344P0147",0.513
"TMS18F1262P0008",0.5095
"TMS18F1142P0017",0.5093
"TMS18F1082P0024",0.5079
"TMS18F1361P0041",0.5028
"TMS18F1139P0076",0.4987
"TMS18F1156P0016",0.4985
"TMS18F1424P0021",0.4939
"TMS18F1350P0091",0.4835
"TMS18F1107P0020",0.4713
"TMS18F1056P0066",0.4704
"TMS18F1305P0039",0.4593
"TMS18F1296P0042",0.4381
"TMS18F1396P0017",0.4193
"TMS18F1562P0055",0.4123
