"ENTRY","BLUP"
"IITA-TMS-IBA000070",0.053
"TMEB419",0.0133
"IITA-TMS-IBA982101",0.0065
"IITA-TMS-IBA980581",0.0031
"TMS18F1150P0011",0.0025
"TMS18F1436P0053",0.0024
"TMS18F1025P0041",0.0023
"TMS18F1286P0012",0.0023
"TMS18F1289P0014",0.0023
"TMS18F1335P0035",0.0023
"TMS18F1312P0039",0.0022
"TMS18F1324p0026",0.0022
"TMS18F1344P0147",0.0021
"TMS18F1338P0085",0.002
"TMS18F1345P0012",0.002
"TMS18F1314P0026",0.0019
"TMS18F1353P0022",0.0019
"TMS18F1485P0022",0.0018
"TMS18F1562P0023",0.0018
"TMS18F1165P0018",0.0017
"TMS18F1280P0086",0.0017
"TMS18F1318P0007",0.0017
"TMS18F1337P0044",0.0017
"TMS18F1348P0098",0.0017
"TMS18F1389P0021",0.0017
"TMS18F1138P0030",0.0016
"TMS18F1303P0027",0.0016
"TMS18F1305P0039",0.0016
"TMS18F1409P0008",0.0016
"TMS18F1489P0040",0.0016
"TMS18F1562P0026",0.0016
"TMS18F1127P0010",0.0015
"TMS18F1424P0020",0.0015
"TMS13F1020P0001",0.0014
"TMS18F1076P0066",0.0014
"TMS18F1076P0112",0.0014
"TMS18F1152P0003",0.0014
"TMS18F1240P0026",0.0014
"TMS18F1318P0018",0.0014
"TMS18F1395P0038",0.0014
"TMS18F1114P0039",0.0013
"TMS18F1240P0024",0.0013
"TMS18F1259P0131",0.0013
"TMS18F1329P0011",0.0013
"TMS18F1349P0123",0.0013
"TMS18F1041P0005",0.0012
"TMS18F1090P0031",0.0012
"TMS18F1107P0020",0.0012
"TMS18F1319P0100",0.0012
"TMS18F1327P0006",0.0012
"TMS18F1040P0054",0.0011
"TMS18F1096P0013",0.0011
"TMS18F1262P0008",0.0011
"TMS18F1287P0039",0.0011
"TMS18F1306P0129",0.0011
"TMS18F1344P0014",0.0011
"TMS18F1355P0120",0.0011
"TMS18F1372P0024",0.0011
"TMS18F1211P0035",0.001
"TMS18F1258P0153",0.001
"TMS18F1348P0101",0.001
"TMS18F1349P0157",0.001
"TMS18F1350P0041",0.001
"TMS18F1354P0027",0.001
"TMS18F1388P0012",0.001
"TMS13F1160P0004",0.0009
"TMS18F1026P0009",0.0009
"TMS18F1138P0028",0.0009
"TMS18F1208P0005",0.0009
"TMS18F1330P0020",0.0009
"TMS18F1348P0092",0.0009
"TMS18F1364P0022",0.0009
"TMS18F1373P0028",0.0009
"TMS18F1396P0032",0.0009
"TMS18F1421P0025",0.0009
"TMS18F1174P0011",0.0008
"TMS18F1217P0091",0.0008
"TMS18F1260P0054",0.0008
"TMS18F1339P0015",0.0008
"TMS18F1341P0037",0.0008
"TMS18F1344P0176",0.0008
"TMS18F1348P0039",0.0008
"TMS18F1350P0065",0.0008
"TMS18F1353P0038",0.0008
"TMS18F1361P0041",0.0008
"TMS18F1447P0002",0.0008
"TMS18F1469P0062",0.0008
"TMS18F1472P0042",0.0008
"TMS18F1003P0009",0.0007
"TMS18F1028P0003",0.0007
"TMS18F1059P0015",0.0007
"TMS18F1208P0007",0.0007
"TMS18F1258P0156",0.0007
"TMS18F1305P0138",0.0007
"TMS18F1309P0074",0.0007
"TMS18F1310P0151",0.0007
"TMS18F1314P0007",0.0007
"TMS18F1320P0051",0.0007
"TMS18F1335P0001",0.0007
"TMS18F1344P0133",0.0007
"TMS18F1348P0097",0.0007
"TMS18F1365P0022",0.0007
"TMS18F1370P0008",0.0007
"TMS18F1372P0041",0.0007
"TMS18F1051P0063",0.0006
"TMS18F1056P0066",0.0006
"TMS18F1073P0038",0.0006
"TMS18F1138P0037",0.0006
"TMS18F1313P0013",0.0006
"TMS18F1319P0041",0.0006
"TMS18F1331P0016",0.0006
"TMS18F1338P0116",0.0006
"TMS18F1342P0017",0.0006
