"ENTRY","BLUP"
"TMS18F1348P0157",1.296
"TMS18F1258P0156",1.254
"TMS18F1313P0013",1.2208
"TMS18F1096P0013",1.2056
"TMS18F1179P0029",1.1754
"TMS18F1308P0082",1.1732
"TMS18F1350P0026",1.1583
"TMS18F1330P0020",1.1386
"IITA-TMS-IBA000070",1.1364
"TMS18F1063P0008",1.0954
"TMS13F1343P0022",1.0873
"TMS18F1369P0015",1.0863
"TMS18F1240P0026",1.0623
"TMS18F1347P0029",1.0613
"TMS18F1318P0054",1.0593
"TMS18F1365P0022",1.0587
"TMS18F1338P0013",1.0558
"TMS18F1352P0002",1.0477
"TMS18F1348P0098",1.0323
"TMS18F1348P0097",1.0188
"TMS18F1291P0026",0.9991
"TMS18F1336P0015",0.991
"TMS18F1344P0153",0.9744
"TMS18F1142P0017",0.9737
"TMS18F1344P0159",0.9687
"TMS18F1178P0010",0.9445
"TMS18F1308P0077",0.9381
"TMS18F1339P0015",0.9336
"TMS18F1343P0064",0.9226
"TMS18F1280P0086",0.9168
"TMS18F1076P0112",0.9164
"TMS18F1348P0156",0.9067
"TMS18F1327P0013",0.9015
"TMS18F1150P0011",0.8938
"TMS18F1313P0053",0.8932
"TMS18F1314P0042",0.8897
"IITA-TMS-IBA980581",0.8884
"TMS18F1324P0107",0.8878
"TMS18F1344P0198",0.8871
"TMS18F1344P0003",0.8837
"TMS18F1127P0010",0.8807
"TMS18F1299P0005",0.8784
"TMS18F1076P0110",0.8782
"TMS18F1138P0030",0.8722
"TMS18F1132P0042",0.8673
"TMS18F1165P0018",0.8649
"TMS18F1355p0025",0.8523
"TMS18F1355P0081",0.8384
"TMS18F1303P0027",0.8216
"TMS18F1349P0064",0.8144
"TMS18F1028P0003",0.8119
"TMS18F1038P0056",0.8099
"TMS18F1334P0003",0.8082
"TMS18F1424P0020",0.8043
"TMS18F1333P0012",0.8009
"TMS18F1134P0010",0.797
"TMS18F1323P0024",0.7739
"TMS18F1395P0055",0.7692
"TMS18F1280P0112",0.7678
"TMS18F1348P0092",0.7678
"TMS18F1317P0059",0.7644
"TMS18F1310P0151",0.7633
"TMS18F1323P0041",0.7549
"TMS18F1310P0148",0.7541
"UNKNOWN2",0.7499
"TMS18F1330P0009",0.7435
"TMS18F1354P0027",0.7412
"TMS18F1350P0038",0.733
"TMS18F1323p0025",0.7324
"TMS18F1344P0100",0.7291
"TMS18F1319P0159",0.7269
"TMS18F1337P0044",0.7258
"TMS18F1349P0157",0.7257
"TMS18F1051P0059",0.7234
"TMS18F1341P0037",0.7231
"TMS18F1348P0095",0.7102
"TMS18F1287P0029",0.71
"TMS18F1469P0062",0.7056
"TMS18F1280P0107",0.7018
"TMS18F1334P0023",0.7017
"TMS18F1221P0053",0.6998
"TMS18F1338P0053",0.6953
"TMS18F1447P0002",0.6934
"TMS18F1344P0133",0.692
"TMS18F1319P0033",0.6835
"TMS18F1345P0001",0.6786
"TMS18F1350P0091",0.6699
"TMS18F1339P0012",0.6661
"TMS18F1414P0017",0.6595
"TMS18F1361P0018",0.655
"TMS18F1338P0067",0.6534
"TMS18F1113P0038",0.6488
"TMS18F1349P0126",0.6404
"TMS18F1156P0016",0.6357
"TMS18F1258P0147",0.6315
"TMS18F1280P0091",0.6298
"TMS18F1333p0013",0.6263
"TMS18F1476P0047",0.6248
"TMS18F1025P0041",0.6242
"TMS18F1179P0008",0.624
"TMS18F1345P0043",0.6121
"TMS18F1350P0041",0.6093
"TMS18F1163P0042",0.5943
"TMS18F1320P0082",0.5892
"TMS18F1319P0041",0.588
"TMS18F1018P0001",0.5782
"TMS18F1310P0168",0.5772
"TMS18F1343P0019",0.5746
"TMS18F1055P0044",0.5742
"TMS18F1306P0127",0.5683
"TMS18F1298P0017",0.5633
"TMS18F1485P0020",0.5573
"TMS18F1348P0113",0.5481
"UNKNOWN1",0.5459
"TMS18F1312P0033",0.5454
"TMS18F1175P0053",0.5449
"TMS18F1047P0049",0.5415
"TMS18F1342P0017",0.5385
"TMS18F1348P0117",0.5376
"TMS18F1305P0007",0.5362
"TMS18F1139P0076",0.5307
"TMS18F1260P0060",0.5297
"TMS18F1506P0018",0.5202
"TMS18F1338P0099",0.4946
"TMS18F1424P0021",0.4909
"TMS18F1305P0019",0.4891
"TMS18F1278P0118",0.4867
"TMS18F1353P0022",0.4856
"TMS18F1324P0003",0.4782
"TMS18F1421P0005",0.476
"TMS18F1396P0053",0.4643
"TMS18F1338P0116",0.4627
"TMS18F1364P0022",0.4606
"TMS18F1003P0009",0.4578
"TMS18F1377P0007",0.4554
"TMS18F1345P0012",0.4549
"TMS18F1336P0014",0.4503
"TMS18F1322P0019",0.4443
"TMS18F1350P0065",0.438
"TMS18F1349P0123",0.4309
"TMS18F1069P0023",0.4136
"TMS18F1371P0011",0.4102
"TMS18F1355P0120",0.4086
"TMS18F1328P0032",0.4041
"TMS18F1309P0074",0.402
"TMS18F1391P0004",0.3984
"TMS18F1138P0028",0.3869
"TMS18F1340P0001",0.3821
"TMS18F1120P0006",0.3742
"TMS18F1210P0021",0.3707
"TMS18F1305P0017",0.3707
"TMS18F1280P0140",0.3701
"TMS18F1372P0024",0.3696
"TMS18F1324P0070",0.365
"TMS18F1059P0015",0.361
"TMS18F1313P0001",0.3597
"TMS18F1051P0063",0.3576
"TMS18F1107P0020",0.3576
"TMS18F1178P0046",0.3477
"TMS18F1047p0012",0.3394
"TMS18F1349P0149",0.3291
"TMS18F1060P0067",0.3286
"TMS18F1286P0012",0.328
"TMS18F1319P0121",0.3253
"TMS18F1395P0010",0.3227
"TMS18F1189P0013",0.3202
"TMS18F1332P0002",0.3153
"TMS18F1310P0088",0.3095
"TMS18F1364P0018",0.3083
"TMS18F1348P0101",0.3067
"TMS13F1343P0044",0.3048
"TMS18F1324P0093",0.3043
"TMS18F1127P0011",0.2991
"TMS18F1163P0044",0.2971
"TMS18F1040P0044",0.297
"TMS18F1505P0047",0.2893
"TMS18F1287P0039",0.2728
"NR130124",0.2697
"TMS18F1324P0200",0.262
"TMS18F1274P0020",0.2501
"TMS18F1277P0031",0.2447
"TMS13F1160P0004",0.2334
"TMS18F1209P0015",0.2272
"TMS18F1388P0012",0.2241
"TMS18F1280P0126",0.2207
"TMS18F1562P0030",0.2167
"TMS18F1396P0032",0.2145
"TMS18F1065P0037",0.2124
"TMS18F1302P0018",0.2072
"TMS18F1484P0036",0.1986
"TMS18F1007P0005",0.1982
"TMS18F1263P0037",0.1914
"TMS18F1355P0089",0.1867
"TMS18F1233p0013",0.1861
"TMS18F1217P0095",0.176
"TMS18F1314P0007",0.176
"TMS18F1069P0033",0.1724
"TMS18F1359P0001",0.1673
"TMS18F1217P0034",0.1644
"TMS18F1326P0007",0.1545
"TMS18F1038P0010",0.154
"TMS18F1003P0003",0.1437
"TMS18F1007P0004",0.1428
"TMS18F1024P0020",0.1399
"TMS18F1366P0012",0.1381
"TMS18F1165P0008",0.1338
"TMS18F1082P0024",0.1317
"TMS18F1344P0176",0.1301
"TMS18F1044P0013",0.1238
"TMS18F1026P0009",0.1206
"TMS18F1489P0044",0.1182
"TMS18F1436P0049",0.1103
"TMS18F1081P0014",0.099
"TMS18F1372P0041",0.098
"TMS18F1231P0011",0.0926
"TMS18F1320P0087",0.0897
"TMS18F1305P0039",0.0892
"TMS18F1295P0023",0.084
"TMS18F1338P0085",0.0813
"TMS18F1317P0123",0.0746
"TMS18F1331P0016",0.0733
"TMS18F1414P0014",0.0681
"TMS18F1520P0050",0.06
"TMS18F1120P0004",0.0593
"TMS18F1298P0044",0.0551
"TMS18F1205P0010",0.0519
"TMS18F1163P0035",0.0487
"TMS18F1314P0026",0.0456
"TMS18F1144P0010",0.0404
"TMS18F1152P0003",0.0395
"TMS18F1371P0001",0.0378
"TMS18F1349P0065",0.0274
"TMS18F1365P0024",0.0214
"TMS18F1447P0062",0.0214
"TMS18F1372P0001",0.0193
"TMS18F1318P0018",0.0121
"TMS18F1004P0008",0.0117
"TMS18F1324P0089",0.0053
"TMS18F1352P0049",0.0045
