"ENTRY","BLUP"
"TMS18F1291P0026",40.97
"TMS18F1055P0044",34.2337
"TMS18F1365P0005",33.7973
"TMS18F1365P0022",32.2348
"TMS18F1107P0020",31.1174
"TMS18F1310P0148",28.9025
"TMS18F1308P0084",28.841
"TMS18F1208P0005",28.278
"TMS18F1395P0010",27.6947
"TMS18F1165P0008",26.6166
"TMS18F1028P0003",26.0296
"TMS18F1305P0019",24.7164
"TMS18F1016P0010",24.3407
"TMS18F1262P0015",22.8722
"TMS18F1153P0053",22.819
"TMS18F1028P0030",22.5402
"TMS18F1348P0117",22.3224
"TMS18F1055P0036",21.9841
"TMS18F1306P0127",21.4708
"TMS18F1280P0086",20.9103
"TMS18F1424P0021",20.5223
"TMS18F1081P0014",20.1714
"TMS18F1295P0035",20.1688
"TMS18F1299P0005",20.1434
"TMS18F1335P0021",19.6617
"TMS18F1331P0016",19.487
"TMS18F1369P0015",19.418
"TMS18F1331P0013",19.3304
"TMS18F1076P0110",19.1666
"TMS18F1348P0131",18.3729
"TMS18F1447P0062",17.8775
"TMS18F1469P0062",17.6177
"TMS18F1520P0050",16.7239
"TMS18F1209P0015",16.4253
"UNKNOWN1",16.4232
"TMS18F1369P0014",16.3195
"TMS18F1396P0032",16.2081
"IITA-TMS-IBA980581",15.8283
"TMS18F1286P0012",15.6825
"TMS18F1138P0030",15.5201
"TMS18F1319P0159",15.0987
"TMS18F1305P0007",15.0748
"TMS18F1348P0113",14.6941
"TMS18F1348P0156",14.0726
"TMS18F1349P0157",14.0517
"TMS18F1291P0014",13.9429
"TMS18F1310P0151",13.9048
"TMS18F1063P0008",13.622
"TMS18F1096P0013",13.6218
"TMS18F1218P0003",13.522
"TMS18F1306P0129",13.466
"TMS18F1217P0034",13.387
"TMS18F1350P0082",13.3195
"TMS18F1090P0031",13.252
"TMS18F1349P0123",12.9334
"TMS18F1323p0025",12.6219
"TMS18F1355P0089",12.5991
"TMS18F1056P0066",12.1658
"TMS18F1344P0003",12.0587
"TMS18F1367P0030",11.9944
"TMS18F1324p0026",11.9514
"TMS18F1068P0077",11.8818
"TMS18F1142P0017",11.8787
"TMS18F1313P0053",11.8304
"TMS18F1447P0045",11.5631
"TMS18F1320P0051",11.534
"TMS18F1355P0120",11.3922
"TMS18F1156P0016",11.1701
"TMS18F1150P0011",11.1528
"TMS18F1562P0030",11.1512
"TMS18F1296P0071",11.0665
"UNKNOWN2",11.0602
"TMS18F1355p0025",10.6142
"TMS18F1280P0112",10.3638
"TMS18F1370P0008",10.187
"TMS18F1120P0004",10.0899
"TMS18F1389P0021",10.0798
"TMS18F1127P0010",10.0464
"TMS18F1205P0010",9.9898
"TMS18F1364P0027",9.8639
"TMS18F1421P0005",9.638
"TMS18F1225P0030",9.5319
"TMS18F1347P0029",9.5262
"TMS18F1278P0118",9.456
"TMS18F1059P0015",9.4089
"TMS18F1295P0030",9.3717
"TMS18F1348P0098",9.363
"TMS18F1179P0029",9.2434
"TMS18F1189P0013",9.2417
"TMS18F1539P0063",9.2155
"TMS18F1215P0027",9.1179
"TMS18F1353P0022",9.0311
"TMS18F1344P0176",8.9693
"TMS18F1335P0035",8.9177
"TMS18F1372P0041",8.9103
"TMS18F1284P0003",8.8143
"TMS18F1361P0041",8.6783
"TMS18F1340P0030",8.6199
"TMS18F1489P0044",8.4054
"TMS18F1344P0153",8.2808
"TMS18F1377P0007",8.1553
"TMS18F1295P0023",8.0293
"TMS18F1364P0018",8.0135
"TMS18F1056P0019",7.9478
