"ENTRY","BLUP"
"TMS18F1208P0005",45.9994
"UNKNOWN2",44.3217
"TMS18F1286P0012",44.0021
"TMS18F1280P0086",42.2198
"TMS18F1365P0005",40.3219
"TMS18F1107P0020",39.0479
"TMS18F1263P0037",38.5327
"TMS18F1324p0026",38.428
"TMS18F1055P0044",38.0287
"TMS18F1365P0022",37.8948
"TMS18F1305P0019",37.7593
"TMS18F1310P0148",36.9558
"TMS18F1331P0013",32.9333
"TMS18F1424P0021",32.4575
"TMS18F1016P0010",32.2657
"TMS18F1395P0010",31.8273
"TMS18F1348P0117",29.4434
"TMS18F1348P0156",29.3269
"TMS18F1150P0011",28.5763
"TMS18F1076P0110",28.1479
"TMS18F1291P0026",27.9163
"TMS18F1447P0045",26.8992
"UNKNOWN1",26.8777
"TMS18F1447P0062",26.7651
"TMS18F1278P0068",25.792
"TMS18F1296P0071",25.188
"TMS18F1218P0003",24.9577
"TMS18F1367P0030",24.8833
"TMS18F1312P0039",24.7293
"TMS18F1291P0014",24.3844
"TMS18F1028P0003",23.8373
"TMEB419",23.6796
"TMS18F1165P0008",23.2046
"TMS18F1081P0014",22.7172
"TMS18F1355P0089",22.5814
"TMS18F1262P0015",22.5376
"TMS18F1209P0015",22.2049
"TMS18F1313P0013",22.1822
"TMS18F1319P0159",21.8091
"TMS18F1348P0113",21.5832
"TMS18F1277P0045",21.5394
"TMS18F1056P0066",21.028
"TMS18F1068P0077",20.9964
"TMS18F1063P0008",20.6659
"TMS18F1344P0003",20.5426
"TMS18F1299P0005",20.4378
"TMS18F1310P0168",20.2216
"TMS18F1215P0027",20.1548
"TMS18F1076P0103",19.8665
"TMS18F1055P0036",19.7523
"TMS18F1308P0084",19.739
"TMS18F1306P0129",19.6702
"TMS18F1347P0029",19.2823
"TMS18F1364P0018",19.1796
"TMS18F1396P0032",19.1794
"TMS18F1138P0030",19.1631
"TMS18F1096P0013",19.0964
"TMS18F1369P0014",18.9697
"TMS18F1350P0082",18.5111
"TMS18F1120P0004",18.1544
"TMS18F1469P0062",18.1044
"TMS18F1191P0002",17.905
"TMS18F1562P0030",17.8961
"TMS18F1344P0153",17.8933
"TMS18F1341P0037",17.6686
"TMS18F1364P0022",17.1525
"TMS18F1348P0131",17.0935
"TMS18F1506P0018",16.7017
"TMS18F1344P0133",16.6799
"TMS18F1472P0042",16.2475
"TMS18F1388P0012",16.1734
"TMS18F1059P0015",16.1648
"TMS18F1306P0127",16.0418
"TMS18F1222P0012",15.8363
"TMS18F1295P0030",15.6388
"TMS18F1038P0087",15.6174
"TMS18F1369P0015",15.5758
"TMS18F1295P0023",15.5025
"TMS18F1272P0037",15.3334
"TMS18F1026P0009",15.2373
"TMS18F1303P0027",15.1543
"TMS18F1127P0010",14.944
"TMS18F1028P0030",14.7359
"TMS18F1355p0025",14.666
"TMS18F1120P0006",14.5516
"TMS18F1335P0035",14.5227
"TMS18F1277P0031",14.3646
"TMS18F1520P0050",14.0694
"TMS18F1320P0101",14.0323
"TMS18F1153P0053",13.9803
"TMS18F1355p0030",13.7909
"TMS18F1280P0112",13.5519
"TMS18F1353P0038",13.4768
"TMS18F1113P0038",13.4415
"TMS18F1284P0003",13.416
"TMS18F1340P0030",13.3554
"TMS18F1317P0123",13.3117
"TMS18F1090P0031",12.8577
"TMS18F1345P0001",12.6849
"TMS18F1296P0042",12.6725
"TMS18F1217P0091",12.5578
"TMS18F1305P0007",12.3511
"TMS18F1365P0018",12.3416
"TMS18F1341P0044",12.334
"TMS18F1132P0083",12.255
"TMS18F1295P0035",12.2394
"IITA-TMS-IBA980581",12.1342
"TMS18F1539P0063",11.8867
"TMS18F1505P0047",11.7497
"TMS18F1349P0157",11.6998
"TMS18F1069P0023",11.6653
"TMS18F1306P0149",11.6256
"IITA-TMS-IBA000070",11.552
"TMS18F1489P0040",11.4144
"TMS18F1318P0018",11.3599
"TMS18F1349P0149",11.3526
"TMS18F1313P0053",11.1747
"TMS18F1421P0005",10.8096
"TMS18F1353P0022",10.7046
"TMS18F1349P0123",10.6766
"TMS18F1308P0114",10.5799
"TMS18F1370P0008",10.4822
"TMS18F1318P0054",9.7608
"TMS18F1366P0012",9.5465
"TMS18F1389P0021",9.4093
"TMS18F1331P0016",9.3702
"TMS18F1324P0171",8.908
"TMS18F1354P0027",8.8325
"TMS18F1312P0033",8.7069
"TMS18F1298P0017",8.618
"TMS18F1336P0015",8.602
"IITA-TMS-IBA30572",8.5692
"TMS18F1076P0121",7.9959
"TMS18F1007P0004",7.9685
"TMS18F1163P0044",7.9681
"TMS18F1262P0008",7.894
"TMS18F1280P0091",7.8175
"TMS18F1364P0027",7.6321
"TMS18F1048P0023",7.5717
"NR130124",7.4548
"TMS18F1343P0064",7.4053
"TMS18F1020P0027",7.2108
"TMS18F1202p0001",7.125
"TMS18F1348P0039",7.0694
"TMS18F1047p0012",6.9036
"TMS18F1319P0100",6.87
"TMS18F1277P0007",6.8662
"TMS18F1328P0027",6.7498
"TMS18F1132P0078",6.6246
"TMS18F1324P0200",6.5473
"TMS18F1313P0001",6.4085
"TMS18F1314P0026",6.3853
"TMS18F1344P0147",6.3556
"TMS18F1345P0043",6.1193
"TMS18F1372P0024",6.0435
"TMS18F1179P0008",5.8426
"TMS18F1003P0010",5.7212
"TMS18F1476P0047",5.5862
"TMS18F1010P0011",5.5471
"TMS18F1085P0012",5.4138
"TMS18F1489P0044",5.3956
"TMS18F1361P0041",5.1936
"TMS18F1355P0120",5.0392
"TMS18F1344P0176",4.8309
"TMS18F1132P0042",4.8204
"TMS18F1408P0006",4.8171
"TMS18F1003P0003",4.7761
"TMS18F1396P0017",4.7544
"TMS18F1319P0121",4.6645
"TMS18F1345P0056",4.6305
"TMS18F1217P0034",4.63
"TMS18F1205P0010",4.3783
"TMS18F1333P0012",4.3242
"TMS18F1298P0044",4.2724
"TMS18F1310P0151",4.267
"TMS18F1348P0097",4.0979
"TMS18F1217P0114",4.0891
"TMS18F1338P0116",3.9701
"TMS18F1371P0011",3.5142
"TMS18F1337P0049",3.4775
"TMS18F1004P0008",3.4564
"TMS18F1305P0040",3.4377
"TMS18F1372P0041",3.2939
"TMS18F1485P0022",3.2831
"TMS18F1320P0051",3.2511
"TMS18F1377P0023",3.0767
"TMS18F1323p0025",3.0529
"TMS18F1189P0013",3.0047
"TMS18F1278P0118",2.8636
"TMS18F1309P0074",2.7876
"TMS18F1211P0035",2.6625
"TMS18F1320P0086",2.6492
"TMS18F1339P0015",2.4728
"TMS18F1339P0012",2.3653
"TMS18F1076P0001",2.3525
"TMS18F1338P0099",2.3437
"TMS18F1308P0077",2.2944
"TMS18F1287P0029",2.1883
"TMS18F1348P0098",2.1074
"TMS18F1065P0037",2.0717
"TMS18F1271P0001",1.91
"TMS18F1259P0131",1.8963
"TMS18F1179P0029",1.6578
"TMS18F1240P0024",1.6102
"TMS18F1225P0030",1.5735
"TMS18F1051P0059",1.5262
"TMS18F1258P0153",1.5175
"IITA-TMS-IBA982101",1.2668
"TMS18F1324P0107",1.2116
"TMS18F1044P0013",1.0719
"TMS18F1056P0016",1.0436
"TMS18F1562P0023",0.8781
"TMS18F1258P0156",0.8427
"TMS18F1330P0020",0.8351
"TMS18F1302P0018",0.8074
"TMS18F1083P0028",0.6463
"TMS18F1280P0057",0.5944
"TMS18F1305P0031",0.5392
"TMS18F1156P0016",0.5074
"TMS18F1069P0033",0.5013
"TMS18F1289P0014",0.4586
"TMS18F1373P0028",0.452
"TMS18F1353P0023",0.3461
"TMS18F1041P0002",0.2185
"TMS18F1287P0039",0.1434
"TMS18F1338P0067",0.0868
"TMS18F1349P0126",-0.1641
"TMS18F1369P0010",-0.5125
"TMS18F1320P0087",-0.5427
"TMS18F1335P0021",-0.5793
"TMS18F1217P0095",-0.6525
"TMS18F1278P0183",-0.8306
"TMS18F1352P0002",-1.0951
"TMS18F1318P0007",-1.3973
"TMS18F1317P0059",-1.6024
"TMS18F1314P0007",-1.6188
"TMS18F1344P0014",-1.6328
"TMS18F1001P0020",-1.8907
"TMS18F1345P0012",-1.9292
"TMS18F1007P0005",-2.1931
"TMS18F1082P0024",-2.2943
"TMS18F1278P0180",-2.3175
"TMS18F1005P0023",-2.3832
"TMS18F1424P0020",-2.6801
"TMS18F1278P0098",-2.6912
"TMS18F1258P0147",-2.7337
"TMS18F1217P0111",-3.1884
"TMS18F1319P0061",-3.4652
"TMS18F1317P0048",-3.6449
"TMS18F1338P0053",-3.753
"TMS18F1327P0006",-3.8743
"TMS18F1344P0159",-3.925
"TMS18F1338P0013",-4.2926
"TMS18F1344P0100",-4.3429
"TMS18F1025P0041",-4.4097
"TMS18F1414P0014",-4.4694
"TMS18F1073P0035",-4.603
"TMS18F1047P0046",-4.6162
"TMS18F1348P0024",-4.7167
"TMS18F1447P0002",-4.7584
"TMS18F1409P0008",-4.811
"TMS18F1562P0025",-4.9361
"TMS18F1142P0017",-5.1261
"TMS18F1305P0039",-5.1805
"TMS18F1334P0023",-5.2413
"TMS18F1349P0065",-5.2606
"TMS18F1343P0153",-5.2874
"TMS18F1395P0038",-5.3683
"TMS18F1414P0017",-5.5999
"TMS18F1114P0039",-5.6135
"TMS18F1389P0031",-5.6276
"TMS18F1335P0001",-5.7124
"TMS18F1489P0038",-5.7738
"TMS18F1138P0037",-5.8652
"TMS18F1001P0014",-5.9979
"TMS18F1307P0001",-6.0813
"TMS18F1329P0011",-6.0986
"TMS18F1328P0032",-6.1405
"TMS18F1264P0058",-6.1643
"TMS18F1040P0032",-6.1837
"TMS18F1280P0136",-6.3962
"TMS18F1210P0021",-6.4047
"TMS18F1149P0024",-6.4277
"TMS18F1240P0026",-6.4703
"TMS18F1224P0014",-6.5591
"TMS18F1305P0017",-6.5814
"TMS18F1165P0018",-6.6237
"TMS18F1207P0008",-6.6499
"TMS18F1231P0011",-6.6954
"TMS18F1318P0036",-6.7784
"TMS18F1478P0047",-6.8088
"TMS18F1310P0088",-6.8998
"TMS18F1068P0063",-7.0304
"TMS18F1134P0010",-7.1752
"TMS18F1359P0001",-7.3817
"TMS18F1314P0042",-7.5099
"TMS18F1336P0014",-7.513
"TMS18F1096P0024",-7.6237
"TMS18F1051P0063",-7.6473
"TMS18F1280P0151",-7.7201
"TMS13F1307P0016",-7.8421
"TMS18F1040P0054",-7.8556
"TMS18F1436P0053",-7.8762
"TMS18F1421P0025",-7.8947
"TMS18F1355p0038",-7.9128
"TMS18F1330P0009",-8.0908
"TMS18F1282P0049",-8.2352
"TMS18F1018P0001",-8.2836
"TMS18F1309P0062",-8.4688
"TMS18F1319P0033",-8.4804
"TMS18F1366P0014",-8.4855
"TMS18F1305P0138",-8.5449
"TMS18F1338P0085",-8.5565
"TMS18F1352P0016",-8.7369
"TMS18F1396P0053",-8.7499
"TMS18F1076P0077",-8.8177
"TMS18F1480P0023",-8.8423
"TMS18F1019P0018",-9.0758
"TMS13F1160P0004",-9.0832
"TMS18F1308P0082",-9.2235
"TMS18F1076P0117",-9.4197
"TMS18F1562P0026",-9.6265
"TMS18F1174P0011",-9.6397
"TMS18F1324P0046",-9.6496
"TMS18F1436P0049",-10.0312
"TMS18F1352P0049",-10.1223
"TMS18F1180P0033",-10.2384
"TMS18F1334P0003",-10.5855
"TMS18F1350P0065",-10.6314
"TMS18F1003P0009",-10.8217
"TMS18F1260P0054",-11.2696
"TMS18F1024P0020",-11.3245
"TMS18F1178P0010",-11.4092
"TMS18F1076P0112",-11.4268
"TMS18F1208P0007",-11.632
"TMS18F1481P0015",-11.8185
"TMS18F1041P0005",-11.8915
"TMS18F1152P0003",-11.8957
"TMS18F1365P0024",-11.9162
"TMS18F1040P0044",-12.0101
"TMS18F1343P0171",-12.1666
"TMS18F1350P0038",-12.2087
"TMS18F1261P0005",-12.3793
"TMS18F1233p0013",-12.5123
"TMS18F1377P0007",-12.6623
"TMS18F1350P0056",-12.7116
"TMS18F1175P0053",-12.8148
"TMS18F1317P0119",-13.2364
"TMS18F1361P0018",-13.9842
"TMS18F1343P0019",-14.2524
"TMS18F1058P0019",-14.4798
"TMS18F1113P0002",-14.5699
"TMS18F1330P0008",-14.6781
"TMS18F1258P0062",-14.8261
"TMS13F1343P0022",-15.103
"TMS18F1319P0041",-15.3647
"TMS18F1333p0013",-15.3983
"TMS18F1348P0157",-15.4301
"TMS18F1280P0107",-15.4417
"TMS18F1217P0075",-15.5021
"TMS18F1349P0064",-15.5078
"TMS18F1426P0001",-15.6067
"TMS18F1323P0024",-15.7542
"TMS18F1076P0066",-15.8804
"TMS18F1332P0002",-15.9515
"TMS18F1350P0026",-16.0712
"TMS18F1353p0017",-16.0828
"TMS18F1371P0001",-16.1518
"TMS18F1485P0020",-16.2416
"TMS18F1520P0039",-16.404
"TMS18F1344P0198",-16.524
"TMS18F1562P0055",-16.5481
"TMS18F1217P0121",-16.6539
"TMS18F1178P0046",-16.7672
"TMS18F1320P0082",-17.1855
"TMS18F1064P0027",-17.1869
"TMS18F1380P0003",-17.2647
"TMS18F1306P0114",-17.3026
"TMS18F1076P0106",-17.4839
"TMS18F1047P0045",-17.9177
"TMS18F1350P0041",-18.1528
"TMS18F1324P0092",-18.339
"TMS18F1127P0011",-18.4297
"TMS18F1340P0001",-18.4332
"TMS18F1139P0076",-18.4949
"TMS18F1391P0004",-18.5525
"TMS18F1278P0165",-18.6785
"TMS18F1138P0035",-18.9672
"TMS18F1481P0009",-19.2833
"TMS18F1324P0070",-20.0054
"TMS18F1348P0101",-20.3914
"TMS18F1138P0028",-20.416
"TMS18F1343P0012",-20.5308
"TMS13F1343P0044",-20.5592
"TMS18F1342P0003",-20.9112
"TMS18F1348P0051",-21.2164
"TMS13F1020P0001",-21.7956
"TMS18F1280P0140",-22.5491
"TMS18F1322P0019",-22.5603
"TMS18F1280P0126",-22.6365
"TMS18F1337P0044",-22.7188
"TMS18F1484P0036",-23.0009
"TMS18F1348P0095",-23.1585
"TMS18F1318P0016",-23.2212
"TMS18F1221P0053",-23.4781
"TMS18F1250P0050",-23.8607
"TMS18F1323P0041",-24.06
"TMS18F1323P0002",-24.1537
"TMS18F1320P0032",-24.7887
"TMS18F1163P0035",-25.0091
"TMS18F1038P0010",-25.2321
"TMS18F1324P0003",-25.4195
"TMS18F1324P0089",-25.8303
"TMS18F1395P0055",-25.9806
"TMS18F1047P0049",-26.4762
"TMS18F1163P0042",-26.8625
"TMS18F1505P0057",-26.8721
"TMS18F1355P0081",-27.4411
"TMS18F1260P0060",-27.773
"TMS18F1268P0019",-27.8404
"TMS18F1447P0078",-27.8599
"TMS18F1038P0056",-27.958
"TMS18F1326P0007",-28.0142
"TMS18F1350P0091",-29.5148
"TMS18F1092P0016",-30.2564
"TMS18F1346P0023",-31.1079
"TMS18F1325P0032",-32.0026
"TMS18F1348P0088",-32.7512
"TMS18F1144P0010",-33.4313
"TMS18F1060P0067",-33.7227
"TMS18F1132P0144",-34.3323
"TMS18F1539P0073",-34.4595
"TMS18F1372P0001",-34.6066
"TMS18F1348P0092",-35.8898
"TMS18F1324P0093",-35.8928
"TMS18F1274P0020",-36.8709
"TMS18F1342P0017",-39.1039
"TMS18F1327P0013",-39.1985
"TMS18F1265P0030",-40.8965
"TMS18F1338P0115",-43.5419
