"ENTRY","BLUP"
"TMS18F1208P0005",52.7612
"TMS18F1365P0005",45.1174
"TMS18F1291P0026",40.9741
"TMS18F1107P0020",40.7451
"TMS18F1055P0044",39.3612
"TMS18F1308P0084",38.2912
"TMS18F1280P0086",37.255
"TMS18F1081P0014",36.5754
"TMS18F1348P0117",34.9871
"TMS18F1324p0026",34.3806
"TMS18F1310P0148",33.4759
"TMS18F1028P0030",32.6662
"TMS18F1395P0010",32.132
"TMS18F1365P0022",31.9915
"TMS18F1165P0008",31.9898
"TMS18F1369P0014",30.9302
"TMS18F1286P0012",29.2917
"TMS18F1331P0013",28.6292
"TMS18F1424P0021",28.6159
"TMS18F1028P0003",28.5391
"TMS18F1016P0010",28.2541
"TMS18F1305P0019",26.5075
"TMS18F1447P0045",26.373
"TMS18F1348P0156",26.1853
"UNKNOWN2",26.1841
"TMS18F1299P0005",26.0737
"TMS18F1262P0015",26.0005
"TMS18F1367P0030",25.6626
"UNKNOWN1",25.3685
"TMS18F1369P0015",25.3632
"TMS18F1350P0082",24.9912
"TMS18F1263P0037",24.5665
"TMS18F1312P0039",24.2259
"TMS18F1278P0068",23.9901
"TMS18F1348P0131",23.325
"TMS18F1068P0077",22.8924
"TMS18F1296P0071",22.5597
"TMS18F1076P0110",22.5254
"TMS18F1291P0014",22.0603
"TMS18F1090P0031",22.0417
"TMS18F1138P0030",21.9482
"TMEB419",21.884
"TMS18F1218P0003",21.792
"TMS18F1277P0045",20.9698
"TMS18F1150P0011",20.8763
"TMS18F1344P0003",20.5154
"TMS18F1335P0021",20.488
"TMS18F1042P0009",20.214
"TMS18F1056P0066",20.113
"TMS18F1153P0053",19.6917
"TMS18F1076P0103",19.6764
"TMS18F1355P0089",19.0345
"TMS18F1320P0051",18.8781
"TMS18F1353P0022",18.8478
"TMS18F1314P0026",18.5736
"TMS18F1209P0015",18.5615
"TMS18F1324P0200",18.267
"TMS18F1055P0036",18.2645
"TMS18F1469P0062",18.1824
"TMS18F1447P0062",18.1289
"TMS18F1063P0008",18.0501
"TMS18F1284P0003",17.8987
"IITA-TMS-IBA980581",17.8516
"TMS18F1306P0149",17.7213
"TMS18F1120P0004",17.3271
"TMS18F1215P0027",17.1153
"TMS18F1313P0013",16.9777
"TMS18F1096P0013",16.7098
"TMS18F1059P0015",15.9117
"TMS18F1361P0041",15.7892
"TMS18F1306P0127",15.6927
"TMS18F1319P0159",15.6712
"TMS18F1295P0030",15.6139
"TMS18F1306P0129",15.3343
"TMS18F1364P0018",15.3158
"TMS18F1396P0032",15.143
"TMS18F1348P0113",14.9117
"TMS18F1344P0153",14.5756
"TMS18F1323p0025",14.5634
"TMS18F1344P0176",14.3928
"TMS18F1295P0035",14.3741
"TMS18F1127P0010",14.3118
"TMS18F1364P0027",14.1037
"TMS18F1389P0021",13.8287
"TMS18F1348P0098",13.5099
"TMS18F1347P0029",13.3462
"TMS18F1191P0002",12.9963
"TMS18F1295P0023",12.7939
"TMS18F1308P0114",12.3678
"TMS18F1349P0157",12.2247
"TMS18F1338P0099",12.1986
"TMS18F1520P0050",12.1819
"TMS18F1280P0091",11.9592
"TMS18F1370P0008",11.7524
"TMS18F1355P0120",11.7446
