"ENTRY","BLUP"
"TMS18F1295P0023",0.885
"TMS18F1348P0097",0.8225
"TMS18F1310P0151",0.6951
"TMS18F1076P0110",0.6054
"TMS18F1038P0056",0.5662
"TMS18F1338P0115",0.5516
"TMS18F1132P0144",0.5505
"TMS18F1340P0030",0.5437
"TMS18F1372P0024",0.5357
"TMS18F1342P0017",0.5234
"TMS18F1344P0198",0.5215
"TMS13F1343P0044",0.5194
"TMS18F1323P0041",0.5186
"UNKNOWN1",0.4746
"TMS18F1372P0041",0.4732
"TMS18F1076P0077",0.472
"TMS18F1339P0015",0.4689
"TMS18F1328P0032",0.4519
"TMS18F1562P0055",0.4306
"TMS18F1391P0004",0.4301
"TMS18F1350P0026",0.4254
"TMS18F1179P0029",0.419
"TMS18F1436P0049",0.4067
"TMS18F1069P0033",0.4007
"TMS18F1343P0019",0.4005
"TMS18F1274P0020",0.3941
"TMS18F1324P0003",0.3813
"TMS18F1005P0023",0.3771
"TMS18F1562P0025",0.3759
"TMS18F1287P0029",0.3648
"TMS18F1318P0018",0.3612
"TMS18F1324P0089",0.3544
"TMS18F1314P0042",0.3525
"TMS18F1469P0062",0.3461
"TMS18F1336P0015",0.3442
"TMS18F1324P0107",0.3352
"TMS18F1348P0088",0.3349
"TMS18F1120P0006",0.3322
"TMS18F1348P0101",0.3209
"TMS18F1001P0020",0.3204
"TMS18F1240P0026",0.3186
"TMS18F1150P0011",0.301
"TMS18F1340P0001",0.2959
"TMS18F1312P0033",0.295
"TMS18F1505P0057",0.2843
"TMS18F1348P0156",0.2832
"TMS18F1178P0046",0.2779
"TMS18F1341P0037",0.2735
"TMS18F1202p0001",0.2693
"TMS18F1144P0010",0.2688
"TMS18F1134P0010",0.26
"TMS18F1217P0034",0.2524
"TMS18F1350P0065",0.2524
"TMS18F1138P0035",0.2519
"TMS18F1107P0020",0.2513
"TMS18F1308P0084",0.2504
"TMS18F1191P0002",0.243
"TMS18F1326P0007",0.2389
"TMS18F1260P0060",0.2243
"TMS18F1209P0015",0.2194
"TMS18F1348P0024",0.2186
"TMS18F1165P0008",0.2184
"TMS18F1320P0082",0.2167
"UNKNOWN2",0.2165
"TMS18F1217P0091",0.2157
"TMS18F1352P0002",0.2144
"TMS18F1329P0011",0.2079
"TMS18F1152P0003",0.2072
"TMS18F1539P0073",0.2061
"TMS18F1175P0016",0.2056
"TMS18F1396P0017",0.2054
"TMS18F1348P0157",0.2008
"TMS18F1004P0008",0.1993
"TMS18F1132P0083",0.1976
"TMS18F1343P0064",0.1969
"TMS18F1327P0006",0.1955
"TMS18F1217P0111",0.1947
"TMS18F1025P0041",0.1942
"TMS18F1330P0020",0.1939
"TMS18F1309P0074",0.1938
"TMS18F1320P0051",0.1924
"IITA-TMS-IBA980581",0.1895
"TMS18F1355P0120",0.1872
"TMS18F1047P0049",0.1855
"TMS18F1280P0107",0.1822
"TMS18F1056P0016",0.1818
"TMS18F1484P0036",0.1792
"TMS18F1338P0053",0.1775
"TMS18F1051P0063",0.1749
"TMS18F1336P0014",0.1735
"TMS18F1060P0067",0.1709
"TMS18F1520P0039",0.1633
"TMS18F1113P0002",0.1567
"TMS18F1028P0003",0.1556
"TMS18F1330P0009",0.1501
"TMS18F1189P0013",0.1497
"TMS18F1344P0014",0.1466
"TMS18F1314P0007",0.1465
"TMS18F1355P0089",0.1452
"TMS18F1312P0039",0.1451
"TMS18F1056P0066",0.141
"TMS18F1355P0081",0.1407
"TMS18F1003P0010",0.1399
"TMS18F1165P0018",0.1363
"TMS18F1338P0116",0.1352
