"ENTRY","BLUP"
"TMS18F1179P0008",21.7805
"TMS18F1134P0010",21.4746
"TMS18F1317P0059",21.4402
"TMS18F1280P0091",20.9036
"TMS18F1178P0010",20.1193
"TMS18F1240P0026",19.901
"TMS18F1063P0008",19.7335
"TMS18F1280P0112",19.4298
"TMS18F1310P0148",18.9471
"TMS18F1076P0110",18.1081
"TMS18F1313P0013",17.573
"TMS18F1258P0156",17.4855
"TMS18F1349P0157",16.6464
"TMS13F1343P0022",16.5218
"TMS18F1344P0159",16.2609
"TMS18F1331P0016",15.9098
"TMS18F1314P0042",15.332
"TMS18F1312P0033",14.9576
"TMS18F1051P0059",14.9431
"TMS18F1127P0010",14.7567
"TMS18F1336P0015",14.3585
"TMS18F1348P0157",14.2243
"TMS18F1343P0064",13.9574
"TMS18F1476P0047",13.7334
"TMS18F1391P0004",13.678
"TMS18F1217P0095",13.5678
"TMS18F1395P0055",13.3165
"TMS18F1348P0156",13.2672
"TMS18F1175P0053",13.1945
"TMS18F1274P0020",13.0928
"TMS18F1318P0054",13.0869
"TMS18F1347P0029",12.7886
"TMS18F1138P0030",12.7654
"TMS18F1361P0018",12.7336
"TMS18F1308P0077",12.7112
"TMS18F1258P0147",12.4678
"TMS18F1202p0001",12.1091
"TMS18F1338P0116",11.9048
"TMS18F1338P0053",11.588
"TMS18F1350P0065",11.5682
"IITA-TMS-IBA000070",11.4571
"TMS18F1323p0025",11.3041
"TMS18F1348P0092",11.1308
"TMS18F1436P0049",11.066
"TMS18F1562P0030",10.9515
"TMS18F1291P0026",10.889
"TMS18F1344P0133",10.7322
"TMS18F1179P0029",10.7318
"TMS18F1349P0126",10.7205
"TMS18F1348P0095",10.7048
"TMS18F1287P0029",10.4237
"TMS18F1344P0003",10.2319
"TMS18F1324P0107",10.2161
"TMS18F1344P0153",10.2038
"TMS18F1364P0018",10.0376
"TMS18F1339P0015",9.8745
"TMS18F1278P0118",9.807
"TMS18F1355P0081",9.7676
"TMS18F1354P0027",9.6493
"TMS18F1349P0064",9.5666
"TMS18F1096P0013",9.5334
"TMS18F1139P0076",9.4609
"TMS18F1414P0017",9.3061
"TMS18F1299P0005",9.1604
"TMS18F1396P0032",9.1536
"TMS18F1313P0053",8.9065
"TMS18F1372P0041",8.8959
"TMS18F1303P0027",8.7179
"TMS18F1330P0009",8.5993
"TMS18F1506P0018",8.5644
"TMS18F1350P0026",8.0642
"TMS18F1330P0020",8.0267
"TMS18F1395P0010",7.9974
"TMS18F1306P0127",7.9818
"TMS18F1323P0041",7.9733
"IITA-TMS-IBA980581",7.952
"TMS18F1319P0100",7.8259
"TMS18F1073P0035",7.8032
"TMS18F1359P0001",7.6926
"TMS18F1132P0042",7.6862
"TMS18F1348P0098",7.3935
"TMS18F1319P0159",7.3134
"TMS18F1305P0017",7.2921
"TMS18F1018P0001",7.2837
"TMS18F1260P0060",7.1998
"TMS18F1163P0044",7.1835
"TMS18F1352P0002",7.1833
"TMS18F1231P0011",7.0212
"TMS18F1319P0033",7
"TMS18F1365P0022",6.9258
"TMS18F1305P0019",6.9074
"TMS18F1287P0039",6.8681
"TMS18F1156P0016",6.7753
"TMS18F1484P0036",6.7081
"TMS18F1113P0038",6.6886
"TMS18F1298P0017",6.6391
"TMS18F1355p0025",6.553
"TMS18F1209P0015",6.4618
"TMS18F1336P0014",6.4041
"TMS18F1340P0001",6.4036
"UNKNOWN1",6.353
"TMS18F1317P0123",6.3095
"TMS18F1345P0056",6.3076
"TMS18F1076P0077",6.1893
"TMS18F1366P0014",6.1532
"TMS18F1469P0062",6.0393
"TMS18F1038P0010",5.9836
"TMS18F1142P0017",5.9731
"TMS18F1348P0097",5.8891
"TMS18F1028P0003",5.8841
"TMS18F1339P0012",5.634
"TMS18F1424P0021",5.5946
"TMS18F1163P0042",5.5836
"TMS18F1334P0003",5.5413
"TMS18F1291P0014",5.4356
"TMS18F1298P0044",5.3619
"TMS18F1305P0007",5.2931
"TMS18F1314P0026",5.2138
"TMS18F1342P0017",5.203
"TMS18F1178P0046",5.1083
"TMS18F1305P0031",5.1029
"TMS18F1003P0003",4.9288
"TMS18F1240P0024",4.8363
"TMS18F1421P0005",4.8342
"TMS18F1322P0019",4.8111
"TMS18F1348P0113",4.8076
"TMS18F1065P0037",4.7725
"TMS18F1310P0088",4.7313
"TMS18F1308P0082",4.728
"TMS18F1333p0013",4.6691
"TMS18F1424P0020",4.6095
"TMS18F1165P0018",4.5836
"TMS18F1344P0100",4.5806
"TMS18F1150P0011",4.5492
"TMS18F1312P0039",4.5157
"TMS18F1371P0011",4.4701
"TMS18F1341P0037",4.4539
"TMS18F1520P0050",4.4
"TMS18F1324P0200",4.3018
"TMS18F1127P0011",4.2947
"TMS18F1047P0045",4.2934
"IITA-TMS-IBA982101",4.2766
"TMS18F1120P0006",4.2433
"TMS18F1107P0020",4.2332
"TMS13F1343P0044",4.2235
"TMS18F1324P0070",4.199
"TMS18F1076P0112",4.135
"TMS18F1364P0022",4.1279
"TMS18F1337P0044",4.0605
"TMS18F1318P0018",4.0155
"TMS18F1217P0075",3.7716
"TMS18F1069P0023",3.6917
"TMS18F1414P0014",3.6627
"TMS18F1319P0041",3.6238
"TMS18F1369P0015",3.5998
"TMS18F1340P0030",3.5977
"TMS18F1320P0087",3.441
"TMS18F1024P0020",3.4386
"TMS18F1007P0004",3.3838
"TMS18F1345P0043",3.3354
"TMS18F1323P0024",3.2652
"TMS18F1327P0013",3.2507
"TMS18F1345P0012",3.229
"TMS18F1353p0017",3.2038
"TMS18F1005P0023",3.194
"TMS18F1263P0037",3.1346
"TMS18F1003P0009",3.052
"TMS18F1280P0086",3.017
"TMS18F1038P0056",2.9487
"TMS18F1338P0099",2.8979
"TMS18F1041P0005",2.855
"TMS18F1350P0038",2.7833
"TMS18F1152P0003",2.7313
"TMS18F1010P0011",2.7195
"TMS18F1335P0035",2.582
"TMS18F1344P0198",2.5643
"TMS18F1348P0101",2.5322
"TMS18F1377P0007",2.5034
"TMS18F1310P0151",2.3665
"TMS18F1189P0013",2.2708
"TMS18F1047P0049",2.2482
"TMS18F1059P0015",2.1765
"TMS18F1349P0065",2.138
"TMS18F1373P0028",2.0893
"TMS18F1309P0074",2.0288
"TMS18F1280P0107",2.0034
"TMS18F1489P0044",1.9895
"TMS18F1221P0053",1.9457
"TMS18F1138P0028",1.8894
"TMS18F1277P0031",1.8553
"TMS18F1355p0030",1.786
"TMS18F1320P0101",1.7785
"TMS18F1372P0024",1.7343
"TMS18F1344P0176",1.7189
"TMS18F1025P0041",1.7089
"TMS18F1305P0039",1.6362
"UNKNOWN2",1.5888
"TMS18F1047p0012",1.5746
"TMS18F1396P0053",1.4999
"TMS18F1481P0009",1.4626
"TMS18F1338P0013",1.3936
"TMS18F1314P0007",1.2283
"TMS18F1217P0121",1.2213
"TMS18F1280P0140",1.2088
"TMS18F1333P0012",1.2024
"TMS18F1082P0024",1.2017
"TMS18F1352P0049",1.1756
"TMS18F1447P0002",1.1324
"TMS18F1324P0093",0.8791
"TMS18F1260P0054",0.6973
"TMS18F1313P0001",0.6068
"TMS18F1366P0012",0.6049
"TMS13F1307P0016",0.5904
"TMS18F1343P0019",0.577
"TMS18F1163P0035",0.4815
"TMS18F1217P0034",0.4404
"TMS18F1309P0062",0.414
"TMS18F1286P0012",0.3779
"TMS18F1217P0111",0.3748
"TMS18F1332P0002",0.3732
"TMS18F1120P0004",0.3546
"TMS18F1026P0009",0.3377
"TMS18F1353P0023",0.2355
"TMS18F1085P0012",0.2117
"TMS18F1144P0010",0.1722
"TMS18F1007P0005",0.1524
"NR130124",0.0927
"TMS18F1060P0067",-0.0342
"TMS18F1562P0026",-0.0443
"TMS18F1083P0028",-0.1433
"TMS18F1205P0010",-0.1778
"TMS18F1295P0023",-0.2051
"TMS18F1306P0114",-0.2819
"TMS18F1317P0048",-0.4871
"TMS18F1338P0067",-0.5324
"TMS18F1350P0041",-0.5353
"TMS18F1210P0021",-0.6469
"TMS18F1310P0168",-0.6649
"TMS18F1355P0089",-0.7278
"TMS18F1348P0117",-0.7856
"TMS18F1489P0038",-0.8606
"TMS18F1480P0023",-0.9248
"TMS18F1207P0008",-1.1197
"TMS18F1478P0047",-1.1263
"TMS18F1505P0057",-1.3561
"TMS18F1335P0001",-1.3796
"TMS18F1539P0063",-1.4161
"TMS18F1324P0046",-1.4939
"TMS18F1180P0033",-1.7359
"TMS18F1353P0022",-1.7487
"TMS18F1132P0083",-1.7518
"TMS18F1388P0012",-1.7555
"TMS18F1261P0005",-1.7571
"TMS18F1341P0044",-1.7586
"TMS18F1324P0003",-1.7652
"TMS18F1302P0018",-1.7794
"TMS18F1320P0032",-1.7881
"TMS18F1076P0106",-1.8466
"TMS18F1338P0085",-1.8555
"TMS18F1349P0149",-1.8721
"TMS18F1003P0010",-1.933
"TMS18F1365P0024",-2.0838
"TMS18F1284P0003",-2.1881
"TMS18F1165P0008",-2.1899
"TMS18F1040P0054",-2.3426
"TMS18F1051P0063",-2.3602
"TMS18F1520P0039",-2.3904
"TMS18F1278P0098",-2.5918
"TMS18F1472P0042",-2.6239
"TMS18F1272P0037",-2.6349
"TMS18F1326P0007",-2.6536
"TMS18F1081P0014",-2.7066
"TMS18F1485P0020",-2.7248
"TMS18F1055P0044",-2.7276
"TMS18F1318P0036",-2.8693
"TMS18F1334P0023",-2.8725
"TMS18F1562P0055",-3.0135
"TMS13F1020P0001",-3.0427
"TMS18F1076P0066",-3.0488
"TMS18F1044P0013",-3.0705
"TMS18F1258P0153",-3.1786
"TMS18F1262P0008",-3.1976
"TMS18F1090P0031",-3.2749
"TMS18F1447P0062",-3.2948
"TMS18F1350P0091",-3.387
"TMS18F1211P0035",-3.3884
"TMS18F1016P0010",-3.4032
"TMS18F1208P0007",-3.4282
"TMS18F1277P0045",-3.4668
"TMS18F1331P0013",-3.5518
"TMS18F1305P0040",-3.5765
"TMS18F1295P0030",-3.6038
"TMS18F1320P0051",-3.6087
"TMS18F1348P0024",-3.6117
"TMS18F1345P0001",-3.6165
"TMS18F1280P0126",-3.6419
"TMS18F1371P0001",-3.6669
"TMS18F1349P0123",-3.76
"TMS18F1328P0032",-3.885
"TMS18F1278P0165",-3.8993
"TMS18F1076P0121",-3.9782
"TMS18F1278P0183",-4.1261
"TMS18F1355p0038",-4.1585
"TMS18F1348P0088",-4.1864
"TMS18F1348P0051",-4.216
"TMS18F1485P0022",-4.2257
"TMS18F1278P0180",-4.2258
"TMS18F1320P0082",-4.2824
"TMS18F1076P0103",-4.3264
"TMS18F1343P0012",-4.3491
"TMS18F1350P0082",-4.3633
"TMS18F1305P0138",-4.5229
"TMS18F1028P0030",-4.6642
"TMS18F1409P0008",-4.7263
"TMS18F1318P0007",-4.7288
"TMS18F1040P0032",-4.772
"TMS18F1343P0153",-4.8925
"TMS18F1191P0002",-4.902
"TMS18F1408P0006",-5.066
"TMS18F1064P0027",-5.1522
"TMS18F1069P0033",-5.1616
"TMS18F1365P0018",-5.1797
"TMS18F1324P0092",-5.2504
"TMS18F1268P0019",-5.4352
"TMS18F1280P0151",-5.5006
"TMS18F1327P0006",-5.5332
"TMS18F1222P0012",-5.5627
"TMS18F1296P0071",-5.5776
"TMS18F1262P0015",-5.6423
"TMS18F1217P0091",-5.7412
"TMS18F1320P0086",-5.8052
"TMS18F1489P0040",-5.8305
"TMS18F1277P0007",-5.9135
"TMS18F1361P0041",-5.9749
"TMS18F1096P0024",-6.0476
"TMS18F1056P0066",-6.0564
"TMS18F1344P0014",-6.0654
"TMS18F1389P0021",-6.0892
"TMS18F1372P0001",-6.1568
"TMS18F1395P0038",-6.1819
"TMS18F1004P0008",-6.257
"TMS18F1001P0020",-6.3029
"TMS18F1208P0005",-6.3275
"TMS18F1047P0046",-6.4391
"TMS18F1295P0035",-6.4518
"TMS13F1160P0004",-6.4605
"TMS18F1505P0047",-6.5051
"TMS18F1337P0049",-6.5142
"TMS18F1149P0024",-6.5271
"TMS18F1365P0005",-6.7472
"TMS18F1319P0061",-6.7745
"TMS18F1319P0121",-6.7873
"TMS18F1280P0057",-6.8272
"TMS18F1020P0027",-6.8833
"TMS18F1306P0129",-6.9061
"TMS18F1217P0114",-6.9192
"TMS18F1324P0171",-7.0828
"TMS18F1308P0084",-7.1856
"TMS18F1224P0014",-7.1953
"TMS18F1325P0032",-7.1964
"TMS18F1001P0014",-7.3228
"TMS18F1324p0026",-7.4609
"TMS18F1038P0087",-7.6007
"TMS18F1353P0038",-7.6489
"TMS18F1436P0053",-7.6528
"TMS18F1328P0027",-7.6531
"TMS18F1076P0001",-7.6949
"TMS18F1335P0021",-7.7128
"TMS18F1367P0030",-7.7529
"TMS18F1389P0031",-7.9016
"TMS18F1539P0073",-7.9705
"TMS18F1370P0008",-7.9859
"TMS18F1278P0068",-7.9922
"TMS18F1250P0050",-8.0891
"TMS18F1350P0056",-8.114
"TMS18F1225P0030",-8.1145
"TMS18F1058P0019",-8.1599
"TMS18F1068P0077",-8.2496
"TMS18F1330P0008",-8.2859
"TMS18F1040P0044",-8.3895
"TMS18F1132P0078",-8.5241
"TMS18F1289P0014",-8.6197
"IITA-TMS-IBA30572",-8.65
"TMS18F1153P0053",-8.6882
"TMS18F1343P0171",-8.7668
"TMS18F1355P0120",-8.8724
"TMS18F1174P0011",-8.9449
"TMS18F1215P0027",-9.0556
"TMS18F1352P0016",-9.2154
"TMS18F1369P0010",-9.2761
"TMS18F1258P0062",-9.2822
"TMS18F1048P0023",-9.4531
"TMS18F1324P0089",-9.69
"TMS18F1348P0131",-9.7388
"TMS18F1380P0003",-9.8438
"TMS18F1282P0049",-9.8938
"TMS18F1369P0014",-10.0454
"TMS18F1323P0002",-10.0515
"TMS18F1396P0017",-10.084
"TMS18F1318P0016",-10.4036
"TMS18F1233p0013",-10.4581
"TMS18F1307P0001",-10.4589
"TMS18F1056P0019",-10.734
"TMS18F1114P0039",-10.8082
"TMS18F1342P0003",-10.9485
"TMS18F1344P0147",-10.9967
"TMS18F1348P0039",-11.0679
"TMS18F1364P0027",-11.1868
"TMS18F1042P0009",-11.3146
"TMS18F1138P0037",-11.3335
"TMS18F1113P0002",-11.3974
"TMS18F1271P0001",-11.7082
"TMS18F1056P0016",-12.2464
"TMS18F1346P0023",-12.3321
"TMS18F1296P0042",-12.3339
"TMS18F1092P0016",-12.3715
