"ENTRY","BLUP"
"IITA-TMS-IBA000070",10.1834
"TMS18F1076P0110",10.1689
"TMS18F1096P0013",9.5296
"TMS18F1258P0156",9.2996
"TMS18F1331P0016",8.9275
"TMS18F1063P0008",8.3982
"TMS18F1313P0013",8.2692
"TMS18F1240P0026",8.1804
"TMS18F1127P0010",7.9254
"TMS18F1024P0020",7.9134
"TMS18F1028P0003",7.7227
"TMS18F1349P0126",7.6494
"TMS18F1310P0088",7.6206
"TMS18F1231P0011",7.4275
"TMS18F1312P0033",7.3231
"TMS18F1395P0010",7.1604
"TMS18F1338P0053",7.1329
"TMS18F1349P0157",6.9306
"TMS18F1361P0018",6.9075
"TMS18F1355P0081",6.6098
"TMS18F1310P0148",6.4885
"TMS18F1348P0113",6.4592
"TMS18F1299P0005",6.3168
"TMS18F1314P0042",6.2373
"TMS18F1179P0008",6.2087
"TMS18F1364P0018",6.095
"TMS18F1344P0159",5.9461
"TMS18F1134P0010",5.7155
"TMS13F1343P0022",5.5988
"TMS18F1469P0062",5.5657
"TMS18F1349P0065",5.4785
"TMS18F1073P0035",5.4597
"TMS18F1365P0022",5.4412
"TMS18F1364P0022",5.3955
"TMS18F1348P0156",5.3139
"TMS18F1345P0056",5.2899
"TMS18F1338P0116",5.2808
"TMS18F1347P0029",5.2702
"NR130124",5.157
"TMS18F1371P0011",5.1284
"TMS18F1369P0015",5.075
"TMS18F1348P0092",4.8423
"TMS18F1476P0047",4.8358
"TMS18F1178P0010",4.7773
"TMS18F1354P0027",4.7683
"TMS18F1150P0011",4.7416
"TMS18F1366P0012",4.6818
"TMS18F1317P0059",4.6527
"TMS18F1421P0005",4.6389
"TMS18F1163P0035",4.6221
"TMS18F1313P0053",4.5869
"TMS18F1308P0077",4.494
"TMS18F1142P0017",4.4853
"TMS18F1447P0002",4.4626
"TMS18F1217P0095",4.4487
"TMS18F1038P0010",4.3542
"TMS18F1355p0025",4.3365
"TMS18F1414P0014",4.3072
"TMS18F1305P0007",4.2935
"TMS18F1348P0097",4.2573
"TMS18F1280P0091",4.2439
"TMS18F1344P0100",4.1284
"TMS18F1280P0112",4.1278
"TMS18F1007P0004",4.1097
"TMS18F1306P0129",4.1073
"TMS18F1344P0133",4.0297
"TMS18F1391P0004",4.0258
"TMS18F1189P0013",3.9738
"TMS18F1396P0032",3.9261
"TMS18F1395P0055",3.8625
"TMS18F1280P0107",3.8318
"TMS18F1348P0157",3.8049
"TMS18F1323p0025",3.798
"TMS18F1333P0012",3.7013
"TMS18F1372P0024",3.6976
"TMS18F1348P0095",3.6581
"TMS18F1258P0153",3.5527
"TMS18F1318P0054",3.534
"TMS18F1341P0037",3.5277
"TMS18F1344P0153",3.5165
"TMS18F1179P0029",3.5107
"TMS18F1280P0086",3.4925
"TMS18F1336P0015",3.4666
"TMS18F1139P0076",3.4369
"TMS18F1258P0147",3.4023
"TMS18F1064P0027",3.3988
"TMS18F1330P0020",3.3759
"TMS18F1334P0003",3.2933
"TMS18F1305P0019",3.184
"TMS18F1221P0053",3.1773
"TMS18F1324P0107",3.1189
"TMS18F1308P0082",3.0963
"TMS18F1018P0001",3.0925
"TMS18F1306P0127",3.0156
"TMS18F1277P0031",3.0075
"TMS18F1343P0064",2.9939
"TMS18F1156P0016",2.958
"TMS18F1211P0035",2.945
"TMS18F1485P0022",2.8953
"TMS18F1353P0022",2.8639
"TMS18F1341P0044",2.797
"TMS18F1335P0035",2.6972
"TMS18F1202p0001",2.663
"TMS18F1240P0024",2.5979
"TMS18F1082P0024",2.5968
"TMS18F1286P0012",2.584
"TMS18F1350P0065",2.5751
"TMS18F1424P0021",2.5235
"TMS18F1344P0176",2.4846
"TMS18F1319P0159",2.4284
"TMS18F1330P0009",2.424
"TMS18F1414P0017",2.3673
"TMS18F1352P0049",2.3152
"TMS18F1278P0118",2.3085
"TMS18F1026P0009",2.2764
"TMS18F1305P0031",2.2696
"TMS18F1303P0027",2.2477
"TMS18F1069P0023",2.2199
"TMS18F1319P0033",2.1814
"TMS18F1209P0015",2.1663
"TMS18F1424P0020",2.156
"TMS18F1305P0039",2.0657
"TMS18F1165P0018",2.0582
"TMS18F1175P0053",2.0381
"TMS18F1296P0071",2.0322
"TMS18F1207P0008",2.0203
"TMS18F1520P0050",1.9567
"TMS18F1003P0003",1.914
"TMS18F1051P0059",1.8141
"TMS18F1309P0062",1.8065
"TMS18F1280P0140",1.8019
"TMS18F1332P0002",1.795
"UNKNOWN2",1.7693
"TMS18F1163P0044",1.7608
"TMS18F1289P0014",1.7479
"TMS18F1506P0018",1.7104
"TMS18F1001P0014",1.71
"TMS18F1047p0012",1.6771
"TMS18F1065P0037",1.6709
"TMS18F1260P0060",1.6673
"TMS18F1340P0030",1.6421
"TMS18F1480P0023",1.639
"TMS18F1320P0087",1.6051
"TMS18F1489P0044",1.5748
"TMS18F1278P0098",1.5731
"TMS18F1344P0003",1.5697
"IITA-TMS-IBA980581",1.5424
"TMS18F1562P0030",1.5396
"TMS18F1287P0039",1.5003
"TMS18F1505P0057",1.4847
"TMS13F1343P0044",1.4735
"TMS18F1010P0011",1.4456
"TMS18F1178P0046",1.4437
"IITA-TMS-IBA982101",1.43
"TMS18F1305P0040",1.4191
"TMS18F1436P0049",1.3817
"TMS18F1539P0063",1.2794
"UNKNOWN1",1.2637
"TMS18F1127P0011",1.2101
"TMS13F1160P0004",1.2026
"TMS18F1047P0045",1.1997
"TMS18F1345P0001",1.1612
"TMS18F1377P0007",1.1543
"TMS18F1302P0018",1.1425
"TMS18F1274P0020",1.1046
"TMS18F1144P0010",1.0891
"TMS18F1044P0013",1.0862
"TMS18F1260P0054",1.0514
"TMS18F1277P0045",1.0266
"TMS18F1335P0001",1.011
"TMS18F1396P0053",1.0081
"TMS18F1350P0082",0.9646
"TMS18F1366P0014",0.9518
"TMS18F1372P0041",0.9355
"TMS18F1263P0037",0.9035
"TMS18F1163P0042",0.8844
"TMS18F1349P0064",0.8755
"TMS18F1138P0028",0.8533
"TMS18F1348P0101",0.7858
"TMS18F1334P0023",0.7846
"TMS18F1298P0017",0.7763
"TMS13F1307P0016",0.7729
"TMS18F1319P0041",0.7557
"TMS18F1472P0042",0.7213
"TMS18F1113P0038",0.7179
"TMS18F1338P0067",0.7177
"TMS18F1337P0044",0.7067
"TMS18F1287P0029",0.7035
"TMS18F1291P0014",0.6826
"TMS18F1085P0012",0.6768
"TMS18F1338P0013",0.6569
"TMS18F1339P0012",0.6279
"TMS18F1217P0121",0.5782
"TMS18F1306P0114",0.5748
"TMS18F1345P0012",0.5666
"TMS18F1309P0074",0.5507
"TMS18F1313P0001",0.5405
"TMS18F1359P0001",0.5388
"TMS18F1059P0015",0.5169
"TMS18F1336P0014",0.5053
"TMS18F1323P0041",0.4999
"TMS18F1562P0026",0.4384
"TMS18F1327P0013",0.425
"TMS18F1305P0138",0.4224
"TMS18F1333p0013",0.376
"TMS13F1020P0001",0.3521
"TMS18F1319P0061",0.3369
"TMS18F1120P0006",0.3172
"TMS18F1335P0021",0.3163
"TMS18F1318P0036",0.314
