"ENTRY","BLUP"
"UNKNOWN2",10.6502
"TMS18F1127P0010",10.4847
"TMS18F1055P0044",10.3047
"TMS18F1303P0027",9.5016
"TMS18F1202p0001",9.0178
"TMS18F1134P0010",8.7488
"TMS18F1424P0021",8.1641
"NR130124",7.9196
"TMS18F1286P0012",7.796
"TMS18F1263P0037",7.6935
"TMS18F1277P0045",7.6558
"UNKNOWN1",7.4523
"TMS18F1348P0117",7.4448
"TMS18F1258P0147",7.4252
"TMS18F1028P0003",7.3509
"TMS18F1485P0022",7.2741
"TMS18F1305P0007",7.2095
"TMS18F1313P0013",7.127
"TMS18F1312P0039",7.1177
"TMS18F1344P0153",6.9739
"TMS18F1489P0040",6.892
"TMS18F1312P0033",6.8393
"TMS18F1396P0032",6.6555
"TMS18F1096P0013",6.4538
"TMS18F1314P0007",6.4391
"TMS18F1447P0002",6.2733
"TMS18F1348P0098",6.1077
"TMS18F1355p0038",5.9642
"TMS18F1138P0037",5.959
"TMS18F1156P0016",5.8349
"TMS18F1562P0023",5.8269
"TMS18F1138P0030",5.8197
"TMS18F1349P0157",5.7477
"TMS18F1310P0148",5.7353
"TMS18F1310P0168",5.6908
"TMS18F1026P0009",5.6103
"TMS18F1330P0020",5.4207
"TMS18F1349P0149",5.4168
"TMS18F1150P0011",5.4093
"TMS18F1314P0026",5.403
"TMS18F1366P0014",5.3965
"TMS18F1348P0156",5.3596
"TMS18F1063P0008",5.2643
"TMS18F1354P0027",5.2553
"TMS18F1353P0022",5.2131
"TMS18F1369P0015",5.1983
"TMS18F1085P0012",5.1762
"TMS18F1355P0120",5.1714
"TMS18F1369P0010",5.0522
"TMS18F1364P0022",4.9239
"TMS18F1280P0086",4.9098
"TMS18F1165P0008",4.8472
"TMS18F1349P0123",4.7764
"TMS18F1076P0110",4.7297
"IITA-TMS-IBA980581",4.6788
"TMS18F1319P0041",4.4611
"TMS18F1262P0008",4.4131
"TMS18F1366P0012",4.4115
"TMS18F1338P0085",4.3856
"TMS18F1389P0021",4.3695
"TMS18F1348P0097",4.3216
"TMS18F1163P0044",4.3147
"TMS18F1287P0039",4.3049
"TMS18F1345P0012",4.2267
"TMS18F1208P0005",4.2114
"TMS18F1319P0121",4.1603
"TMS18F1113P0038",4.1199
"TMS18F1324P0200",4.1168
"TMS18F1308P0077",4.1166
"IITA-TMS-IBA000070",4.1075
"TMS18F1240P0024",4.0922
"TMS18F1319P0100",3.9163
"TMS18F1388P0012",3.8906
"TMS18F1189P0013",3.875
"TMS18F1313P0001",3.8575
"TMS18F1424P0020",3.8529
"TMS18F1051P0063",3.7526
"IITA-TMS-IBA982101",3.7418
"TMS18F1339P0015",3.7401
"TMS18F1305P0019",3.6457
"TMS18F1344P0176",3.581
"TMS18F1350P0082",3.5173
"TMS18F1319P0159",3.4634
"TMS18F1090P0031",3.4393
"TMS18F1313P0053",3.4319
"TMS18F1056P0066",3.4245
"TMS18F1299P0005",3.4093
"TMS18F1331P0016",3.4009
"TMS18F1280P0091",3.4008
"TMS18F1372P0024",3.3969
"TMS18F1082P0024",3.3944
"TMS18F1107P0020",3.3471
"TMS18F1059P0015",3.3027
"TMS18F1217P0095",3.2718
"TMS18F1179P0008",3.2702
"TMS18F1295P0023",3.1924
"TMS18F1076P0112",3.172
"TMS18F1320P0101",3.075
"TMS18F1020P0027",3.0492
"TMS18F1341P0037",2.9662
"TMS18F1345P0043",2.8967
"TMS18F1355P0089",2.8945
"TMS18F1205P0010",2.8928
"TMS18F1506P0018",2.8551
"TMS18F1347P0029",2.8487
"TMS18F1344P0133",2.7998
"TMS18F1289P0014",2.799
"TMS18F1306P0127",2.7913
"TMS18F1371P0011",2.7645
"TMS18F1318P0054",2.7565
"TMS18F1291P0026",2.7395
"TMS18F1207P0008",2.7384
"TMS18F1217P0091",2.5565
"TMS18F1298P0017",2.492
"TMS18F1258P0156",2.4908
"TMS18F1007P0004",2.4775
"TMS18F1209P0015",2.4733
"TMS18F1352P0002",2.4376
"TMS18F1076P0001",2.4119
"TMS18F1520P0050",2.3807
"TMS18F1040P0054",2.3377
"TMS18F1153P0053",2.2767
"TMS18F1178P0010",2.1574
"TMS18F1395P0010",2.0837
"TMS18F1333P0012",2.0748
"TMS18F1338P0116",2.0611
"TMS18F1231P0011",2.0132
"TMS18F1335P0035",2.0005
"TMS18F1323p0025",1.969
"TMS18F1317P0123",1.9017
"TMS13F1160P0004",1.8207
"TMS18F1076P0103",1.8149
"TMS18F1344P0159",1.8143
"TMS18F1240P0026",1.8142
"TMS18F1421P0005",1.8088
"TMS18F1180P0033",1.7313
"TMS18F1310P0151",1.7161
"TMS18F1338P0067",1.6874
"TMS18F1469P0062",1.683
"TMS18F1345P0056",1.6794
"TMS18F1337P0049",1.6401
"TMS18F1447P0062",1.593
"TMS18F1305P0138",1.5682
"TMS18F1310P0088",1.5193
"TMS18F1355P0081",1.4705
"TMS18F1395P0055",1.4456
"TMS18F1278P0068",1.4413
"TMS18F1365P0022",1.4337
"TMS18F1179P0029",1.4301
"TMS18F1305P0031",1.3389
"TMS18F1217P0034",1.2639
"TMS18F1174P0011",1.2367
"TMS18F1396P0017",1.224
"TMS18F1044P0013",1.1759
"TMS18F1277P0031",1.171
"TMS18F1344P0198",1.1604
"TMS18F1353P0023",1.1349
"TMS18F1305P0017",1.1117
"TMS18F1340P0030",1.0965
"TMS18F1081P0014",1.089
"TMS18F1373P0028",1.0858
"TMS18F1343P0064",1.0648
"TMS18F1369P0014",1.0031
"TMS18F1341P0044",1.0028
"TMS18F1284P0003",1.0012
"TMS18F1324P0107",0.9741
"TMS18F1217P0114",0.9728
"TMS18F1272P0037",0.9654
"TMS18F1142P0017",0.9559
"TMS18F1308P0082",0.9034
"TMS18F1010P0011",0.8742
"TMS18F1296P0071",0.8689
"TMS18F1355p0025",0.8401
"TMS18F1562P0030",0.7997
"TMS18F1348P0113",0.7935
"TMS18F1305P0039",0.7839
"TMS18F1016P0010",0.7672
"TMS18F1003P0009",0.721
"TMS18F1291P0014",0.7148
"TMS18F1562P0025",0.7112
"TMS18F1338P0053",0.6898
"TMS18F1489P0044",0.6788
"TMS18F1352P0016",0.6483
"TMS18F1320P0087",0.6309
"TMS13F1343P0022",0.6297
"TMS18F1120P0006",0.5921
"TMS18F1350P0041",0.5867
"TMS18F1391P0004",0.5774
"TMS18F1007P0005",0.5411
"TMS18F1069P0023",0.5122
"TMS18F1339P0012",0.4907
"TMS18F1306P0129",0.486
"TMS18F1165P0018",0.4782
"TMS18F1328P0032",0.4248
"TMS18F1476P0047",0.397
"TMS18F1472P0042",0.3638
"TMS18F1306P0114",0.3372
"TMS18F1210P0021",0.3299
"TMS18F1319P0033",0.3109
"TMS18F1132P0042",0.2679
"TMS18F1152P0003",0.2385
"TMS18F1319P0061",0.2245
"TMS18F1331P0013",0.2172
"TMS18F1314P0042",0.2167
"TMS18F1280P0107",0.1745
"TMS18F1317P0048",0.1743
"TMS18F1350P0026",0.1627
"TMS18F1018P0001",0.1576
"TMS18F1003P0010",0.1478
"TMS18F1259P0131",0.1433
"TMS18F1260P0054",0.129
"IITA-TMS-IBA30572",0.1148
"TMS18F1338P0013",0.1147
"TMS18F1318P0018",0.1051
"TMS18F1120P0004",0.0975
"TMS18F1217P0111",0.0892
"TMS18F1336P0014",0.0866
"TMS18F1225P0030",0.0645
"TMS18F1330P0009",0.0575
"TMS18F1175P0053",0.054
"TMS18F1222P0012",0.0388
"TMS18F1271P0001",0.0027
"TMS18F1317P0059",-0.0278
"TMS18F1127P0011",-0.0549
"TMS18F1414P0017",-0.1264
"TMS18F1139P0076",-0.1336
"TMS18F1336P0015",-0.1573
"TMS18F1211P0035",-0.1645
"TMS18F1068P0077",-0.2084
"TMS18F1372P0041",-0.2238
"TMS18F1258P0153",-0.2258
"TMS18F1364P0018",-0.2296
"TMS18F1163P0042",-0.348
"TMS13F1307P0016",-0.3628
"TMS18F1003P0003",-0.3806
"TMS13F1343P0044",-0.4026
"TMS18F1005P0023",-0.418
"TMS18F1365P0018",-0.536
"TMS18F1318P0007",-0.5464
"TMS18F1221P0053",-0.5498
"TMS18F1340P0001",-0.5859
"TMS18F1414P0014",-0.5905
"TMS18F1056P0019",-0.6021
"TMS18F1505P0047",-0.6058
"TMS18F1280P0057",-0.6086
"TMS18F1149P0024",-0.6166
"TMS18F1349P0126",-0.6204
"TMS18F1215P0027",-0.666
"TMS18F1361P0041",-0.7096
