"ENTRY","BLUP"
"TMS18F1345P0012",5.1483
"TMS18F1142P0017",4.4947
"TMS18F1305P0138",3.8065
"TMS18F1348P0157",3.6852
"TMS18F1562P0030",3.5464
"TMS18F1330P0020",3.4568
"TMS18F1436P0049",3.3626
"TMS18F1305P0040",3.3473
"TMS18F1208P0005",3.2622
"TMS18F1344P0159",3.0902
"TMS18F1308P0077",3.0118
"TMS18F1395P0055",3.0038
"TMS18F1323P0024",2.8907
"TMS18F1096P0013",2.8557
"TMS18F1258P0156",2.738
"TMS18F1334P0023",2.7162
"TMS18F1348P0156",2.6953
"TMS18F1313P0013",2.6455
"TMS18F1076P0112",2.6269
"TMS18F1280P0107",2.6017
"TMS18F1313P0053",2.5895
"TMS18F1231P0011",2.5519
"TMS18F1333p0013",2.5365
"TMS18F1165P0008",2.4979
"TMS18F1280P0086",2.4595
"TMS18F1377P0007",2.4459
"TMS18F1138P0035",2.3937
"TMS18F1082P0024",2.3697
"TMS18F1319P0041",2.3667
"TMS18F1352P0002",2.3509
"TMS18F1007P0005",2.3482
"TMS18F1317P0059",2.3389
"TMS18F1323p0025",2.3323
"TMS18F1347P0029",2.3102
"TMS18F1336P0014",2.304
"TMS18F1338P0099",2.3034
"TMS18F1372P0041",2.2818
"TMS18F1343P0064",2.2738
"TMS18F1289P0014",2.2282
"TMS18F1318P0054",2.2185
"TMS18F1436P0053",2.2092
"TMS18F1298P0044",2.2029
"TMS18F1076P0121",2.1966
"TMS18F1324P0003",2.1774
"TMS18F1069P0033",2.1721
"TMS18F1326P0007",2.1025
"TMS18F1344P0147",2.0926
"TMS18F1025P0041",2.0652
"TMS18F1354P0027",2.0542
"TMS18F1280P0091",2.048
"TMS18F1139P0076",2.0479
"TMS18F1339P0012",2.0244
"TMS18F1096P0024",2.0229
"TMS18F1310P0151",2.01
"TMS18F1350P0041",2.0059
"TMS18F1004P0008",1.9991
"TMS18F1345P0043",1.9912
"TMS18F1365P0005",1.9666
"TMS18F1364P0022",1.9637
"TMS18F1447P0062",1.9623
"TMS18F1068P0077",1.9332
"TMS18F1355P0089",1.9229
"TMS18F1179P0029",1.9126
"TMS18F1314P0026",1.9105
"TMS18F1319P0121",1.9013
"TMS13F1343P0022",1.8731
"TMS18F1047P0046",1.8209
"TMS18F1324P0200",1.8181
"TMS13F1160P0004",1.8085
"TMS18F1314P0042",1.8079
"TMS18F1298P0017",1.8035
"TMS18F1287P0029",1.7877
"TMS18F1280P0057",1.7823
"TMS18F1305P0017",1.7596
"TMS18F1261P0005",1.759
"TMS18F1310P0148",1.7442
"TMS18F1299P0005",1.7087
"TMS18F1324P0070",1.6784
"TMS18F1306P0127",1.6737
"TMS18F1153P0053",1.6645
"TMS18F1113P0038",1.6267
"TMS18F1127P0010",1.6256
"TMS18F1120P0004",1.62
"TMS18F1348P0092",1.6155
"TMS18F1334P0003",1.601
"TMS18F1211P0035",1.5998
"TMS18F1210P0021",1.5974
"TMS18F1041P0005",1.5844
"TMS18F1003P0003",1.5515
"TMS18F1178P0010",1.5022
"TMS18F1163P0044",1.4995
"TMS18F1369P0010",1.4927
"TMS18F1163P0042",1.4906
"TMS18F1286P0012",1.4856
"TMS18F1562P0026",1.4688
"TMS18F1065P0037",1.4522
"TMS18F1132P0042",1.4013
"TMS18F1320P0032",1.3849
"TMS18F1295P0030",1.3806
"TMS18F1265P0030",1.3691
"TMS18F1296P0071",1.362
"TMS18F1287P0039",1.3425
"TMS18F1352P0016",1.3417
"TMS18F1348P0131",1.3372
"TMS18F1327P0013",1.3353
"TMS18F1047P0045",1.3222
"TMS18F1313P0001",1.304
"TMS18F1274P0020",1.2805
"TMS18F1344P0153",1.266
"TMS18F1318P0007",1.26
"TMS18F1076P0077",1.2419
"TMS18F1303P0027",1.2405
