"ENTRY","BLUP"
"TMS18F1277P0045",6.3553
"TMS18F1369P0010",6.0686
"TMS18F1042P0009",5.9411
"TMS18F1096P0024",5.1978
"TMS18F1020P0027",4.9909
"TMS18F1377P0023",4.9193
"TMS18F1424P0021",4.682
"TMS18F1076P0103",4.5576
"TMS18F1076P0001",4.5142
"TMS18F1092P0016",4.4442
"TMS18F1296P0071",4.3412
"TMS18F1426P0001",4.1481
"TMS18F1153P0053",3.8354
"TMS18F1349P0157",3.7969
"TMS18F1447P0062",3.7699
"TMS18F1016P0010",3.7499
"TMS18F1305P0019",3.6533
"TMS18F1489P0040",3.6478
"TMS18F1225P0030",3.5964
"TMS18F1258P0062",3.5897
"TMS18F1280P0086",3.3476
"TMS18F1222P0012",3.3041
"TMS18F1305P0007",3.2895
"TMS18F1090P0031",3.1693
"TMS18F1055P0044",3.1577
"TMS18F1355p0038",3.0706
"TMS18F1335P0035",3.0508
"TMS18F1138P0037",3.05
"TMS18F1364P0022",2.977
"IITA-TMS-IBA982101",2.9694
"TMS18F1388P0012",2.9547
"TMS18F1344P0153",2.9284
"TMS18F1472P0042",2.8938
"TMS18F1132P0078",2.886
"TMS18F1278P0068",2.853
"TMS18F1262P0008",2.851
"TMS18F1324p0026",2.7873
"TMS18F1028P0003",2.761
"TMS18F1348P0098",2.7579
"NR130124",2.6358
"TMS18F1367P0030",2.5954
"TMS18F1280P0057",2.5788
"TMS18F1286P0012",2.5699
"TMS18F1366P0012",2.5061
"TMS18F1562P0026",2.4832
"TMS18F1371P0011",2.4352
"TMS18F1056P0066",2.4311
"TMS18F1156P0016",2.4155
"TMS18F1174P0011",2.413
"TMS18F1341P0044",2.4034
"TMS18F1215P0027",2.3968
"TMS18F1365P0005",2.3738
"TMS18F1058P0019",2.3296
"TMS18F1447P0045",2.2679
"TMS18F1040P0054",2.2576
"TMS18F1127P0010",2.2252
"TMS18F1081P0014",2.2055
"TMS18F1319P0061",2.2019
"TMS18F1207P0008",2.1615
"TMS18F1259P0131",2.1317
"IITA-TMS-IBA980581",2.1275
"TMS18F1306P0127",2.1241
"TMS18F1305P0039",2.1181
"TMS18F1308P0084",2.1133
"TMS18F1138P0030",2.0945
"TMS18F1313P0013",2.0926
"TMS18F1007P0004",2.0814
"TMS18F1389P0021",2.0754
"TMS18F1306P0129",2.0679
"TMS18F1369P0014",2.0588
"TMS18F1068P0077",2.0439
"TMS18F1310P0148",2.0365
"TMS18F1331P0013",2.0249
"TMS18F1026P0009",1.9805
"IITA-TMS-IBA30572",1.9723
"TMS18F1107P0020",1.9634
"TMS18F1348P0156",1.8809
"TMS18F1001P0020",1.866
"TMS18F1350P0082",1.829
"TMS18F1369P0015",1.8051
"TMS18F1305P0040",1.7511
"TMS18F1319P0100",1.7413
"TMS18F1485P0022",1.7349
"TMS18F1324P0200",1.7317
"TMS18F1352P0016",1.7173
"TMS18F1114P0039",1.6922
"TMS18F1314P0026",1.6905
"TMS18F1331P0016",1.6699
"TMS18F1506P0018",1.6564
"UNKNOWN1",1.6271
"TMS18F1421P0005",1.6137
"TMS18F1191P0002",1.6068
"TMS18F1085P0012",1.5303
"TMS18F1364P0027",1.5209
"TMS18F1314P0007",1.5029
"TMS18F1263P0037",1.4923
"TMS18F1264P0058",1.4916
"TMS18F1258P0147",1.4831
"TMS18F1396P0032",1.4486
"TMS18F1409P0008",1.439
"TMS18F1059P0015",1.4324
"TMS18F1489P0038",1.422
"TMS18F1218P0003",1.3986
"TMS18F1349P0149",1.3985
"TMS18F1295P0030",1.377
"TMS18F1258P0153",1.3766
"TMS18F1205P0010",1.3539
"TMS18F1313P0001",1.3536
"TMS18F1262P0015",1.3381
"TMS18F1217P0095",1.335
"TMS18F1038P0087",1.332
"TMS18F1289P0014",1.3218
"TMS18F1313P0053",1.3169
"TMS18F1296P0042",1.2981
"TMS18F1287P0039",1.285
"TMS18F1305P0138",1.2828
"TMS18F1353P0023",1.2775
"TMS18F1019P0018",1.2746
"TMS18F1344P0147",1.2705
"TMS18F1261P0005",1.2277
"TMS18F1258P0156",1.2148
"TMS18F1298P0017",1.2108
"TMS18F1562P0030",1.207
"TMS18F1320P0087",1.1933
"TMS18F1291P0014",1.1733
"TMS18F1347P0029",1.1539
"TMS18F1349P0123",1.1414
