"ENTRY","BLUP"
"TMS18F1055P0044",11.6159
"TMS18F1127P0010",11.1849
"TMS18F1303P0027",11.0891
"UNKNOWN2",10.7616
"TMS18F1134P0010",10.161
"NR130124",10.0277
"TMS18F1286P0012",9.6637
"TMS18F1424P0021",9.4478
"TMS18F1396P0032",8.9842
"TMS18F1202p0001",8.7861
"TMS18F1489P0040",8.7385
"TMS18F1348P0117",8.5997
"TMS18F1312P0039",8.4895
"TMS18F1028P0003",8.2484
"TMS18F1313P0013",8.0958
"TMS18F1258P0147",8.0237
"TMS18F1485P0022",7.8974
"TMS18F1344P0153",7.8585
"TMS18F1355p0038",7.8447
"TMS18F1263P0037",7.6971
"UNKNOWN1",7.6834
"TMS18F1305P0007",7.3277
"TMS18F1277P0045",7.3183
"TMS18F1447P0002",7.2405
"TMS18F1138P0037",7.2134
"TMS18F1096P0013",7.1719
"TMS18F1312P0033",7.1504
"TMS18F1138P0030",6.9565
"TMS18F1348P0098",6.9411
"TMS18F1310P0148",6.8838
"TMS18F1150P0011",6.5041
"TMS18F1310P0168",6.4426
"TMS18F1349P0149",6.4102
"TMS18F1330P0020",6.3451
"TMS18F1314P0007",6.3113
"TMS18F1349P0157",6.301
"TMS18F1366P0014",6.2397
"TMS18F1348P0156",6.2267
"TMS18F1063P0008",6.2038
"TMS18F1156P0016",6.1035
"IITA-TMS-IBA980581",6.0232
"TMS18F1354P0027",5.9355
"TMS18F1026P0009",5.7968
"TMS18F1562P0023",5.6676
"TMS18F1076P0110",5.612
"TMS18F1208P0005",5.5868
"TMS18F1165P0008",5.549
"TMS18F1287P0039",5.4263
"TMS18F1338P0085",5.3283
"TMS18F1353P0022",5.2831
"TMS18F1369P0015",5.2513
"TMS18F1280P0086",5.2166
"TMS18F1314P0026",5.1952
"TMS18F1366P0012",5.1894
"TMS18F1163P0044",5.1538
"TMS18F1324P0200",5.1006
"TMS18F1349P0123",4.966
"TMS18F1355P0120",4.9424
"TMS18F1369P0010",4.8375
"TMS18F1085P0012",4.817
"TMS18F1389P0021",4.8145
"TMS18F1189P0013",4.7157
"TMS18F1345P0012",4.6857
"TMS18F1424P0020",4.611
"TMS18F1262P0008",4.6086
"TMS18F1308P0077",4.4946
"TMS18F1364P0022",4.4758
"TMS18F1240P0024",4.4713
"TMS18F1348P0097",4.4514
"IITA-TMS-IBA982101",4.4446
"TMS18F1082P0024",4.4338
"IITA-TMS-IBA000070",4.4115
"TMS18F1331P0016",4.3803
"TMS18F1319P0100",4.3198
"TMS18F1319P0041",4.3033
"TMS18F1059P0015",4.282
"TMS18F1372P0024",4.2626
"TMS18F1056P0066",4.2372
"TMS18F1319P0121",4.2224
"TMS18F1113P0038",4.217
"TMS18F1388P0012",4.2122
"TMS18F1339P0015",4.0437
"TMS18F1051P0063",4.0222
"TMS18F1299P0005",4.0172
"TMS18F1313P0053",4.0149
"TMS18F1305P0019",3.9476
"TMS18F1344P0176",3.9162
"TMS18F1280P0091",3.8444
"TMS18F1345P0043",3.795
"TMS18F1350P0082",3.7915
"TMS18F1107P0020",3.738
"TMS18F1205P0010",3.6658
"TMS18F1076P0112",3.6642
"TMS18F1506P0018",3.6255
"TMS18F1295P0023",3.5827
"TMS18F1313P0001",3.5796
"TMS18F1319P0159",3.471
"TMS18F1371P0011",3.411
"TMS18F1341P0037",3.4105
"TMS18F1320P0101",3.3825
