trial,year_harvest,location,trial_type,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,LODG,BRNLEV9,PLTHT9,NOHAV,RTNO,STARCH,BRNHB9,ANGBR9,STMDI9,PPSTD9,SHTWT,RTWT,BRNHT9,PLTHT6,FYLD,DYLD,TYLD,HI,DM,BRNHT6
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1355P0081_1001,TMS18F1355P0081,1001,1,,1,1,1,1,2,88,8,96,17.03,3,72.64,,2,37.3,36.3,44.4,81.4,48.4,15.02,49.73,0.49,31.04,46
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1305P0138_1002,TMS18F1305P0138,1002,1,,1,1,2,0,,,2,18,19.89,,,,2,7.6,6.55,,,8.73,2.9,10.13,0.46,33.19,
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1348P0097_1003,TMS18F1348P0097,1003,1,,1,1,3,2,2,110,6,64,17.01,3,64.31,19.636,6,23.59,21.25,56,94,28.33,8.79,31.45,0.47,31.02,
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1352P0049_1004,TMS18F1352P0049,1004,1,,1,1,4,3,2,100,6,54,18.04,4,65.93,23.596,1,18.78,20.2,53.6,93.8,26.93,8.56,25.04,0.52,31.8,57.4
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1485P0020_1005,TMS18F1485P0020,1005,1,,1,1,5,2,2,106,5,25,15.36,3,87.64,21.352,2,14.74,6.45,35,96,8.6,2.56,19.65,0.3,29.78,35.4
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1340P0001_1006,TMS18F1340P0001,1006,1,,1,1,6,0,1,111,9,89,21.16,2,68.54,17.872,3,22.75,25.95,49,95,34.6,11.81,30.33,0.53,34.14,43
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1258P0153_1007,TMS18F1258P0153,1007,1,,1,1,7,2,2,117,5,40,18.51,3,78.57,24.254,2,17.05,15.34,72.6,105,20.45,6.58,22.73,0.47,32.15,70.6
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1562P0023_1008,TMS18F1562P0023,1008,1,,1,1,8,5,3,160,6,26,,3,79.17,18.954,2,37.45,5.1,63,151,6.8,,49.93,0.12,,54.6
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMEB419_1009,TMEB419,1009,1,1,1,1,9,2,,,1,12,16.95,,,,2,11.8,18.9,,,25.2,7.81,15.73,0.62,30.98,
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1338P0115_1010,TMS18F1338P0115,1010,1,,1,1,10,2,1,78,4,10,,3,67.23,14.15,3,1.8,0.55,63.4,74.4,0.73,,2.4,0.23,,56.4
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1308P0077_1011,TMS18F1308P0077,1011,1,,1,1,11,3,2,123,7,66,18.93,3,71.63,19.458,2,31.45,21.7,51,121,28.93,9.39,41.93,0.41,32.46,53
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1337P0049_1012,TMS18F1337P0049,1012,1,,1,1,12,1,,,3,23,13.39,,,,1,29.6,7.9,,,10.53,2.98,39.47,0.21,28.31,
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1005P0023_1013,TMS18F1005P0023,1013,1,,1,1,13,1,2,104,4,34,16.89,3,74.21,22.096,1,22.55,13.13,65,97,17.51,5.42,30.07,0.37,30.93,62
