"ENTRY","BLUP"
"TMS18F1076P0110",12.9404
"IITA-TMS-IBA000070",11.9004
"TMS18F1258P0156",11.3812
"TMS18F1331P0016",10.8129
"TMS18F1096P0013",10.3186
"TMS18F1063P0008",9.7412
"TMS18F1313P0013",9.6724
"TMS18F1240P0026",9.321
"TMS18F1028P0003",9.2448
"TMS18F1395P0010",8.8133
"TMS18F1024P0020",8.6944
"TMS18F1127P0010",8.522
"TMS18F1349P0126",8.4352
"TMS18F1231P0011",8.3486
"TMS18F1310P0088",8.3153
"TMS18F1312P0033",8.2846
"TMS18F1355P0081",8.2639
"TMS18F1338P0053",8.1115
"TMS18F1299P0005",8.0524
"TMS18F1310P0148",8.0218
"TMS18F1349P0157",7.8598
"TMS18F1361P0018",7.8295
"TMS18F1348P0113",7.7186
"TMS18F1469P0062",7.3106
"TMS18F1364P0018",7.1926
"TMS18F1314P0042",6.9815
"TMS18F1179P0008",6.6848
"TMS13F1343P0022",6.5585
"TMS18F1344P0159",6.5543
"TMS18F1348P0156",6.514
"TMS18F1349P0065",6.4733
"TMS18F1338P0116",6.4184
"NR130124",6.216
"TMS18F1365P0022",6.1383
"TMS18F1317P0059",6.1183
"TMS18F1134P0010",6.0861
"TMS18F1371P0011",6.073
"TMS18F1355p0025",6.0367
"TMS18F1364P0022",5.987
"TMS18F1347P0029",5.9785
"TMS18F1073P0035",5.9667
"TMS18F1476P0047",5.775
"TMS18F1396P0032",5.7636
"TMS18F1421P0005",5.7539
"TMS18F1178P0010",5.7117
"TMS18F1369P0015",5.6198
"TMS18F1280P0091",5.5848
"TMS18F1345P0056",5.5102
"TMS18F1366P0012",5.4991
"TMS18F1313P0053",5.452
"TMS18F1150P0011",5.3822
"TMS18F1354P0027",5.2995
"TMS18F1391P0004",5.2554
"TMS18F1308P0077",5.1458
"TMS18F1348P0092",5.0998
"TMS18F1372P0024",5.0709
"TMS18F1348P0097",5.0672
"TMS18F1280P0107",5.0043
"TMS18F1163P0035",5.0017
"TMS18F1280P0112",4.9939
"TMS18F1414P0014",4.9519
"TMS18F1323p0025",4.7949
"TMS18F1142P0017",4.7668
"TMS18F1179P0029",4.759
"TMS18F1348P0157",4.7269
"TMS18F1447P0002",4.7187
"TMS18F1344P0133",4.579
"TMS18F1217P0095",4.5641
"TMS18F1038P0010",4.561
"TMS18F1305P0007",4.5222
"TMS18F1306P0129",4.4973
"TMS18F1189P0013",4.4782
"TMS18F1341P0037",4.4291
"TMS18F1348P0095",4.4036
"TMS18F1333P0012",4.3757
"TMS18F1395P0055",4.3636
"TMS18F1344P0100",4.2384
"TMS18F1007P0004",4.2192
"TMS18F1324P0107",4.2108
"TMS18F1330P0020",4.1321
"TMS18F1344P0153",4.1074
"TMS18F1334P0003",4.0998
"TMS18F1280P0086",4.0189
"TMS18F1018P0001",3.9837
"TMS18F1306P0127",3.9128
"TMS18F1318P0054",3.8867
"TMS18F1221P0053",3.8628
"TMS18F1305P0019",3.823
"TMS18F1139P0076",3.7955
"TMS18F1258P0153",3.6806
"TMS18F1064P0027",3.6779
"TMS18F1258P0147",3.6535
"TMS18F1308P0082",3.6465
"TMS18F1336P0015",3.5935
"TMS18F1277P0031",3.5708
"TMS18F1343P0064",3.5526
"TMS18F1156P0016",3.5205
"TMS18F1341P0044",3.409
"TMS18F1211P0035",3.242
"TMS18F1485P0022",3.203
"TMS18F1424P0020",3.1831
"TMS18F1352P0049",3.1155
"TMS18F1082P0024",3.0965
"TMS18F1340P0030",3.0208
"TMS18F1175P0053",2.9214
"TMS18F1202p0001",2.8494
"TMS18F1303P0027",2.789
"TMS18F1520P0050",2.7702
"TMS18F1350P0065",2.7516
"TMS18F1305P0031",2.7164
"TMS18F1539P0063",2.692
"TMS18F1003P0003",2.6787
"TMS18F1424P0021",2.6558
"TMS18F1209P0015",2.6534
"TMS18F1344P0003",2.6205
"TMS18F1240P0024",2.6192
"TMS18F1165P0018",2.619
"TMS18F1278P0118",2.6033
"TMS18F1414P0017",2.5787
"TMS18F1286P0012",2.5066
"TMS18F1065P0037",2.4972
"TMS18F1353P0022",2.4821
"TMS18F1280P0140",2.4667
"TMS18F1069P0023",2.4502
"TMS18F1332P0002",2.445
"TMS18F1319P0033",2.4032
"TMS18F1330P0009",2.3576
"TMS18F1344P0176",2.3543
"TMS18F1506P0018",2.3379
"TMS18F1345P0001",2.2839
"TMS18F1505P0057",2.2485
"TMS18F1335P0035",2.2307
"TMS18F1320P0087",2.2291
"TMS18F1026P0009",2.1694
"TMS18F1051P0059",2.1257
"TMS18F1480P0023",2.0782
"TMS18F1319P0159",2.073
"TMS18F1287P0039",2.0654
"IITA-TMS-IBA980581",2.0481
