"ENTRY","BLUP","condSD","Predicted_Mean"
"TMS18F1076P0110",12.9404,14.9725,36.3481972347038
"IITA-TMS-IBA000070",11.9004,9.7651,35.3081972347038
"TMS18F1258P0156",11.3812,14.9663,34.7889972347038
"TMS18F1331P0016",10.8129,14.964,34.2206972347038
"TMS18F1096P0013",10.3186,14.9641,33.7263972347038
"TMS18F1063P0008",9.7412,14.9637,33.1489972347038
"TMS18F1313P0013",9.6724,14.9699,33.0801972347038
"TMS18F1240P0026",9.321,14.9669,32.7287972347038
"TMS18F1028P0003",9.2448,14.9658,32.6525972347038
"TMS18F1395P0010",8.8133,14.9627,32.2210972347038
"TMS18F1024P0020",8.6944,14.9659,32.1021972347038
"TMS18F1127P0010",8.522,14.9654,31.9297972347038
"TMS18F1349P0126",8.4352,14.9655,31.8429972347038
"TMS18F1231P0011",8.3486,16.6046,31.7563972347038
"TMS18F1310P0088",8.3153,14.9701,31.7230972347038
"TMS18F1312P0033",8.2846,14.9759,31.6923972347038
"TMS18F1355P0081",8.2639,14.9656,31.6716972347038
"TMS18F1338P0053",8.1115,14.9611,31.5192972347038
"TMS18F1299P0005",8.0524,14.9688,31.4601972347038
"TMS18F1310P0148",8.0218,14.963,31.4295972347038
"TMS18F1349P0157",7.8598,14.9686,31.2675972347038
"TMS18F1361P0018",7.8295,14.965,31.2372972347038
"TMS18F1348P0113",7.7186,14.9643,31.1263972347038
"TMS18F1469P0062",7.3106,14.9639,30.7183972347038
"TMS18F1364P0018",7.1926,14.9699,30.6003972347038
"TMS18F1314P0042",6.9815,14.9659,30.3892972347038
"TMS18F1179P0008",6.6848,14.9609,30.0925972347038
"TMS13F1343P0022",6.5585,14.9653,29.9662972347038
"TMS18F1344P0159",6.5543,14.9679,29.9620972347038
"TMS18F1348P0156",6.514,12.3795,29.9217972347038
"TMS18F1349P0065",6.4733,14.9633,29.8810972347038
"TMS18F1338P0116",6.4184,14.9643,29.8261972347038
"NR130124",6.216,14.9628,29.6237972347038
"TMS18F1365P0022",6.1383,14.9637,29.5460972347038
"TMS18F1317P0059",6.1183,14.9746,29.5260972347038
"TMS18F1134P0010",6.0861,14.9654,29.4938972347038
"TMS18F1371P0011",6.073,14.9665,29.4807972347038
"TMS18F1355p0025",6.0367,14.9673,29.4444972347038
"TMS18F1364P0022",5.987,14.9694,29.3947972347038
"TMS18F1347P0029",5.9785,14.9628,29.3862972347038
"TMS18F1073P0035",5.9667,14.9646,29.3744972347038
"TMS18F1476P0047",5.775,14.9652,29.1827972347038
"TMS18F1396P0032",5.7636,14.9663,29.1713972347038
"TMS18F1421P0005",5.7539,14.9663,29.1616972347038
"TMS18F1178P0010",5.7116,14.964,29.1193972347038
"TMS18F1369P0015",5.6198,14.969,29.0275972347038
"TMS18F1280P0091",5.5848,14.9662,28.9925972347038
"TMS18F1345P0056",5.5102,14.9678,28.9179972347038
"TMS18F1366P0012",5.4991,14.9684,28.9068972347038
"TMS18F1313P0053",5.452,14.9676,28.8597972347038
"TMS18F1150P0011",5.3822,14.9643,28.7899972347038
"TMS18F1354P0027",5.2995,14.9707,28.7072972347038
"TMS18F1391P0004",5.2554,14.9661,28.6631972347038
"TMS18F1308P0077",5.1458,14.9624,28.5535972347038
"TMS18F1348P0092",5.0998,14.9618,28.5075972347038
"TMS18F1372P0024",5.0709,14.9633,28.4786972347038
"TMS18F1348P0097",5.0672,14.9664,28.4749972347038
"TMS18F1280P0107",5.0043,14.9629,28.4120972347038
"TMS18F1163P0035",5.0017,14.9666,28.4094972347038
"TMS18F1280P0112",4.9939,14.9647,28.4016972347038
"TMS18F1414P0014",4.9519,14.9665,28.3596972347038
"TMS18F1323p0025",4.7949,14.9644,28.2026972347038
"TMS18F1142P0017",4.7668,14.9667,28.1745972347038
"TMS18F1179P0029",4.759,14.9648,28.1667972347038
"TMS18F1348P0157",4.7269,14.9686,28.1346972347038
"TMS18F1447P0002",4.7187,14.9629,28.1264972347038
"TMS18F1344P0133",4.579,14.9616,27.9867972347038
"TMS18F1217P0095",4.5641,14.971,27.9718972347038
"TMS18F1038P0010",4.561,14.9612,27.9687972347038
"TMS18F1305P0007",4.5222,14.9746,27.9299972347038
"TMS18F1306P0129",4.4973,14.968,27.9050972347038
"TMS18F1189P0013",4.4782,14.9678,27.8859972347038
"TMS18F1341P0037",4.4291,14.9649,27.8368972347038
"TMS18F1348P0095",4.4036,14.9659,27.8113972347038
"TMS18F1333P0012",4.3757,14.9603,27.7834972347038
"TMS18F1395P0055",4.3636,14.9652,27.7713972347038
"TMS18F1344P0100",4.2384,14.9672,27.6461972347038
"TMS18F1007P0004",4.2192,14.9635,27.6269972347038
"TMS18F1324P0107",4.2108,14.966,27.6185972347038
"TMS18F1330P0020",4.1321,14.9678,27.5398972347038
"TMS18F1344P0153",4.1074,14.971,27.5151972347038
"TMS18F1334P0003",4.0998,14.9636,27.5075972347038
"TMS18F1280P0086",4.0189,14.9633,27.4266972347038
"TMS18F1018P0001",3.9837,14.9639,27.3914972347038
"TMS18F1306P0127",3.9128,16.596,27.3205972347038
"TMS18F1318P0054",3.8867,14.9647,27.2944972347038
"TMS18F1221P0053",3.8628,14.9649,27.2705972347038
"TMS18F1305P0019",3.823,14.9672,27.2307972347038
"TMS18F1139P0076",3.7955,14.9633,27.2032972347038
"TMS18F1258P0153",3.6806,14.9622,27.0883972347038
"TMS18F1064P0027",3.6779,14.9707,27.0856972347038
"TMS18F1258P0147",3.6535,14.9671,27.0612972347038
"TMS18F1308P0082",3.6465,14.9622,27.0542972347038
"TMS18F1336P0015",3.5935,14.9678,27.0012972347038
"TMS18F1277P0031",3.5708,14.9631,26.9785972347038
"TMS18F1343P0064",3.5526,14.9657,26.9603972347038
"TMS18F1156P0016",3.5205,14.9663,26.9282972347038
"TMS18F1341P0044",3.409,14.9731,26.8167972347038
"TMS18F1211P0035",3.242,14.9642,26.6497972347038
"TMS18F1485P0022",3.203,14.9699,26.6107972347038
"TMS18F1424P0020",3.1831,14.9651,26.5908972347038
"TMS18F1352P0049",3.1155,14.9655,26.5232972347038
"TMS18F1082P0024",3.0965,14.9731,26.5042972347038
"TMS18F1340P0030",3.0208,14.9655,26.4285972347038
"TMS18F1175P0053",2.9214,14.9671,26.3291972347038
"TMS18F1202p0001",2.8494,14.9646,26.2571972347038
"TMS18F1303P0027",2.789,14.9612,26.1967972347038
"TMS18F1520P0050",2.7702,20.7782,26.1779972347038
"TMS18F1350P0065",2.7516,14.9638,26.1593972347038
"TMS18F1305P0031",2.7164,14.9657,26.1241972347038
"TMS18F1539P0063",2.692,14.965,26.0997972347038
"TMS18F1003P0003",2.6787,20.7776,26.0864972347038
"TMS18F1424P0021",2.6558,14.9643,26.0635972347038
"TMS18F1209P0015",2.6534,14.9644,26.0611972347038
"TMS18F1344P0003",2.6205,14.9603,26.0282972347038
"TMS18F1240P0024",2.6192,14.968,26.0269972347038
"TMS18F1165P0018",2.619,14.9686,26.0267972347038
"TMS18F1278P0118",2.6033,14.965,26.0110972347038
"TMS18F1414P0017",2.5787,14.9759,25.9864972347038
"TMS18F1286P0012",2.5066,14.9657,25.9143972347038
"TMS18F1065P0037",2.4972,14.9642,25.9049972347038
"TMS18F1353P0022",2.4821,14.9637,25.8898972347038
"TMS18F1280P0140",2.4667,14.963,25.8744972347038
"TMS18F1069P0023",2.4502,14.9712,25.8579972347038
"TMS18F1332P0002",2.445,14.9689,25.8527972347038
"TMS18F1319P0033",2.4032,14.9644,25.8109972347038
"TMS18F1330P0009",2.3576,14.9639,25.7653972347038
"TMS18F1344P0176",2.3543,14.967,25.7620972347038
"TMS18F1506P0018",2.3379,14.9611,25.7456972347038
"TMS18F1345P0001",2.2839,14.9672,25.6916972347038
"TMS18F1505P0057",2.2485,14.966,25.6562972347038
"TMS18F1335P0035",2.2307,14.9632,25.6384972347038
"TMS18F1320P0087",2.2291,16.601,25.6368972347038
"TMS18F1026P0009",2.1694,14.9699,25.5771972347038
"TMS18F1051P0059",2.1257,14.9653,25.5334972347038
"TMS18F1480P0023",2.0782,14.9681,25.4859972347038
"TMS18F1319P0159",2.073,14.9625,25.4807972347038
"TMS18F1287P0039",2.0654,14.9672,25.4731972347038
"IITA-TMS-IBA980581",2.0481,9.7456,25.4558972347038
"TMS18F1305P0039",2.0189,14.9759,25.4266972347038
"TMS18F1178P0046",2.0129,14.9657,25.4206972347038
"TMS18F1127P0011",1.9298,14.9592,25.3375972347038
"TMS18F1309P0062",1.8729,14.9688,25.2806972347038
"TMS18F1305P0040",1.8663,14.9654,25.2740972347038
"TMS18F1260P0060",1.7672,14.9704,25.1749972347038
"TMS18F1278P0098",1.7577,14.9655,25.1654972347038
"TMS13F1343P0044",1.7552,14.9694,25.1629972347038
"TMS18F1001P0014",1.7287,20.7795,25.1364972347038
"TMS18F1163P0044",1.7201,14.9652,25.1278972347038
"TMS18F1349P0064",1.7167,14.9676,25.1244972347038
"TMS18F1372P0041",1.7116,16.5959,25.1193972347038
"TMS18F1207P0008",1.7003,14.9703,25.1080972347038
"TMS18F1489P0044",1.6948,14.9664,25.1025972347038
"TMS18F1047p0012",1.6789,14.9638,25.0866972347038
"IITA-TMS-IBA982101",1.6606,9.7459,25.0683972347038
"TMS18F1562P0030",1.6543,14.9644,25.0620972347038
"TMS18F1296P0071",1.6325,14.9666,25.0402972347038
"TMS18F1289P0014",1.6281,14.968,25.0358972347038
"TMS18F1144P0010",1.5755,14.966,24.9832972347038
"TMS18F1396P0053",1.5031,14.9673,24.9108972347038
"UNKNOWN1",1.4885,18.6383,24.8962972347038
"TMS18F1260P0054",1.4878,14.969,24.8955972347038
"TMS18F1377P0007",1.4783,14.9685,24.8860972347038
"TMS18F1338P0013",1.4528,16.6051,24.8605972347038
"TMS18F1436P0049",1.4143,14.9676,24.8220972347038
"TMS18F1309P0074",1.3834,14.9649,24.7911972347038
"TMS18F1348P0101",1.3786,14.9642,24.7863972347038
"TMS18F1274P0020",1.3654,14.9677,24.7731972347038
"TMS18F1291P0014",1.3607,14.9678,24.7684972347038
"TMS18F1338P0067",1.351,14.9666,24.7587972347038
"TMS18F1359P0001",1.3237,16.6039,24.7314972347038
"UNKNOWN2",1.3197,18.6457,24.7274972347038
"TMS18F1344P0014",1.291,14.9663,24.6987972347038
"TMS18F1366P0014",1.2458,14.9658,24.6535972347038
"TMS18F1337P0044",1.1953,14.9636,24.6030972347038
"TMS18F1335P0001",1.1658,14.9665,24.5735972347038
"TMS18F1298P0017",1.1466,14.9613,24.5543972347038
"TMS18F1277P0045",1.0554,20.7786,24.4631972347038
"TMS18F1263P0037",1.0552,14.964,24.4629972347038
"TMS18F1478P0047",1.0086,14.9626,24.4163972347038
"TMS18F1217P0121",0.968,14.9688,24.3757972347038
"TMS18F1059P0015",0.9593,14.9665,24.3670972347038
"TMS18F1339P0012",0.937,14.9625,24.3447972347038
"TMS18F1044P0013",0.9329,14.9636,24.3406972347038
"TMS18F1040P0054",0.9046,16.6002,24.3123972347038
"TMS18F1350P0082",0.891,14.9725,24.2987972347038
"TMS18F1472P0042",0.8825,14.9621,24.2902972347038
"TMS18F1010P0011",0.8764,14.9677,24.2841972347038
"TMS18F1373P0028",0.8738,14.9667,24.2815972347038
"TMS18F1345P0012",0.8488,14.9658,24.2565972347038
"TMS18F1310P0151",0.844,14.9657,24.2517972347038
"TMS18F1333p0013",0.8419,14.9655,24.2496972347038
"TMS18F1334P0023",0.8118,14.9649,24.2195972347038
"TMS18F1138P0028",0.8001,14.9672,24.2078972347038
"TMS18F1306P0114",0.7437,14.9666,24.1514972347038
"TMS18F1336P0014",0.7221,14.9612,24.1298972347038
"TMS18F1163P0042",0.698,14.9684,24.1057972347038
"TMS18F1352P0002",0.6917,14.9681,24.0994972347038
"TMS18F1291P0026",0.6665,14.9657,24.0742972347038
"TMS18F1335P0021",0.6302,14.9653,24.0379972347038
"TMS18F1210P0021",0.6046,14.9639,24.0123972347038
"TMS18F1324P0092",0.5807,14.9621,23.9884972347038
"TMS18F1287P0029",0.5709,14.9624,23.9786972347038
"TMS18F1047P0045",0.5608,14.9639,23.9685972347038
"TMS18F1302P0018",0.5417,14.9628,23.9494972347038
"TMS18F1345P0043",0.5309,14.9596,23.9386972347038
"TMS13F1307P0016",0.5182,14.9694,23.9259972347038
"TMS13F1160P0004",0.5181,14.9668,23.9258972347038
"TMS18F1331P0013",0.4855,14.965,23.8932972347038
"TMS18F1004P0008",0.4824,14.9621,23.8901972347038
"TMS18F1338P0099",0.4477,14.9655,23.8554972347038
"TMS18F1350P0038",0.4118,14.9675,23.8195972347038
"TMS18F1344P0198",0.4049,14.9671,23.8126972347038
"TMS18F1327P0013",0.3821,14.9614,23.7898972347038
"TMS18F1323P0041",0.3768,14.9625,23.7845972347038
"TMS18F1217P0111",0.3687,14.9664,23.7764972347038
"TMS18F1003P0009",0.3672,14.9653,23.7749972347038
"TMS18F1113P0038",0.3574,14.9678,23.7651972347038
"TMS18F1319P0041",0.3567,14.9731,23.7644972347038
"TMS18F1313P0001",0.3539,14.964,23.7616972347038
"TMS18F1340P0001",0.3285,14.9656,23.7362972347038
"TMS18F1120P0006",0.3166,20.7764,23.7243972347038
"TMS18F1353p0017",0.2891,14.9661,23.6968972347038
"TMS18F1278P0183",0.271,14.9746,23.6787972347038
"TMS18F1342P0017",0.2459,14.9654,23.6536972347038
"TMS18F1085P0012",0.1771,14.9725,23.5848972347038
"TMS18F1562P0026",0.1662,14.9655,23.5739972347038
"TMS18F1317P0123",0.0628,14.9669,23.4705972347038
"TMS18F1319P0061",0.0587,14.9639,23.4664972347038
"TMS18F1489P0040",0.0532,14.9643,23.4609972347038
"TMS18F1318P0036",0.0398,14.968,23.4475972347038
"TMS18F1380P0003",-0.01,18.6375,23.3977972347038
"TMS18F1305P0138",-0.0789,14.9644,23.3288972347038
"TMS18F1339P0015",-0.1226,14.9681,23.2851972347038
"TMS18F1349P0149",-0.1394,14.9626,23.2683972347038
"TMS18F1205P0010",-0.1478,20.7774,23.2599972347038
"TMS18F1007P0005",-0.1858,14.9662,23.2219972347038
"TMS18F1208P0005",-0.2481,16.6021,23.1596972347038
"TMS18F1319P0100",-0.3096,14.9759,23.0981972347038
"TMS18F1076P0112",-0.362,14.964,23.0457972347038
"TMS18F1076P0066",-0.3688,14.9629,23.0389972347038
"TMS18F1350P0041",-0.3918,14.9633,23.0159972347038
"TMS18F1295P0030",-0.4011,14.9622,23.0066972347038
"TMS18F1338P0085",-0.4073,14.9677,23.0004972347038
"TMS18F1040P0032",-0.4345,14.9655,22.9732972347038
"TMS18F1138P0030",-0.4493,14.963,22.9584972347038
"TMS18F1217P0091",-0.4918,14.9672,22.9159972347038
"TMS18F1132P0042",-0.5049,14.9664,22.9028972347038
"TMS18F1262P0015",-0.5201,14.9603,22.8876972347038
"TMS18F1355P0089",-0.5424,16.596,22.8653972347038
"TMS18F1060P0067",-0.5823,14.9653,22.8254972347038
"TMS18F1310P0168",-0.5945,14.9609,22.8132972347038
"TMS18F1217P0034",-0.6139,14.964,22.7938972347038
"TMS18F1350P0026",-0.623,14.9731,22.7847972347038
"TMS13F1020P0001",-0.6595,14.9694,22.7482972347038
"TMS18F1076P0103",-0.6778,14.9637,22.7299972347038
"TMS18F1003P0010",-0.7405,14.9685,22.6672972347038
"TMS18F1343P0012",-0.7865,14.9703,22.6212972347038
"TMS18F1348P0098",-0.8167,14.9648,22.5910972347038
"TMS18F1312P0039",-0.849,14.9666,22.5587972347038
"TMS18F1083P0028",-0.8611,14.9616,22.5466972347038
"TMS18F1355p0030",-0.8695,14.9666,22.5382972347038
"TMS18F1051P0063",-0.8775,14.9649,22.5302972347038
"TMS18F1320P0101",-0.9329,14.9621,22.4748972347038
"TMS18F1047P0049",-0.9602,16.5989,22.4475972347038
"TMS18F1396P0017",-0.9807,14.9694,22.4270972347038
"TMS18F1025P0041",-1.025,14.9673,22.3827972347038
"TMS18F1056P0066",-1.0875,16.597,22.3202972347038
"TMS18F1114P0039",-1.1057,14.9694,22.3020972347038
"TMS18F1152P0003",-1.1141,20.7752,22.2936972347038
"TMS18F1353P0023",-1.2759,14.9664,22.1318972347038
"TMS18F1047P0046",-1.3247,14.9604,22.0830972347038
"TMS18F1343P0019",-1.365,14.9632,22.0427972347038
"TMS18F1343P0153",-1.3654,14.9639,22.0423972347038
"TMS18F1217P0114",-1.4397,20.781,21.9680972347038
"TMS18F1076P0106",-1.4799,14.9639,21.9278972347038
"TMS18F1348P0117",-1.4849,14.9701,21.9228972347038
"TMS18F1324P0070",-1.4897,14.9633,21.9180972347038
"TMS18F1318P0007",-1.5292,14.9652,21.8785972347038
"TMS18F1314P0007",-1.5312,14.9701,21.8765972347038
"TMS18F1520P0039",-1.5456,24.0807,21.8621972347038
"TMS18F1367P0030",-1.5533,14.9681,21.8544972347038
