trial,year_harvest,location,trial_type,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,NOHAV,RTNO,SHTWT,RTWT,DM,STARCH,FYLD,DYLD,TYLD,HI,NDVI3,NDVI6,NDVI9,LODG,PLTHTIII,BRNHTIII,BRNLEVIII,PLTHTVI,BRNHTVI,BRNLEVVI,PLTHTIX,BRNHTIX,BRNLEVIX,CHL3,CHL6,CHL9,ANGBR9,STMDI9,PPSTD9
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1355P0081_1001,TMS18F1355P0081,1001,1,,1,1,1,8,96,37.3,36.3,31.04,17.03,48.4,15.02,49.73,0.49,0.87,0.67,0.58,1,65,44,1,81.4,46,1,88,44.4,2,55.83,50.9,48.6,72.64,,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1305P0138_1002,TMS18F1305P0138,1002,1,,1,1,2,2,18,7.6,6.55,33.19,19.89,8.73,2.9,10.13,0.46,0.86,0.7,0.68,0,,,,,,,,,,,,,,,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1348P0097_1003,TMS18F1348P0097,1003,1,,1,1,3,6,64,23.59,21.25,31.02,17.01,28.33,8.79,31.45,0.47,0.86,0.69,0.73,2,80,58,1,94,,,110,56,2,47.2,47.7,43.27,64.31,19.636,6
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1352P0049_1004,TMS18F1352P0049,1004,1,,1,1,4,6,54,18.78,20.2,31.8,18.04,26.93,8.56,25.04,0.52,0.82,0.62,0.56,3,87,60,1,93.8,57.4,1,100,53.6,2,50.13,50.63,48.2,65.93,23.596,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1485P0020_1005,TMS18F1485P0020,1005,1,,1,1,5,5,25,14.74,6.45,29.78,15.36,8.6,2.56,19.65,0.3,0.85,0.49,0.59,2,79,37.6,1,96,35.4,2,106,35,2,39.2,44.63,34.27,87.64,21.352,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1340P0001_1006,TMS18F1340P0001,1006,1,,1,1,6,9,89,22.75,25.95,34.14,21.16,34.6,11.81,30.33,0.53,0.79,0.54,0.56,0,80,,,95,43,2,111,49,1,54.03,44.43,43.33,68.54,17.872,3
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1258P0153_1007,TMS18F1258P0153,1007,1,,1,1,7,5,40,17.05,15.34,32.15,18.51,20.45,6.58,22.73,0.47,0.86,0.73,0.54,2,99,,,105,70.6,1,117,72.6,2,51.8,49.83,41.87,78.57,24.254,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1562P0023_1008,TMS18F1562P0023,1008,1,,1,1,8,6,26,37.45,5.1,,,6.8,,49.93,0.12,0.87,0.71,0.72,5,98,,,151,54.6,2,160,63,3,52.1,49.17,45.1,79.17,18.954,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMEB419_1009,TMEB419,1009,1,1,1,1,9,1,12,11.8,18.9,30.98,16.95,25.2,7.81,15.73,0.62,0.86,0.76,0.71,2,,,,,,,,,,,,,,,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1338P0115_1010,TMS18F1338P0115,1010,1,,1,1,10,4,10,1.8,0.55,,,0.73,,2.4,0.23,0.79,0.5,0.51,2,55,,,74.4,56.4,1,78,63.4,1,44.3,38.13,30.33,67.23,14.15,3
