trial,year_harvest,location,trial_type,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,NOHAV,FYLD,NDVI,LODG,PLTHT,CHL,ANGBR,STMDI,PPSTD
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1355P0081_1001,TMS18F1355P0081,1001,1,,1,1,1,8,48.4,0.87,1,65,55.83,72.64,,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1305P0138_1002,TMS18F1305P0138,1002,1,,1,1,2,2,8.73,0.86,0,,,,,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1348P0097_1003,TMS18F1348P0097,1003,1,,1,1,3,6,28.33,0.86,2,80,47.2,64.31,19.636,6
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1352P0049_1004,TMS18F1352P0049,1004,1,,1,1,4,6,26.93,0.82,3,87,50.13,65.93,23.596,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1485P0020_1005,TMS18F1485P0020,1005,1,,1,1,5,5,8.6,0.85,2,79,39.2,87.64,21.352,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1340P0001_1006,TMS18F1340P0001,1006,1,,1,1,6,9,34.6,0.79,0,80,54.03,68.54,17.872,3
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1258P0153_1007,TMS18F1258P0153,1007,1,,1,1,7,5,20.45,0.86,2,99,51.8,78.57,24.254,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1562P0023_1008,TMS18F1562P0023,1008,1,,1,1,8,6,6.8,0.87,5,98,52.1,79.17,18.954,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMEB419_1009,TMEB419,1009,1,1,1,1,9,1,25.2,0.86,2,,,,,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1338P0115_1010,TMS18F1338P0115,1010,1,,1,1,10,4,0.73,0.79,2,55,44.3,67.23,14.15,3
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1308P0077_1011,TMS18F1308P0077,1011,1,,1,1,11,7,28.93,0.89,3,93,44.93,71.63,19.458,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1337P0049_1012,TMS18F1337P0049,1012,1,,1,1,12,3,10.53,0.86,1,,47.2,,,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1005P0023_1013,TMS18F1005P0023,1013,1,,1,1,13,4,17.51,0.83,1,77,52.5,74.21,22.096,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-IITA-TMS-IBA30572_1014,IITA-TMS-IBA30572,1014,1,1,1,1,14,2,8.07,0.89,0,,,,,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1287P0029_1015,TMS18F1287P0029,1015,1,,1,1,15,4,11.73,0.88,1,72.4,54,,,3
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1489P0040_1016,TMS18F1489P0040,1016,1,,1,1,16,5,25.33,0.89,1,117,52.7,83.74,26.488,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1340P0030_1017,TMS18F1340P0030,1017,1,,1,1,17,9,30.47,0.88,1,128,53.17,85.94,23.366,3
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1389P0021_1018,TMS18F1389P0021,1018,1,,1,1,18,8,16.13,0.89,2,148,55.1,89.53,27.712,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1019P0018_1019,TMS18F1019P0018,1019,1,,1,1,19,7,11.63,0.84,3,115,45.13,88.1,21.57,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1318P0036_1020,TMS18F1318P0036,1020,1,,1,1,20,8,6.87,0.85,1,133,51.43,83.23,19.75,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1562P0030_1021,TMS18F1562P0030,1021,1,,1,1,21,8,31.27,0.83,0,164,53.77,71.02,19.132,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1334P0023_1022,TMS18F1334P0023,1022,1,,1,1,22,8,25,0.83,0,130,49.63,94.86,21.182,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1272P0037_1023,TMS18F1272P0037,1023,1,,1,1,23,8,6.2,0.87,0,139,52.4,86.45,20.428,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1132P0144_1024,TMS18F1132P0144,1024,1,,1,1,24,4,9.33,0.86,4,71,41.67,58.46,16.968,3
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1306P0129_1025,TMS18F1306P0129,1025,1,,1,1,25,6,33.12,0.87,1,132,50.2,70.51,21.658,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1349P0064_1026,TMS18F1349P0064,1026,2,,1,2,25,9,36.87,0.86,1,107,51.4,,20.42,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-IITA-TMS-IBA000070_1027,IITA-TMS-IBA000070,1027,2,1,1,2,24,8,45.07,0.9,0,109,53.77,80.68,21.418,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1343P0014_1028,TMS18F1343P0014,1028,2,,1,2,23,3,10.67,0.81,3,,50.3,,,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1076P0121_1029,TMS18F1076P0121,1029,2,,1,2,22,3,19.73,0.89,0,,53.07,,,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1260P0060_1030,TMS18F1260P0060,1030,2,,1,2,21,8,32.4,0.88,0,90,46.37,86.24,19.67,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1250P0050_1031,TMS18F1250P0050,1031,2,,1,2,20,1,8.49,0.88,0,98,40.8,70.96,21.686,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1026P0009_1032,TMS18F1026P0009,1032,2,,1,2,19,5,25.2,0.89,3,113,47.1,78.52,23.52,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1338P0013_1033,TMS18F1338P0013,1033,2,,1,2,18,9,39.23,0.87,0,125,50.07,74.53,25.528,1
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1421P0025_1034,TMS18F1421P0025,1034,2,,1,2,17,,,0.77,0,,,,,2
21.GS.C4B.PYT.500.MK,2022,mokwa,PYT,2020-19.GS.C4B.PYT.500.IK-rep1-TMS18F1174P0011_1035,TMS18F1174P0011,1035,2,,1,2,16,5,13.53,0.88,3,92.4,47.5,85.15,25.812,2
