trial,env,year_harvest,location,trial_type,accession_name,geno,plot_number,block_number,is_a_control,rep_number,row_number,col_number,dm,starch
19.GS.C4B.PYT.500.IK,IK20,2020,Ikenne,PYT,TMS18F1305P0138,,1002,1,,1,1,2,43.3,33.5
19.GS.C4B.PYT.500.IK,IK20,2020,Ikenne,PYT,TMS18F1258P0153,,1007,1,,1,1,7,38.8,34
19.GS.C4B.PYT.500.IK,IK20,2020,Ikenne,PYT,TMS18F1308P0077,,1011,1,,1,1,11,38.7,31.3
19.GS.C4B.PYT.500.IK,IK20,2020,Ikenne,PYT,TMS18F1340P0030,,1017,1,,1,1,17,38,31.8
19.GS.C4B.PYT.500.IK,IK20,2020,Ikenne,PYT,TMS18F1334P0023,,1022,1,,1,1,22,42.2,37.4
19.GS.C4B.PYT.500.IK,IK20,2020,Ikenne,PYT,TMS18F1272P0037,,1023,1,,1,1,23,31.5,24
19.GS.C4B.PYT.500.IK,IK20,2020,Ikenne,PYT,TMS18F1306P0129,,1025,1,,1,1,25,36.9,30.2
19.GS.C4B.PYT.500.IK,IK20,2020,Ikenne,PYT,TMS18F1349P0064,,1026,2,,1,2,25,32.7,28.7
19.GS.C4B.PYT.500.IK,IK20,2020,Ikenne,PYT,IITA-TMS-IBA000070,,1027,2,1,1,2,24,36.1,32.7
19.GS.C4B.PYT.500.IK,IK20,2020,Ikenne,PYT,TMS18F1343P0014,,1028,2,,1,2,23,27.9,24.5
19.GS.C4B.PYT.500.IK,IK20,2020,Ikenne,PYT,TMS18F1076P0121,,1029,2,,1,2,22,41.8,36.1
19.GS.C4B.PYT.500.IK,IK20,2020,Ikenne,PYT,TMS18F1064P0027,,1036,2,,1,2,15,27,
19.GS.C4B.PYT.500.IK,IK20,2020,Ikenne,PYT,TMS18F1324P0171,,1037,2,,1,2,14,43.7,
19.GS.C4B.PYT.500.IK,IK20,2020,Ikenne,PYT,TMS18F1286P0012,,1040,2,,1,2,11,41.1,34.1
19.GS.C4B.PYT.500.IK,IK20,2020,Ikenne,PYT,TMS18F1366P0012,,1041,2,,1,2,10,28.1,27.5
19.GS.C4B.PYT.500.IK,IK20,2020,Ikenne,PYT,TMS18F1396P0053,,1043,2,,1,2,8,35.6,31
19.GS.C4B.PYT.500.IK,IK20,2020,Ikenne,PYT,IITA-TMS-IBA980581,,1044,2,1,1,2,7,37.3,33.3
19.GS.C4B.PYT.500.IK,IK20,2020,Ikenne,PYT,TMS18F1354P0027,,1046,2,,1,2,5,41.8,
19.GS.C4B.PYT.500.IK,IK20,2020,Ikenne,PYT,TMS18F1163P0042,,1049,2,,1,2,2,,36
19.GS.C4B.PYT.500.IK,IK20,2020,Ikenne,PYT,TMS18F1365P0018,,1050,2,,1,2,1,32.2,34.3
19.GS.C4B.PYT.500.IK,IK20,2020,Ikenne,PYT,TMS18F1319P0033,,1051,3,,1,3,1,40.9,35.4
19.GS.C4B.PYT.500.IK,IK20,2020,Ikenne,PYT,TMS18F1336P0015,,1053,3,,1,3,3,37.9,40.4
19.GS.C4B.PYT.500.IK,IK20,2020,Ikenne,PYT,TMS18F1348P0156,,1054,3,,1,3,4,40.3,33.5
19.GS.C4B.PYT.500.IK,IK20,2020,Ikenne,PYT,IITA-TMS-IBA000070,,1056,3,1,1,3,6,35.4,33.5
19.GS.C4B.PYT.500.IK,IK20,2020,Ikenne,PYT,TMS18F1348P0051,,1057,3,,1,3,7,31.8,27.4
