"","Estimate","Std. Error","t value","Pr(>|t|)","Significance"
"(Intercept)",-48.2900520296187,18.2612181114682,-2.64440475629017,0.0083545953929152,"**"
"NDVI",29.0802474323251,42.0109812478917,0.692205860670881,0.489022304002701,""
"I(NDVI^2)",-12.6477871080574,35.2089808086916,-0.35922048345504,0.71953126290756,""
"PLTHT",0.146437781639609,0.0852297824063105,1.71815271029915,0.0861814921589467,"."
"I(PLTHT^2)",-0.000401778258561071,0.000276764877370638,-1.45169525258444,0.147004522599744,""
"CHL",0.292547588535174,0.559616102003349,0.522764780155349,0.60129234054675,""
"I(CHL^2)",0.000693109022775561,0.00681902044663716,0.101643487975956,0.919066827023949,""
"ANGBR",-0.014745626910417,0.0423215882112185,-0.348418562101794,0.727623641660181,""
"I(ANGBR^2)",3.18223797664792e-05,0.000446245879051003,0.0713113134717423,0.94316900222664,""
"STMDI",1.70989536041253,0.993437747304557,1.72119024574202,0.0856286996639154,"."
"I(STMDI^2)",-0.0318763070105966,0.0218918773313257,-1.45607918992785,0.145789200915706,""
"LODG",-1.62415780299709,0.408630143745637,-3.9746402164792,7.7296887839708e-05,"***"
"I(LODG^2)",-0.0817564202096985,0.070536193255141,-1.15907049185334,0.246796347690388,""
"NOHAV",0.99337867742882,1.26820046495785,0.783297834117917,0.433699508498456,""
"I(NOHAV^2)",0.132694792753634,0.0960032909150703,1.38219004253743,0.167324842920067,""
"PPSTD",2.02016342840545,1.37937781022966,1.46454685106839,0.143463621258333,""
"I(PPSTD^2)",-0.200613897333113,0.287656235208151,-0.697408478519322,0.485763324602216,""
