Trait,sigma2_g,sigma2_gxe,sigma2_block,sigma2_e
NDVI3,3.5080038673367304e-4,4.0997306728312685e-5,3.996538464833425e-4,0.001157393807253339
NDVI6,2.6199655347976524e-4,0,5.075869607023415e-4,0.03462654364169493
NDVI9,1.3233756897839088e-4,9.4083899160324e-4,1.5630446039867487e-4,0.002920824534094007
HI,0.004757048012303482,0.0021188280968691465,4.4528401795463187e-4,0.004898500005590292
LODG,0.6219297687496116,0.2671551359077932,0.015468248731387638,1.9839903378264026
ANGBR9,491.4472913431829,200.7830707156589,9.273500687009978,194.4541263012113
TYLD,35.71753263616241,24.732394274318718,1.839483344658945,86.64453048399346
DYLD,2.531368837309023,2.970049992623386,0.46978810000272325,6.072319351527236
FYLD,34.051114041397796,24.326248965540632,4.410114826809191,55.98229083813848
STARCH,5.403656339212408,4.842829978914914,0.1670277995327608,4.01598789572377
DM,3.0474389160331445,2.730234025008908,0.0942851961491163,2.2649568385030348
RTWT,25.46495887356662,21.06081872406799,3.3757287152511646,41.70421208823447
SHTWT,26.99671833266745,18.56400548056821,1.0210402148920503,58.61984554527259
